Audio File : whispy\apr_18\april_18_session.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 12:24:47          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:00:02.219 -->  00:00:02.320] A SPEAKER_00
[ 00:00:04.463 -->  00:00:11.955] B SPEAKER_00
[ 00:00:07.619 -->  00:00:09.002] LB SPEAKER_02
[ 00:00:12.630 -->  00:00:16.444] LC SPEAKER_02
[ 00:00:16.444 -->  00:00:37.032] GO SPEAKER_01
[ 00:00:17.119 -->  00:00:17.777] LD SPEAKER_02
[ 00:00:19.178 -->  00:00:22.334] C SPEAKER_00
[ 00:00:25.101 -->  00:00:26.957] LE SPEAKER_02
[ 00:00:28.071 -->  00:00:29.134] LF SPEAKER_02
[ 00:00:31.851 -->  00:00:34.264] LG SPEAKER_02
[ 00:00:37.032 -->  00:00:40.559] LH SPEAKER_02
[ 00:00:40.862 -->  00:00:42.854] D SPEAKER_00
[ 00:00:42.854 -->  00:00:43.495] LI SPEAKER_02
[ 00:00:43.495 -->  00:00:46.566] GP SPEAKER_01
[ 00:00:47.207 -->  00:00:47.224] GQ SPEAKER_01
[ 00:00:47.224 -->  00:00:49.907] LJ SPEAKER_02
[ 00:00:51.359 -->  00:00:56.016] LK SPEAKER_02
[ 00:00:56.151 -->  00:00:59.745] GR SPEAKER_01
[ 00:00:58.345 -->  00:00:59.459] LL SPEAKER_02
[ 00:00:59.492 -->  00:00:59.509] E SPEAKER_00
[ 00:01:00.825 -->  00:01:08.639] GS SPEAKER_01
[ 00:01:08.639 -->  00:01:09.263] LM SPEAKER_02
[ 00:01:10.292 -->  00:01:10.377] GT SPEAKER_01
[ 00:01:10.394 -->  00:01:13.836] LN SPEAKER_02
[ 00:01:15.034 -->  00:01:20.620] LO SPEAKER_02
[ 00:01:18.747 -->  00:01:19.995] GU SPEAKER_01
[ 00:01:19.995 -->  00:01:23.944] F SPEAKER_00
[ 00:01:21.244 -->  00:01:26.594] LP SPEAKER_02
[ 00:01:23.944 -->  00:01:25.463] GV SPEAKER_01
[ 00:01:28.112 -->  00:01:32.787] LQ SPEAKER_02
[ 00:01:34.221 -->  00:01:35.470] LR SPEAKER_02
[ 00:01:36.077 -->  00:01:37.326] LS SPEAKER_02
[ 00:01:38.389 -->  00:01:44.734] LT SPEAKER_02
[ 00:01:44.734 -->  00:01:48.278] GW SPEAKER_01
[ 00:01:48.008 -->  00:01:49.358] LU SPEAKER_02
[ 00:01:51.484 -->  00:01:54.994] LV SPEAKER_02
[ 00:01:56.479 -->  00:01:57.407] G SPEAKER_00
[ 00:01:58.386 -->  00:02:00.242] LW SPEAKER_02
[ 00:02:01.407 -->  00:02:01.829] LX SPEAKER_02
[ 00:02:02.655 -->  00:02:05.490] LY SPEAKER_02
[ 00:02:06.250 -->  00:02:07.431] LZ SPEAKER_02
[ 00:02:09.321 -->  00:02:15.160] MA SPEAKER_02
[ 00:02:12.780 -->  00:02:22.281] GX SPEAKER_01
[ 00:02:16.662 -->  00:02:20.104] MB SPEAKER_02
[ 00:02:22.349 -->  00:02:24.255] MC SPEAKER_02
[ 00:02:24.222 -->  00:02:29.436] GY SPEAKER_01
[ 00:02:27.090 -->  00:02:28.002] MD SPEAKER_02
[ 00:02:28.002 -->  00:02:28.154] H SPEAKER_00
[ 00:02:28.997 -->  00:02:40.034] I SPEAKER_00
[ 00:02:37.401 -->  00:02:38.127] GZ SPEAKER_01
[ 00:02:40.472 -->  00:02:43.206] ME SPEAKER_02
[ 00:02:44.117 -->  00:02:45.214] J SPEAKER_00
[ 00:02:45.214 -->  00:02:50.952] MF SPEAKER_02
[ 00:02:50.496 -->  00:02:50.985] K SPEAKER_00
[ 00:02:51.694 -->  00:02:54.782] L SPEAKER_00
[ 00:02:52.622 -->  00:02:56.487] MG SPEAKER_02
[ 00:02:57.803 -->  00:02:59.541] MH SPEAKER_02
[ 00:03:00.638 -->  00:03:04.890] MI SPEAKER_02
[ 00:03:07.995 -->  00:03:14.982] M SPEAKER_00
[ 00:03:08.502 -->  00:03:13.395] HA SPEAKER_01
[ 00:03:15.606 -->  00:03:15.994] N SPEAKER_00
[ 00:03:15.842 -->  00:03:28.937] MJ SPEAKER_02
[ 00:03:24.246 -->  00:03:24.499] O SPEAKER_00
[ 00:03:24.499 -->  00:03:24.803] HB SPEAKER_01
[ 00:03:27.638 -->  00:03:29.174] HC SPEAKER_01
[ 00:03:29.730 -->  00:03:34.185] MK SPEAKER_02
[ 00:03:29.815 -->  00:03:31.165] HD SPEAKER_01
[ 00:03:33.004 -->  00:03:35.991] HE SPEAKER_01
[ 00:03:36.514 -->  00:03:40.007] ML SPEAKER_02
[ 00:03:41.594 -->  00:03:42.150] MM SPEAKER_02
[ 00:03:43.467 -->  00:03:44.513] MN SPEAKER_02
[ 00:03:46.251 -->  00:03:47.854] MO SPEAKER_02
