Start,End,Speaker,Text
0:00:00,0:00:26,Patricia,"Alright, let me... i need a tissue. How is everyone doing? Oh my gosh. Alright, let's record. What do you think? About this work?"
0:00:30,0:00:38,Joe,"Creo que podría ser mejor si teníamos más tiempo, pero no tenemos entonces... vamos a hacerlo... en tres semanas."
0:00:38,0:01:06,SPEAKER_04,"Sí, pero lo que me interesa es que el aprendizaje está fácil... sí ocurre cuando estamos hablando y preguntando sobre sus creaciones lo que están haciendo, por qué si están pensando en cada movimiento, la acción, los personajes, the action, the characters... Creo que en las conversaciones que hablamos había mucho..."
0:01:06,0:01:08,Joe,Yes.
0:01:08,0:01:12,SPEAKER_07,I put it into... [inaudible] The learning process.
0:01:12,0:01:14,Patricia,¿Cómo?
0:01:14,0:01:36,Joe,"Learning is going to happen during... in the process. Just like they did with the other animation, but I think this time it will come back to them, hopefully. Especially because I'm seeing now that a lot are just instinctively flattening their clay, which I wish we had done something at the beginning. I guess I should have done my demonstration today. I just didn't realize how many were going to go ahead and start with that."
0:01:36,0:01:38,Patricia,I was mentioning that to them.
0:01:38,0:01:40,Joe,"I heard you saying that, I appreciated it."
0:01:40,0:01:56,Patricia,"And it kind of clicked. They were like, oh... there was a group here, that one of them was making it three-dimensional, so there were two more that were imitating that. Yeah."
0:01:56,0:02:00,Joe,"They learned from each other. I got some to start, but we had to correct."
0:02:00,0:02:20,Patricia,"That was the group with Nobani, Marin and Keisha. I think it was Keisha. Keisha was doing it three-dimensional. It was hard because it was heavy, she was trying to sit in and play something. I think it was Marin. Because Keisha was doing the heart. Marin. Keisha was doing the heart because she said she had finished her movie already. And she was just making the heart for fun."
0:02:20,0:02:30,Joe,"She's using that as her background, instead of a photo. That's a background. But I kept telling her, you need to also make your characters,"
0:02:30,0:02:38,Patricia,"I don't think she has yet. She will. So you think that maybe telling them, you said, I wish we had told them before."
0:02:38,0:02:46,Joe,"I wish we had started off by doing my demonstration, because in my demonstration, I was slash still am going to show standing up 3D."
0:02:46,0:02:48,Patricia,So we didn't create a model in the end?
0:02:48,0:03:02,Joe,"No, we were going to show it tomorrow, because today was just supposed to be finishing up the writing, and for those who had already finished it, working with me personally. That's fine. I think we should still show them."
0:03:02,0:03:10,Patricia,"It's nice that we saw this today, the first way of starting. This is great. This is the learning process happening."
0:03:10,0:03:16,SPEAKER_04,"It's older, because I think, well, Marin is older, but some of the kids instinctively did 3D too. Yes."
0:03:16,0:03:20,Patricia,It just depended on. I only saw Marin.
0:03:20,0:03:24,SPEAKER_04,"Dylan, Isabelle. Who? That group?"
0:03:24,0:03:28,Patricia,"Yes, because she's like, well, I'm doing this. I didn't see that group today."
0:03:28,0:03:38,Belen,"But Dariel, he started 3D. Yes, he made a little bus. Car. Yes, like a car."
0:03:38,0:03:42,Patricia,"For the car that was going to hit the other car, I was going to push him"
0:03:42,0:03:46,SPEAKER_02,On the way to the beach. For the car that was driving him to the beach.
0:03:46,0:04:00,Patricia,"Another car was going to hit them. And he was going to push them faster to the beach. But the car that hit them was going to be destroyed. But not them, because the car was very strong. Oh, that's good. That's good to hear."
0:04:00,0:04:08,Belen,"And Dadan made them, but he wanted to do it three-dimensional, but they were too heavy."
0:04:08,0:04:16,Joe,I was worried about that with the Play-Doh. It's kind of a problem. I can make the legs bigger and the top smaller.
0:04:16,0:04:28,Belen,But you know what? I saw that Daniel started doing it. He used one of the clips that I used for the paper. And he started molding with the clay.
0:04:28,0:04:32,SPEAKER_01,I was thinking of that today. They figured out the tool.
0:04:32,0:04:36,,"[SPEAKER_01 It could be helpful to get stuff to stand too, [SPEAKER_01to reinforce it."
0:04:36,0:04:50,Belen,"So there were, Jordani and Daniel were finding ways that it would stand up. And they were using one clip, so they were kind of fighting over the clip. Like, I want it because I want my character to stand."
0:04:50,0:04:58,SPEAKER_04,"[Cristina?] I don't know if it helps or if it made it worse, but I proactively helped Nathan make it tiny. Yeah. So it would stand and you would use less."
0:04:58,0:05:02,Patricia,Yeah. I don't know how we're going to get some of these figures
0:05:02,0:05:04,Joe,Inside the box.
0:05:04,0:05:24,Patricia,"We can just move it close. They could make it outside. Why restrict them to... a box. One thing is the flatness. Then when they make it three-dimensional, we have the weight problem. I would let them explore. That's part of the artistic process of learning. That's what I was going to say."
0:05:24,0:05:26,,[Patric The art process is in that.
0:05:26,0:05:30,Patricia,It's in realizing that it's too heavy. How do I make it work?
0:05:30,0:05:32,Joe,Limitations and possibilities of the materials.
0:05:32,0:05:36,Patricia,"I know we want things to go fast, but that's really the learning."
0:05:36,0:05:38,SPEAKER_01,"Yeah, I think it's okay that it..."
0:05:38,0:06:24,Belen,"Jayden had a story that began in the morning and then finished in the middle of the night. But when I told him, well, you should have a different background because it's night. So he just changed the time. Oh, never mind. Jayden is so thinking about it. But he was very aware of what time to put and to make sure that it says a.m. To make sure that the story is still in the middle of the night. And to make sure that the story is still in the morning. Because he wanted to, after the fight was too long, they were just tired and left. So he wrote for us 9.30 a.m. On the first scene. And then on the last one, it was like 11 p.m."
0:06:24,0:06:26,Joe,Long fight.
0:06:26,0:06:28,Patricia,This was Jayden?
0:06:28,0:06:42,Belen,"Yes. And then when I told him that he will have to have he just went to the last one, he erased the time and put 10 a.m. I said, no, 30 minutes."
0:06:42,0:06:44,SPEAKER_04,Realistic.
0:06:44,0:07:00,Joe,"I think they'll figure out part of the photographing, capturing the animation process is going to be changing their models still to make it work. Even if that means they transform throughout. That's okay."
0:07:00,0:07:42,SPEAKER_04,"There's a lot of detail. It's interesting to see who focused on what. He was like, I need to do the buttons. He was looking for all these colors. I'm not going to do it anymore because I don't have my colors. It was interesting because there was a lot of learning too in terms of sharing and asking for things. Because I think it's one thing he particularly also struggles with. Everyone does. Just walking around holding his hand, look for it, find the person, ask them if they have anything left. [Patricia] Like colors. There was very little. Use what you can with what you have."
0:07:42,0:07:46,Patricia,Did we run out of clay? No.
0:07:46,0:07:50,SPEAKER_04,Because a lot of the kids made a huge...
0:07:50,0:07:52,,[SPEAKER_07 They wanted specific colors.
0:07:52,0:08:14,Patricia,"I gave my son some bottles. He mixed everything together and he made a big box that has different layers. He cut it in half. This is like a piece of art. It looks beautiful. They just love the amount. Layers is like the earth, but it looks beautiful."
0:08:14,0:08:22,Joe,"I have to tell Keisha i like what it looks like, but you're using a lot of Play-Doh to make it."
0:08:22,0:08:28,Patricia,"You have to privilege the artistic process, Joe, and the creation."
0:08:28,0:08:32,Joe,"Of course, yeah, I just didn't want us to run out of any certain colors for other students."
0:08:32,0:09:06,SPEAKER_04,"She shared in the end. She made more, of course, because she used colors. She came and she was asking. She was asking, can I take a little bit of that to balance? I think there was a lot of learning in that sense, asking someone for it. That's learning in itself. He didn't cry. He was like, ah. But then he was fine. In two minutes he got up and was like, yeah, let's walk around. I think that there was a little bit of that."
0:09:06,0:09:38,Belen,"I was thinking that when we have less colors, they have to think how to create colors. Like, if I put this one with this one. I was not thinking of that, but I was thinking if they get to that part, I'm out of X color. Do they mix well? Yeah, they mix. Actually, at the end, Jayden was mixing pink and yellow and he realized it was orange. So he was like, oh."
0:09:38,0:09:50,Joe,"At one point, Dylan came over and grabbed brown. He said, this is the color of my dad's skin. He said, I need orange, too. He needed a little orange, I guess. At one point,"
0:09:50,0:10:08,SPEAKER_01,"Isabel was mixing orange and white to make a peach color. She made it and said, oh, this kind of looks like your skin color. I'm not sure. And then Dylan comes over with a bunch of... i think right before or after he went to get that brown from you. He was like, I've got too much orange"
0:10:08,0:10:12,None,And I'm going to look like Donald Trump. That's so funny.
0:10:12,0:11:44,SPEAKER_01,"That's funny. It was really funny. It was also really interesting to hear them talk about... he does look orange. He does look orange. I was like, you're not wrong, Dylan. You don't want that. Whatever cream you're using is not working. I don't know. Hearing them make those connections and also talking about like you were saying, Angela, figuring out what to do with what they had. The only person who didn't make it to building with clay, I think, was Jaylene, who was really focused on her drawing. But when I asked her about it, it was really sweet. She had drawn her, her mom, Janina, and then the baby siblings that she, her mom, I guess recently had twins. And she wanted her story to be her at the hospital meeting them. [Group] Aww. And I was like, okay, so what's your conflict in the story? What's the problem? What happens when you're in your story? And she was like, well, the doctor didn't let us go inside. I was like, oh my gosh, this is a great story. The doctor didn't even feel like you're still in there. The story's taking place outside the hospital. She had to wait outside. I don't know, I just wanted to share that. That is fantastic. She spent so much time. She was really working so hard on making the drawings really nice. This isn't really the end goal. She didn't want to stop you."
0:11:44,0:12:22,SPEAKER_02,"I just wanted to let her. Gerdane was the same. He's doing Mario, the Mario movie. There's no way out of it. But he was saying the princess is going to join them. And he said they're not going to rescue the princess because the princess has been training very hard so she's going to fight with them. Yeah. That's probably what happened in the movie. Yeah, but he was like just mentioning being clear about nobody needs to rescue the princess. She can fight with them. I think that was it. And he was very happy drawing. He's very good."
0:12:22,0:12:26,Patricia,He draws it. There is a princess in the Mario
0:12:26,0:12:32,Joe,Video game. Usually she's just getting rescued. It's good that he could discern
0:12:32,0:12:40,SPEAKER_02,The message. Yeah. Another one that wanted every detail of the Mario.
0:12:40,0:12:46,Patricia,And then I told him with Crayon it might be difficult to... so you don't need to spend so much time.
0:12:46,0:12:52,SPEAKER_02,I mean I thought that he was enjoying doing the drawing process and that he would feel
0:12:52,0:12:54,None,When he gets to ...
0:12:54,0:13:16,Patricia,"How to make it work. It's this balance I think between moving them forward. Like you said, if you tell me make the head lighter then it will hold. So that they learn it on their own. Letting them explore the artistic part. He spent most of the session in this one square. Drawing."
0:13:16,0:13:34,Belen,But by the end i asked him if he wanted to try to do one of the parts. So he got to start to planning. He was like looking at the clay like... mmm...
0:13:34,0:13:48,Patricia,It's such a different... but that's the beauty that it's not replicating it. It's making something new. Inspired by whatever thinking you've done before. It's a translation. It's transmediation. It's not mere replication.
0:13:48,0:14:02,SPEAKER_01,I wonder also for a kid like Giordani if we just let him with the drawing. Is the clay... i don't know. Maybe the clay is the goal. Maybe pushing the clay.
0:14:02,0:14:18,Patricia,"Hi! Hi, Navina? Marin. No, Novani. I've made friends with Navina. I don't remember her name. I don't remember her much because she hasn't come yet."
0:14:20,0:14:32,SPEAKER_01,Sorry. I wonder if... if he should do it with the drawing. Do it with the drawing. Like with drawing and cutting out. Like we did before.
0:14:32,0:14:34,Joe,I think we should open it up to that.
0:14:34,0:14:40,Patricia,And then to address the 3D he could put some stand like a little piece of something to hold it up.
0:14:40,0:14:44,SPEAKER_02,Or whatever he comes up with. Maybe we can...
0:14:44,0:14:48,Belen,That would be great. Make pieces of white paper.
0:14:48,0:14:52,SPEAKER_01,"Yes, it's a possibility. I feel like..."
0:14:52,0:15:00,Patricia,Why not let him run with it? If he only wants that. It should be his decision to choose. And then do whatever he wants.
0:15:00,0:15:18,Belen,"That would be great to see what happens. But probably give him the option. If you want to. We can make the accommodations. I don't want clay. But he was trying to do Donkey Kong with the clay. Oh, he had no practice"
0:15:18,0:15:22,SPEAKER_02,To help to say... dK.
0:15:22,0:15:28,Joe,"He didn't like when I called him DK. But that's what I remember. Donkey Kong, yeah?"
0:15:28,0:16:22,Patricia,Donkey Kong. So we have the artistic process. Someone mentioned the story. Like Cristina said. What's the problem? What's the main action in the story? I was trying to ask what's the message? What are you trying to tell in the story? What is the story? It's that you want the... but I couldn't get to that. That's another goal that we had. To maybe think about inferring. What is it that they want us to infer from the story? It's kind of the opposite way of inferring. Because they are creating something for us to infer. Or I guess we will make whatever meaning we want with their stories. But I was asking them to explore that a little bit. Did you ask them any of that? What were your questions about the story?
