[0:00:00 -> 0:00:02]  Alright, let me...
[0:00:02 -> 0:00:04]  I need a tissue.
[0:00:14 -> 0:00:16]  How is everyone doing? Oh my gosh.
[0:00:16 -> 0:00:18]  Alright, let's record.
[0:00:22 -> 0:00:24]  What do you think?
[0:00:24 -> 0:00:26]  About this work?
[0:00:30 -> 0:00:32]  We have more time, but we don't have it.
[0:00:32 -> 0:00:34]  So...
[0:00:34 -> 0:00:36]  We're going to do it...
[0:00:36 -> 0:00:38]  In three weeks.
[0:00:38 -> 0:00:40]  But what worries me is that
[0:00:40 -> 0:00:42]  the learning process is...
[0:00:42 -> 0:00:50]  It happens when we're talking and asking about their creations,
[0:00:50 -> 0:00:52]  what they're doing, why,
[0:00:52 -> 0:00:54]  if they were made and created on the stage,
[0:00:54 -> 0:00:58]  if they're thinking about each movement,
[0:00:58 -> 0:01:00]  the action, the characters...
[0:01:00 -> 0:01:04]  I feel like in the conversations we had,
[0:01:04 -> 0:01:06]  there was a lot of...
[0:01:06 -> 0:01:08]  Yes.
[0:01:08 -> 0:01:10]  I put it into...
[0:01:10 -> 0:01:12]  The learning process.
[0:01:12 -> 0:01:14]  How?
[0:01:14 -> 0:01:16]  Learning is going to happen during...
[0:01:16 -> 0:01:18]  In the process.
[0:01:18 -> 0:01:20]  Just like they did with the other animation,
[0:01:20 -> 0:01:22]  but I think this time it will come back to them, hopefully.
[0:01:22 -> 0:01:24]  Especially because I'm seeing now that a lot are just
[0:01:24 -> 0:01:26]  instinctively flattening their clay,
[0:01:26 -> 0:01:30]  which I wish we had done something at the beginning.
[0:01:30 -> 0:01:32]  I guess I should have done my demonstration today.
[0:01:32 -> 0:01:36]  I just didn't realize how many were going to go ahead and start with that.
[0:01:36 -> 0:01:38]  I was mentioning that to them.
[0:01:38 -> 0:01:40]  I heard you saying that, I appreciated it.
[0:01:40 -> 0:01:42]  And it kind of clicked.
[0:01:42 -> 0:01:44]  They were like,
[0:01:44 -> 0:01:46]  oh...
[0:01:46 -> 0:01:48]  There was a group here,
[0:01:48 -> 0:01:50]  that one of them was making it three-dimensional,
[0:01:50 -> 0:01:54]  so there were two more that were imitating that.
[0:01:54 -> 0:01:56]  Yeah.
[0:01:56 -> 0:01:58]  They learned from each other.
[0:01:58 -> 0:02:00]  I got some to start, but we had to correct.
[0:02:00 -> 0:02:02]  That was the group with Nobani, Marin and Keisha.
[0:02:02 -> 0:02:04]  I think it was Keisha.
[0:02:04 -> 0:02:06]  Keisha was doing it three-dimensional.
[0:02:06 -> 0:02:08]  It was hard because it was heavy,
[0:02:08 -> 0:02:10]  she was trying to sit in and play something.
[0:02:10 -> 0:02:12]  I think it was Marin.
[0:02:12 -> 0:02:14]  Because Keisha was doing the heart.
[0:02:14 -> 0:02:16]  Marin.
