Start,End,Speaker,Text
0:00:00,0:00:02,?,Muffy y Mario...
0:00:06,0:00:07,Patricia,Cuéntame.
0:00:07,0:00:09,Patricia,Cuéntame que estás haciendo.
0:00:13,0:00:15,Patricia,¿Cómo nada? ¿No están planificando su stop motion?
0:00:15,0:00:16,Belén,Sí.
0:00:16,0:00:18,Belén,"Muffy, a ver cómo va."
0:00:18,0:00:19,Belén,Aquí.
0:00:19,0:00:20,Belén,Dime.
0:00:20,0:00:22,Belén,¿Se acuerda de que íbamos a cambiar la historia?
0:00:22,0:00:23,Belén,¿Sí?
0:00:23,0:00:25,Belén,¿Se acuerda de que íbamos a cambiar aquí?
0:00:25,0:00:27,Belén,Tenemos que que se reconcilien.
0:00:28,0:00:30,Patricia,"Es Aiden, ¿verdad?"
0:00:30,0:00:31,Belén,"Sí, es Jayden."
0:00:31,0:00:33,Belén,"Jayden, Jayden."
0:00:33,0:00:34,Belén,Con Belén.
0:00:34,0:00:37,Belén,Donde se pelean con Isis.
0:00:37,0:00:38,Patricia,"Ajá, ajá."
0:00:38,0:00:40,Patricia,Este es Jayden y ese es Isis.
0:00:40,0:00:41,Patricia,Sí.
0:00:41,0:00:43,SPEAKER_00,"Isis hizo esto, no yo."
0:00:43,0:00:44,Belén,Con otra Isis.
0:00:44,0:00:45,Belén,"Oh, Isis."
0:00:45,0:00:47,Belén,"Isis hizo la historia, no yo."
0:00:47,0:00:48,Patricia,¿Hizo la historia?
0:00:48,0:00:49,Patricia,Sí.
0:00:49,0:00:50,Patricia,¿La semana pasada?
0:00:51,0:00:53,Patricia,¿Cuando? ¿Antes de vacaciones?
0:00:53,0:00:54,Belén,Antes del break.
0:00:54,0:00:56,Patricia,"Ah, ¿pero te acuerdas de qué era?"
0:00:56,0:00:59,Belén,Y al final el puso que se iban enojados.
0:01:00,0:01:04,Belén,"Entonces estábamos hablando que cuando peleamos con los amigos,"
0:01:04,0:01:07,Belén,si nos quedamos enojados o nos reconciliamos.
0:01:10,0:01:12,Patricia,"Cuéntame, Jayden, ¿no te gustaba esta historia?"
0:01:12,0:01:13,Patricia,¿No querías esta historia?
0:01:13,0:01:14,Belén,¿O quieren que termine?
0:01:14,0:01:17,Patricia,Porque dices que Isis fue el que la hizo.
0:01:17,0:01:18,Patricia,La que la hizo.
0:01:18,0:01:19,Patricia,¿La podemos cambiar?
0:01:20,0:01:22,Patricia,"Cuéntame, cuéntame la historia."
0:01:22,0:01:24,Patricia,"¿Te gusta la historia, Jayden?"
0:01:24,0:01:25,Patricia,Cuéntamela.
0:01:25,0:01:27,Patricia,¿Es importante para ti esta historia o no?
0:01:27,0:01:28,Jayden,Sí.
0:01:28,0:01:30,Patricia,"Pero tiene que ser importante para ti, ¿por qué?"
0:01:32,0:01:34,Patricia,Porque es importante para ti.
0:01:35,0:01:36,Patricia,¿Qué vas a poner?
0:01:36,0:01:39,Patricia,¿Vas a poner algo de la comunidad en tu caja para la historia?
0:01:39,0:01:40,Jayden,No.
0:01:40,0:01:42,Patricia,¿Dónde va a pasar esta historia?
0:01:42,0:01:44,Jayden,En el parque.
0:01:44,0:01:46,Patricia,¿En el parque? A ver.
0:01:48,0:01:51,Patricia,"En el parque que no fuimos, que está, pero que es donde juegan al béisbol."
0:01:51,0:01:53,Patricia,"No fuimos el día del paseo, digo."
0:01:54,0:01:55,Patricia,¿No?
0:01:55,0:01:56,Jayden,No.
0:01:56,0:01:57,Patricia,"Ok, pero va a ser en el parque."
0:01:57,0:01:58,Patricia,No fuimos.
0:01:58,0:01:59,Belén,¡Wow!
0:01:59,0:02:00,Patricia,Va a ser en el parque.
0:02:02,0:02:04,Patricia,"A ver, y Dariel, ¿qué está haciendo?"
0:02:04,0:02:05,Patricia,¡Wow!
0:02:05,0:02:06,Patricia,Es perfecto.
0:02:06,0:02:07,Patricia,¿Lo has dicho?
0:02:07,0:02:08,Patricia,Sí.
0:02:08,0:02:09,Belén,Yo creo que está bien así.
0:02:09,0:02:10,Patricia,Sí.
0:02:10,0:02:11,Patricia,Pero cuéntamelo.
0:02:11,0:02:13,Patricia,¿O qué va a pasar en el parque y qué va a pasar?
0:02:13,0:02:15,Belén,Voy con la profesora y la profesora.
0:02:15,0:02:16,Belén,¿Qué va a pasar?
0:02:20,0:02:22,Belén,Explícale a la profesora cómo es la historia.
0:02:22,0:02:24,Patricia,"Y podemos cambiar cositas. A ver, cuéntame."
0:02:26,0:02:27,Patricia,"A ver, Jaden."
0:02:32,0:02:34,SPEAKER_00,We need like a...
0:02:34,0:02:35,SPEAKER_00,.... 
0:02:41,0:02:43,Patricia,"Bueno, los muñequitos los vamos a hacer con plástico, ¿no?"
0:02:44,0:02:45,SPEAKER_00,No.
0:02:45,0:02:46,Patricia,Sí.
0:02:46,0:02:47,Patricia,¿Cómo los vamos a hacer?
0:02:47,0:02:49,Patricia,"Espera, que a lo mejor él tiene otra idea, Dariel."
0:02:49,0:02:51,Patricia,Porque ha dicho que no.
0:02:52,0:02:54,Patricia,"Sí, sí, lo vamos a hacer con plástico."
0:02:54,0:02:56,Patricia,Vamos a hacer una Isis y vamos a hacer un Jaden.
0:02:58,0:03:00,Patricia,¿Y qué va a pasar? ¿Cómo va a ser la acción?
0:03:00,0:03:02,Patricia,¿Cómo va a ser la acción?
0:03:02,0:03:04,Patricia,¿Cómo va a ser tu stop motion?
0:03:04,0:03:05,Patricia,¿Qué va a pasar primero?
0:03:09,0:03:12,Belén,¿Queda revisar lo que escribimos primero?
0:03:12,0:03:14,Jayden,"No, no, no, no."
0:03:15,0:03:17,Patricia,¿Le puedo sacar una foto?
0:03:17,0:03:19,Patricia,"Oh, oh, ¿qué escribieron aquí?"
0:03:19,0:03:21,Patricia,Un montón de palabras.
0:03:21,0:03:23,Patricia,Vamos a hacer una foto de tu... de tu...
0:03:23,0:03:24,Patricia,movie.
0:03:24,0:03:25,Patricia,"Espera, primero que la coloque."
0:03:25,0:03:27,Patricia,Hagale pues, a apretar.
0:03:27,0:03:29,Patricia,¿Le quieres apretar tú?
0:03:30,0:03:31,Patricia,"Jaden, ¿le quieres apretar?"
0:03:31,0:03:32,Patricia,¿Al botón?
0:03:32,0:03:33,Patricia,¿Aquí?
0:03:33,0:03:34,Patricia,La aprieto yo.
0:03:34,0:03:35,Belén,Mira para ti y mira ahí.
0:03:36,0:03:38,Patricia,"Ahí, perfecto. Gracias."
0:03:38,0:03:40,Patricia,Este es el de Jaden y Isis.
0:03:41,0:03:42,Patricia,¿Es verdad?
0:03:43,0:03:44,Patricia,¿Me cuentas?
0:03:46,0:03:47,Patricia,¿Ahí qué pusieron?
0:03:47,0:03:48,Patricia,¿Me?
0:03:50,0:03:51,Patricia,¿Isis?
0:03:51,0:03:52,Jayden,Isis.
0:03:52,0:03:54,Jayden,"Me, fighting Isis."
0:03:54,0:03:56,Patricia,Fighting Isis.
0:03:56,0:03:57,Patricia,"Buen título, ¿no?"
0:03:57,0:03:59,Patricia,Porque de eso es la historia.
0:03:59,0:04:02,Patricia,¿Y qué quieres decirle a las personas que vean tu historia?
0:04:03,0:04:05,Patricia,¿Qué mensaje estás dando como autor?
0:04:05,0:04:06,Patricia,Tú eres el autor de la historia.
0:04:06,0:04:08,Patricia,¿Cuál es tu mensaje?
0:04:09,0:04:10,Patricia,Al lector.
