Audio File : whispy\apr_25\042523_meeting.wav             
Pipeline : pyannote/speaker-diarization
                    
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 08:50:57          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                    
[ 00:00:00.750 -->  00:00:06.488] IL SPEAKER_04
[ 00:00:12.867 -->  00:00:19.448] IM SPEAKER_04
[ 00:00:19.448 -->  00:00:21.135] OL SPEAKER_06
[ 00:00:21.861 -->  00:00:48.372] OM SPEAKER_06
[ 00:00:48.068 -->  00:01:00.488] IN SPEAKER_04
[ 00:01:02.648 -->  00:01:17.616] IO SPEAKER_04
[ 00:01:18.595 -->  00:01:23.995] IP SPEAKER_04
[ 00:01:24.957 -->  00:01:24.990] PR SPEAKER_07
[ 00:01:28.349 -->  00:01:33.867] PS SPEAKER_07
[ 00:01:33.597 -->  00:01:43.249] IQ SPEAKER_04
[ 00:01:43.249 -->  00:02:01.440] PT SPEAKER_07
[ 00:01:52.986 -->  00:01:54.437] ON SPEAKER_06
[ 00:01:54.437 -->  00:01:55.230] A SPEAKER_00
[ 00:01:57.525 -->  00:01:59.365] RP SPEAKER_08
[ 00:02:01.440 -->  00:02:14.924] IR SPEAKER_04
[ 00:02:13.000 -->  00:03:03.945] OO SPEAKER_06
[ 00:02:40.995 -->  00:02:41.282] B SPEAKER_00
[ 00:03:03.945 -->  00:03:30.996] IS SPEAKER_04
[ 00:03:10.527 -->  00:03:10.949] FL SPEAKER_03
[ 00:03:30.996 -->  00:03:57.996] OP SPEAKER_06
[ 00:03:52.647 -->  00:03:55.229] FM SPEAKER_03
[ 00:04:00.949 -->  00:04:18.938] OQ SPEAKER_06
[ 00:04:18.938 -->  00:04:25.452] IT SPEAKER_04
[ 00:04:25.452 -->  00:04:37.079] OR SPEAKER_06
[ 00:04:29.265 -->  00:04:29.738] FN SPEAKER_03
[ 00:04:38.462 -->  00:04:45.938] OS SPEAKER_06
[ 00:04:38.513 -->  00:04:40.302] FO SPEAKER_03
[ 00:04:42.495 -->  00:04:42.614] FP SPEAKER_03
[ 00:04:45.938 -->  00:05:14.490] IU SPEAKER_04
[ 00:05:02.982 -->  00:05:06.374] VO SPEAKER_11
[ 00:05:05.445 -->  00:05:06.289] OT SPEAKER_06
[ 00:05:06.407 -->  00:05:07.352] UX SPEAKER_10
[ 00:05:17.832 -->  00:05:24.447] OU SPEAKER_06
[ 00:05:23.907 -->  00:05:27.450] IV SPEAKER_04
[ 00:05:27.450 -->  00:05:43.448] DU SPEAKER_02
[ 00:05:36.192 -->  00:05:36.462] UY SPEAKER_10
[ 00:05:44.646 -->  00:05:50.367] DV SPEAKER_02
[ 00:05:50.265 -->  00:06:11.005] OV SPEAKER_06
[ 00:06:00.559 -->  00:06:01.234] C SPEAKER_00
[ 00:06:07.259 -->  00:06:07.950] FQ SPEAKER_03
[ 00:06:11.005 -->  00:06:17.451] IW SPEAKER_04
[ 00:06:11.781 -->  00:06:12.220] OW SPEAKER_06
[ 00:06:14.819 -->  00:06:14.954] TD SPEAKER_09
[ 00:06:16.236 -->  00:06:21.180] OX SPEAKER_06
[ 00:06:17.451 -->  00:06:18.734] FR SPEAKER_03
[ 00:06:18.497 -->  00:06:19.712] IX SPEAKER_04
[ 00:06:20.590 -->  00:07:06.557] IY SPEAKER_04
[ 00:06:48.029 -->  00:06:51.117] VP SPEAKER_11
[ 00:07:05.444 -->  00:07:18.454] DW SPEAKER_02
[ 00:07:18.437 -->  00:07:47.783] IZ SPEAKER_04
[ 00:07:45.758 -->  00:08:03.949] DX SPEAKER_02
[ 00:07:49.403 -->  00:07:52.997] UZ SPEAKER_10
[ 00:07:52.997 -->  00:07:54.060] FS SPEAKER_03
[ 00:07:53.706 -->  00:07:53.942] VA SPEAKER_10
[ 00:08:01.114 -->  00:08:01.958] JA SPEAKER_04
[ 00:08:03.004 -->  00:08:12.505] JB SPEAKER_04
[ 00:08:03.949 -->  00:08:04.152] VB SPEAKER_10
[ 00:08:12.505 -->  00:08:14.226] OY SPEAKER_06
[ 00:08:14.817 -->  00:09:24.375] JC SPEAKER_04
[ 00:08:47.605 -->  00:08:48.297] PU SPEAKER_07
[ 00:08:51.503 -->  00:08:52.414] FT SPEAKER_03
[ 00:09:22.992 -->  00:09:41.740] D SPEAKER_00
[ 00:09:41.740 -->  00:09:48.709] JD SPEAKER_04
[ 00:09:47.494 -->  00:09:54.177] E SPEAKER_00
[ 00:09:54.784 -->  00:10:15.574] TE SPEAKER_09
[ 00:10:16.705 -->  00:10:35.352] JE SPEAKER_04
[ 00:10:19.388 -->  00:10:21.143] FU SPEAKER_03
[ 00:10:19.945 -->  00:10:20.367] VQ SPEAKER_11
[ 00:10:33.580 -->  00:10:34.305] FV SPEAKER_03
[ 00:10:34.305 -->  00:10:34.744] TF SPEAKER_09
[ 00:10:34.508 -->  00:10:41.190] OZ SPEAKER_06
[ 00:10:35.352 -->  00:10:35.453] TG SPEAKER_09
[ 00:10:41.174 -->  00:10:57.492] JF SPEAKER_04
[ 00:10:44.565 -->  00:10:45.780] NR SPEAKER_05
[ 00:10:57.492 -->  00:11:07.887] NS SPEAKER_05
[ 00:10:59.179 -->  00:10:59.297] FW SPEAKER_03
[ 00:11:00.462 -->  00:11:00.495] FX SPEAKER_03
[ 00:11:07.887 -->  00:11:10.992] DY SPEAKER_02
[ 00:11:11.937 -->  00:11:11.954] DZ SPEAKER_02
[ 00:11:15.953 -->  00:11:23.226] JG SPEAKER_04
[ 00:11:23.969 -->  00:11:25.487] JH SPEAKER_04
[ 00:11:32.457 -->  00:12:00.165] JI SPEAKER_04
[ 00:11:35.494 -->  00:11:36.473] FY SPEAKER_03
[ 00:11:36.473 -->  00:11:37.890] PA SPEAKER_06
[ 00:11:53.297 -->  00:11:53.449] FZ SPEAKER_03
[ 00:11:54.546 -->  00:11:55.002] GA SPEAKER_03
[ 00:11:55.002 -->  00:11:56.031] PV SPEAKER_07
[ 00:11:56.031 -->  00:11:56.284] GB SPEAKER_03
[ 00:12:00.908 -->  00:12:02.849] JJ SPEAKER_04
[ 00:12:04.199 -->  00:12:05.987] RQ SPEAKER_08
[ 00:12:06.764 -->  00:12:07.000] RR SPEAKER_08
[ 00:12:07.000 -->  00:12:08.991] JK SPEAKER_04
[ 00:12:10.544 -->  00:12:13.092] JL SPEAKER_04
[ 00:12:12.839 -->  00:12:13.210] RS SPEAKER_08
[ 00:12:13.210 -->  00:12:13.395] GC SPEAKER_03
[ 00:12:13.395 -->  00:12:17.952] PB SPEAKER_06
[ 00:12:17.327 -->  00:12:20.449] RT SPEAKER_08
[ 00:12:20.449 -->  00:12:33.426] JM SPEAKER_04
[ 00:12:38.320 -->  00:12:42.994] JN SPEAKER_04
[ 00:12:39.535 -->  00:12:40.935] PC SPEAKER_06
[ 00:12:40.851 -->  00:12:41.290] VR SPEAKER_11
[ 00:12:48.462 -->  00:12:49.609] PW SPEAKER_07
[ 00:12:51.128 -->  00:12:59.447] PX SPEAKER_07
[ 00:13:00.426 -->  00:13:02.991] PY SPEAKER_07
[ 00:13:03.953 -->  00:13:15.495] PZ SPEAKER_07
[ 00:13:18.449 -->  00:13:36.960] PD SPEAKER_06
[ 00:13:24.490 -->  00:13:25.114] GD SPEAKER_03
[ 00:13:35.594 -->  00:13:39.509] QA SPEAKER_07
[ 00:13:38.648 -->  00:13:48.520] PE SPEAKER_06
[ 00:13:42.833 -->  00:13:42.951] QB SPEAKER_07
[ 00:13:43.761 -->  00:13:52.452] QC SPEAKER_07
[ 00:13:45.449 -->  00:13:45.499] JO SPEAKER_04
[ 00:13:53.127 -->  00:14:03.539] QD SPEAKER_07
[ 00:14:04.551 -->  00:14:12.179] JP SPEAKER_04
[ 00:14:08.112 -->  00:14:09.023] GE SPEAKER_03
[ 00:14:09.799 -->  00:14:10.002] GF SPEAKER_03
[ 00:14:10.002 -->  00:14:17.444] PF SPEAKER_06
[ 00:14:13.934 -->  00:14:15.537] JQ SPEAKER_04
[ 00:14:14.001 -->  00:14:14.507] VC SPEAKER_10
[ 00:14:17.444 -->  00:14:20.245] JR SPEAKER_04
[ 00:14:20.329 -->  00:14:30.015] QE SPEAKER_07
[ 00:14:30.015 -->  00:14:52.544] EA SPEAKER_02
[ 00:14:49.590 -->  00:14:58.500] QF SPEAKER_07
[ 00:14:56.172 -->  00:14:59.496] EB SPEAKER_02
[ 00:14:59.496 -->  00:15:04.221] QG SPEAKER_07
[ 00:15:00.812 -->  00:15:01.251] EC SPEAKER_02
[ 00:15:02.989 -->  00:15:12.456] ED SPEAKER_02
[ 00:15:11.157 -->  00:15:17.130] JS SPEAKER_04
[ 00:15:18.818 -->  00:15:27.998] JT SPEAKER_04
[ 00:15:27.998 -->  00:15:31.829] EE SPEAKER_02
[ 00:15:29.280 -->  00:15:45.548] JU SPEAKER_04
[ 00:15:45.345 -->  00:16:15.872] BA SPEAKER_01
[ 00:15:50.391 -->  00:15:53.530] JV SPEAKER_04
[ 00:16:17.442 -->  00:16:18.944] BB SPEAKER_01
[ 00:16:18.437 -->  00:16:19.450] GG SPEAKER_03
[ 00:16:19.146 -->  00:16:25.997] JW SPEAKER_04
[ 00:16:25.997 -->  00:16:31.971] QH SPEAKER_07
[ 00:16:28.107 -->  00:16:28.444] JX SPEAKER_04
[ 00:16:28.444 -->  00:16:28.495] TH SPEAKER_09
[ 00:16:28.495 -->  00:16:42.450] BC SPEAKER_01
[ 00:16:28.697 -->  00:16:29.001] F SPEAKER_00
[ 00:16:31.971 -->  00:16:32.460] GH SPEAKER_03
[ 00:16:39.464 -->  00:16:40.257] GI SPEAKER_03
[ 00:16:40.257 -->  00:16:47.496] G SPEAKER_00
[ 00:16:41.725 -->  00:16:42.670] GJ SPEAKER_03
[ 00:16:43.868 -->  00:16:45.859] BD SPEAKER_01
[ 00:16:51.344 -->  00:16:54.145] EF SPEAKER_02
[ 00:16:54.145 -->  00:16:54.482] TI SPEAKER_09
[ 00:16:55.984 -->  00:16:56.035] TJ SPEAKER_09
[ 00:16:56.035 -->  00:16:56.052] JY SPEAKER_04
[ 00:16:57.537 -->  00:17:35.100] JZ SPEAKER_04
[ 00:17:17.719 -->  00:17:18.867] H SPEAKER_00
[ 00:17:28.553 -->  00:17:29.650] I SPEAKER_00
[ 00:17:32.974 -->  00:17:38.003] EG SPEAKER_02
[ 00:17:35.100 -->  00:17:45.445] BE SPEAKER_01
[ 00:17:42.947 -->  00:17:42.964] GK SPEAKER_03
[ 00:17:42.964 -->  00:17:43.504] VS SPEAKER_11
[ 00:17:43.504 -->  00:18:01.324] RU SPEAKER_08
[ 00:17:45.445 -->  00:17:46.272] QI SPEAKER_07
[ 00:17:59.502 -->  00:18:01.729] BF SPEAKER_01
[ 00:18:01.324 -->  00:18:01.746] VT SPEAKER_11
[ 00:18:01.493 -->  00:18:03.299] J SPEAKER_00
[ 00:18:03.299 -->  00:18:03.889] BG SPEAKER_01
[ 00:18:03.889 -->  00:18:04.007] K SPEAKER_00
[ 00:18:04.007 -->  00:18:14.774] KA SPEAKER_04
[ 00:18:04.986 -->  00:18:05.003] BH SPEAKER_01
