Start,End,Speaker,Text
0:00:00,0:00:07,Patricia,"But I'm going, because I didn't speak so much today. It's confusing. It's confusing. It's confusing. It's confusing."
0:00:07,0:00:22,Patricia,"I know. That's funny. It's OK. Yes, so we have our visitor today here, Dr. Baird Hobbit. Would you like to say a little bit about your work?"
0:00:22,0:00:48,Baird,"I'm in early childhood at Brooklyn College, and I teach at the Graduate Center in the Urban Ed program, and this is the light to the city program. And I've read about it, so it was really fun to see it. And Patricia and I are both in the chat segment, so we're sort of interested in it, even though we're in different practical fields. I'm in early childhood, but we have this overlap from our theory."
0:00:48,0:01:01,Patricia,"So thanks for having me. Yeah, we both use cultural historical theory. The Gaigoskian, you know about the activity systems. They're very familiar with the theory. Some of them used it for the inquiry project."
0:01:01,0:01:25,Patricia,"Oh, wonderful. They do an inquiry project with the research studies. Right? Let me think. No, Andrea, you used fans of identity. Moises, you have a lot of work. And yeah, Christina also did identity. Angela, what did you use? Literacy, you were in literacy, new literacy studies? I did a lot of, well, not new literacy studies,"
0:01:25,0:01:33,SPEAKER_07,"But focused on like translanguaging and literacy, read-alouds, I used a very specific context."
0:01:33,0:01:42,Patricia,"Okay. Ah, yes, you were doing the, they were reading the same book one day in Spanish and one day in English, but the same book."
0:01:42,0:02:00,SPEAKER_07,"Yeah, very interesting. So, Ophelia, yes. No, no. You're the only one. I did a lot of, there was this article i did in the last week of spring, that they did in translanguaging as like a strategy in that book, so we referenced a lot of that."
0:02:02,0:02:14,Patricia,"So, Beth has done a lot of work in cultural historical theory, and her work focuses on play, I would say. I would say. It's all on play."
0:02:14,0:03:05,Baird,"Play and children. And identity development through play, so a concept called Perjuvania, which is about the ways that your identity develops at those moments when you hit like really hard transitions in your life. But studying it through the, with the children of the teachers of, co-researchers of the idea of the play, is that when you, if I get in costume and enter in the play and then my students get in costume and enter, and the teachers get in costume and enter, then we can communicate with the children to study a lot of different things, and then the children can give us ideas about, it's really participatory design research, so that the children are suggesting ways that we could better study complicated things like identity development."
0:03:05,0:03:31,Patricia,"Very young children. This is early childhood. Yes, zero through seven. It's beautiful to see. I visited her program in Brooklyn. It's play worlds, so the children are in these worlds playing and learning about their identity, and who they are, trying different identities. They have this puppeteer that comes, facilitated, I think I told you about it. Oh yeah. It was Beth's program."
0:03:31,0:04:19,Baird,"Okay. For all of my visits, Monday's at 9.40. It's really fun. And now we're, now we have a gnome and a fairy who are two teachers who visit the trees. And we're very interested in bringing administration in because the more we bring administration in, the more they'll fund us, right? So we invited the principal to the trees and she put on a costume. It's in a public school, but a public school that's heavily influenced by Central Park East and the coalition schools, if you know that work, so the performance-based assessment of the portfolios, and for a long time, they did focus on the arts, and that they welcomed us in after they visited"
0:04:19,0:04:25,Patricia,"And they were very sweet with us. It's a very, very progressive context, so that helps in doing that kind of work."
0:04:25,0:04:37,Baird,"Exactly, it's necessary. Now, I searched many places, so there are not that many schools that were interested in having their teachers be in costume for a good part of the year, so."
0:04:39,0:04:40,SPEAKER_03,"And even where we are now,"
0:04:40,0:04:46,Baird,"We only do it for the kindergarten, although in the Scandinavian countries, they do it the whole way through."
0:04:46,0:05:15,Patricia,"Yes, yes. We have a very different context here. We do work with the administration. I mean, they give us access to the school and we work with these wonderful teachers. We have three in-service teachers, Jada. Jada, fourth grade, third grade. At this year, third grade. What grade are you in? I'm in the last year of fourth grade, yeah. In the, yes, in the third grade classroom. In the ICT classroom, so she works with two teachers co-teaching. We have children with disabilities in the classroom, and this is her classroom."
0:05:16,0:05:24,Baird,So great that you put in extra time. It's such a gift from the teachers who work all day and then put time and time in this. We're so lucky to have them.
0:05:24,0:05:27,Patricia,"Paulina, who you met before in second grade."
0:05:27,0:05:50,SPEAKER_02,"I do second ICT. I was trying to bring some joy, because I always say, I feel like the lower grades have been losing the joy so much, the bigger, and I feel like we're asking more and more of the little ones. Even their hands are not ready for what we're asking them to do, so it's like a battle that way."
0:05:50,0:06:12,Baird,"That's it. Do you know the Association for the Study of Playing? It's an international conference, I don't know if you're in Manhattan next month, but they have, you can go almost for free as a teacher, and a lot of it's about that schoolification. It's very interesting. Where is it? I think it's at VMS. If you see this here, you'll have to look it up."
0:06:12,0:06:16,Patricia,The Association for the Study of Playing. Yeah. Sounds fantastic.
0:06:16,0:06:21,Baird,"I want it, because it's not easy to be in New York. Your last time I've been here by was like 10 years ago."
0:06:21,0:07:05,Patricia,"We just work in very different worlds. Like I was in a meeting this morning for, I'm becoming the editor of Exception for Children, another journal. Yeah, yeah, wonderful. And the people that were meeting with us, they were like, well, someone sent us a paper on origami, and another sent us a paper on tennis table, and we had to reject, because what does this have to do with learning? And I was like, well, we do origami, too. We might do origami. Yeah. Like, you know, the only value. Geography, right? The only value quantitative, basically, historically, this journal and the field of special education is quantitative reading levels, and the very instrumental knowledge. So unfortunately. It's all very data-driven, which is fine."
0:07:05,0:07:19,SPEAKER_02,"You know, you need to follow your teaching somehow. But like, you know, you can still measure other things, or you know, have other ways of communicating, you know, reading, rather than just, you know, writing a paragraph."
0:07:19,0:07:47,Patricia,"In this school, the main principal, there's one principal for everything, and then there are many assistant principals in a very large school. There's four APs. Four APs. And the main principal is very data-driven. I mean, when you talk to him, it's, we want to take, like, oh, we're having so much fun in the program. This is what the children are doing, and this is what they're saying, and they are like, do you have some data? And they would take this data. Like, the conversations were very fast."
0:07:47,0:08:03,SPEAKER_02,"It's interesting, though, because he's like a big kid. Like, he's the first one to show up in his house for Pajama Day. My son, which is the lower, lower grades, like, she doesn't dress up. She will not let us dress up. Like, she will, like, is like cutting. Word, word, work. Cutting the journal."
