Start,End,Speaker,Text
0:00:00,0:00:04,SPEAKER_04,Pero estoy muy emocionada porque no he hablado mucho hoy.
0:00:04,0:00:05,SPEAKER_04,¿Qué te parece?
0:00:05,0:00:07,SPEAKER_04,¿Qué te parece?
0:00:07,0:00:08,,No sé.
0:00:08,0:00:10,,Eso es gracioso.
0:00:10,0:00:12,,"No, no, está bien."
0:00:12,0:00:17,SPEAKER_04,"Sí, así que tenemos a nuestro visitante hoy aquí, Dr. Baird Hobbit."
0:00:17,0:00:21,SPEAKER_04,¿Te gustaría decir algo sobre su trabajo?
0:00:21,0:00:29,SPEAKER_06,"Estoy en la infancia, en la universidad de Brooklyn, y estoy enseñando en el centro de graduación en el programa de edad urbana."
0:00:29,0:00:35,SPEAKER_06,"Es un programa de profesoría y he leído sobre él, así que fue muy divertido verlo."
0:00:35,0:00:40,SPEAKER_06,"Y Patricia y yo estamos en la sala de comentarios, así que estamos interesados en ello,"
0:00:40,0:00:44,SPEAKER_06,aunque estemos en diferentes áreas prácticas.
0:00:44,0:00:48,SPEAKER_06,"Estoy en la infancia, pero tenemos este intercambio de teorías."
0:00:48,0:00:49,SPEAKER_04,Gracias por venir.
0:00:49,0:00:53,SPEAKER_04,"Sí, ambos usamos teorías culturales históricas."
0:00:53,0:00:57,SPEAKER_04,"Baygosky y, tú sabes, los sistemas de actividades."
0:00:57,0:00:59,SPEAKER_04,Están muy familiares con la teoría.
0:00:59,0:01:02,SPEAKER_04,Algunos de ellos la usaron para el proyecto de la igualdad.
0:01:02,0:01:05,SPEAKER_04,Hicimos un proyecto de igualdad con estudios de investigación.
0:01:05,0:01:06,SPEAKER_04,¿Cierto?
0:01:06,0:01:07,SPEAKER_04,Déjame pensar.
0:01:07,0:01:10,SPEAKER_04,"No, Andrea usó fans de la identidad."
0:01:10,0:01:14,SPEAKER_04,"Mauricio Escobar, que trabaja."
0:01:14,0:01:18,SPEAKER_04,"Y, sí, Cristina también hizo identidad."
0:01:19,0:01:23,SPEAKER_04,"Ángela, ¿qué usas? ¿Estás en literatura? ¿Estás estudiando literatura?"
0:01:23,0:01:30,SPEAKER_07,"No, no estudio literatura, pero me enfoco en la traducción y la literatura."
0:01:30,0:01:34,SPEAKER_07,"Las lecciones, uso un contexto muy específico."
0:01:34,0:01:41,SPEAKER_04,"Sí, estaban leyendo el mismo libro, un día en español y otro día en inglés."
0:01:41,0:01:42,SPEAKER_04,Pero el mismo libro.
0:01:42,0:01:45,SPEAKER_07,"Sí, muy interesante."
0:01:45,0:01:47,SPEAKER_07,Ophelia García.
0:01:47,0:01:49,SPEAKER_07,"Sí, Ophelia García."
0:01:49,0:01:51,SPEAKER_07,Hice un montón de...
0:01:51,0:01:54,SPEAKER_07,"Hay un artículo que hicieron en el último curso,"
0:01:54,0:01:58,SPEAKER_07,pero lo hicieron en lenguaje de traducción como una estrategia de la lección.
0:01:58,0:02:01,SPEAKER_07,"Entonces, se refiere a mucho de eso."
0:02:01,0:02:02,SPEAKER_04,Sí.
0:02:02,0:02:08,SPEAKER_04,"Así que, tú sabes, Beth ha hecho mucho trabajo en teoría cultural y histórica."
0:02:08,0:02:13,SPEAKER_04,"Y su trabajo se centra en el juego, diría yo."
0:02:13,0:02:15,SPEAKER_06,Es todo en el juego.
0:02:15,0:02:18,SPEAKER_06,Y el desarrollo de la identidad a través del juego.
0:02:18,0:02:21,SPEAKER_06,"Un concepto llamado Perja Vaya,"
0:02:21,0:02:25,SPEAKER_06,que trata de las formas en que se desarrolla tu identidad en esos momentos
