Audio File : whispy\mar_07\030723_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 04:17:14          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:00:03.484 -->  00:00:05.003] AK SPEAKER_01
[ 00:00:05.003 -->  00:00:08.918] ES SPEAKER_03
[ 00:00:05.627 -->  00:00:05.644] AL SPEAKER_01
[ 00:00:06.319 -->  00:00:06.741] AM SPEAKER_01
[ 00:00:08.192 -->  00:00:28.155] AN SPEAKER_01
[ 00:00:15.482 -->  00:00:15.516] NZ SPEAKER_07
[ 00:00:28.155 -->  00:00:36.947] ET SPEAKER_03
[ 00:00:31.210 -->  00:00:33.015] AO SPEAKER_01
[ 00:00:36.002 -->  00:00:48.220] AP SPEAKER_01
[ 00:00:44.490 -->  00:00:44.811] OA SPEAKER_07
[ 00:00:49.182 -->  00:00:58.109] AQ SPEAKER_01
[ 00:00:58.699 -->  00:01:24.636] AR SPEAKER_01
[ 00:00:58.935 -->  00:00:59.948] LQ SPEAKER_06
[ 00:00:59.003 -->  00:01:00.015] KR SPEAKER_05
[ 00:01:00.015 -->  00:01:00.167] A SPEAKER_00
[ 00:01:10.613 -->  00:01:11.339] B SPEAKER_00
[ 00:01:24.636 -->  00:01:27.285] CX SPEAKER_02
[ 00:01:26.577 -->  00:01:32.449] AS SPEAKER_01
[ 00:01:31.082 -->  00:01:34.440] IW SPEAKER_04
[ 00:01:34.019 -->  00:01:35.504] AT SPEAKER_01
[ 00:01:35.504 -->  00:01:37.630] IX SPEAKER_04
[ 00:01:36.499 -->  00:01:45.055] AU SPEAKER_01
[ 00:01:38.946 -->  00:01:40.060] IY SPEAKER_04
[ 00:01:40.060 -->  00:01:40.499] OB SPEAKER_07
[ 00:01:40.499 -->  00:01:43.097] EU SPEAKER_03
[ 00:01:44.565 -->  00:01:50.033] EV SPEAKER_03
[ 00:01:50.033 -->  00:02:13.270] AV SPEAKER_01
[ 00:01:54.100 -->  00:01:58.943] LR SPEAKER_06
[ 00:01:58.487 -->  00:02:00.698] OC SPEAKER_07
[ 00:02:06.908 -->  00:02:06.992] OD SPEAKER_07
[ 00:02:06.992 -->  00:02:08.174] IZ SPEAKER_04
[ 00:02:10.587 -->  00:02:10.688] EW SPEAKER_03
[ 00:02:14.029 -->  00:02:18.231] EX SPEAKER_03
[ 00:02:16.409 -->  00:02:45.602] AW SPEAKER_01
[ 00:02:24.981 -->  00:02:24.998] OE SPEAKER_07
