Start,End,Speaker,Text
0:00:00,0:00:08,SPEAKER_03,"How many kids are there? 22. 23, right? It will give us time."
0:00:08,0:00:14,SPEAKER_04,"Yes, it's like if two groups come out, two groups remain to make a very small group."
0:00:16,0:00:25,SPEAKER_00,"Oh, I have to see the weather too, because it was good, and apparently on Tuesday it will rain, supposedly."
0:00:25,0:00:39,SPEAKER_02,"Oh no! No, not on Wednesday, but in any case we can change it to Wednesday. Yes, if it rains, then we can do the activity here."
0:00:39,0:01:26,SPEAKER_04,"On my phone it says 98% that it rains. Oh no! But it's running away, I wouldn't take it, I don't know what we're talking about. Yes, it can move. I would still wait, because sometimes it goes away. Yes, it stays for a week. It can change. Yes, it can still change. What did we learn from the community? Dylan talked about a baseball field that he goes to almost every day. He goes to his house, changes his clothes, puts on his professional uniform, and goes to the baseball field. And he drew it. And then he drew the entrance of the train, what's it called? The subway. I love the entrance, 181. I love it because there's a lot of life around the entrance."
0:01:26,0:01:29,SPEAKER_03,Sofia drew the train inside and drew a rat.
0:01:29,0:02:31,SPEAKER_04,"Oh, very cultural. What other things came up? Oh, we had the two... in our group, yes, we were with Marin, Novani, and Jordani. At first, Jordani and Marin always talk a lot and have their opinions, and Jeremie was running out of the... he was tired. He stopped a little bit with us. He said he wanted to be there. Yes. But they were dancing there. I told him, OK, go, but you have to stay there. And well, they started to think a little, and then Marin... it took a little while. Yes, a little. She started like, my dad works... i don't remember the name of the restaurant. Seafood Junior. He works there."
0:02:31,0:02:35,SPEAKER_03,They talked about their parents and where they work and all that.
0:02:35,0:03:52,SPEAKER_04,"Marin wanted to look for Google Maps, because she knows she can look for the place and the address. And I think she asked Paulina. She came here and said, do you have Google Maps? And I said, yes, let's see. She said, no, no, no, go to McDonald's. I don't know where it is, but it's the corner I know. And I said, McDonald's is closed, because I have some business. She said, no, no, no, walk straight ahead. And she got really exasperated, because I was like, what, what? She walked to Broadway, turned around, and kept walking. And she said, here. She turned the camera around and saw the place. And she said, there, there, there, that's my dad's place. But it's better. Well, it's not better or worse, but... because tomorrow... they explored it like that. We planned, well, when we talked for two weeks, we talked about today we would see the places they know. And then tomorrow we'll look for it, because I have a giant Google Maps map, but I can't find the printer. Print it out somewhere. Somewhere. And you give me the receipt."
0:03:52,0:03:53,SPEAKER_00,We'll pay for it.
0:03:53,0:03:59,SPEAKER_04,I just don't have time. But if you have time... tomorrow. Between today and tomorrow. What do you need?
0:03:59,0:04:00,SPEAKER_03,I have a meeting at 9.
0:04:00,0:04:06,SPEAKER_04,"Color printing, but... but we can print here. Do you have a color printer here? Yes. But it's big."
0:04:06,0:04:11,SPEAKER_03,"It's 9 pages. No, it's fine. Yes, it's fine? Yes."
0:04:11,0:04:40,SPEAKER_04,"Okay, I have the file and everything. I'll send it to you. And we'll put it there so we can... it's just that in the office, Ashley bought a new computer and they didn't plug it in. It doesn't work when the printer is down. And I wanted to do it in Castle, but I didn't have time, and I think the printer wasn't working. But you want to glue it all together. Yes, glue it all together because it's 3x3. And if you want to go to a professional place... what's it called? FedEx? How do you call it?"
0:04:40,0:04:41,SPEAKER_03,Steakhouse?
0:04:41,0:04:43,SPEAKER_04,It's the place where they normally ask you for the service.
0:04:43,0:04:45,SPEAKER_03,"It's going to cost us a fortune, but okay."
0:04:45,0:04:51,SPEAKER_04,"Yes, I can try. No, but we can glue it here. Yes, it's going to be cheaper and easier."
0:04:51,0:04:57,SPEAKER_03,Can we ask in the TC downstairs? Is there a place that prints?
0:04:57,0:05:38,SPEAKER_04,"Yes, in the Business Center. Yes. It's very expensive, but for an exception. Ah, where they send packages and everything. Yes, there. I don't know. I have no idea. How much can it be? If you have time, I don't know. Because I'll be in school all day. If they're going to make that investment, it would be good to laminate it. Like a laminator. Yes, they can draw and paint. Not only that, but if it's something that's recurring. Ah, yes. If we're going to keep using it in the future. Maybe they can laminate it there. If it's worth laminating. Yes, we can put it on the screen. You send it to me and I ask. Yes."
0:05:38,0:05:41,SPEAKER_03,How long does it take to project it on the screen?
0:05:41,0:06:33,SPEAKER_04,"If you take it in the morning, I tell them, can you bring it to me to print in two hours? I tried to do it in the library, but I couldn't. Goddessman Library? Yes, it didn't work. Ah, no, not there. But tomorrow we can see it and look for our phones. Yes, because we can see all the blogs and everything there. And also where we're going to walk. And how would it be in a whole group? So, if we want, we can start a whole group and then... but we would have to do it in groups, we only have one map. So one group works on maps, the other on Google Maps. Yes, yes, yes. Something like that, right? And I think that to search, it would be better to use the phone."
0:06:33,0:06:39,SPEAKER_03,Do they have iPads? No. But iPads don't have Google Maps? No.
0:06:39,0:06:44,SPEAKER_00,"No, they don't have iPads. No, but we don't use them. I don't think it supports..."
0:06:44,0:06:46,SPEAKER_04,Does that Apple Maps?
0:06:46,0:06:50,SPEAKER_00,At least. Google Maps would be an old version of it.
0:06:50,0:06:54,SPEAKER_02,"Oh, that's okay. I don't think you could use a street."
0:06:54,0:06:58,SPEAKER_04,"But we can print out individual ones and have a big, big one."
0:06:58,0:07:05,SPEAKER_02,"We can have the big, big one at the start and be like, all right, what in general? And then when we separate, we have the small ones."
0:07:05,0:08:55,SPEAKER_04,"That's why I really wanted the big one today. We could be like, oh, yeah, what do we know? Oh, I know there's something up there. McDonald's, a Chick-fil-A, Mirachito, 184th. But I just couldn't print it anywhere. But we can have individual because I made it to an A4, like a letter page size too. And each group could have one. And it's what I have to print tomorrow? Yeah. Don't worry about the... so then, like, what is it? I think Belén was going to try. So you're not stressed to... oh, okay. How big would it be, like, one piece? Like, how big are we talking about? Individual for groups would just be a letter page. But then the big one that I'm talking about, there's three pages to it. And you don't want to just project it and draw over and, like, have a station by the Jamaican? That's another option. That is an option, yeah. I mean, we could do it in, you know, Google Maps. Like, I just thought it'd be cool to see, like, a map. But we could definitely do it. Yeah, it might be good. With the map, the good thing is that we can add, for example, post-its where you write your spaces and write, or make a little drawing of how you feel in that space. But since it's hard to have a big one for each group, we could have the big one, the giant one, and then each group has a small one in letter size. So then, yeah, more copies of those. Yeah, but this group thing could be... black or black. Yeah, black. Bueno. But anyways, going back, sí. Sí, sí. Querían buscar esto, Maureen, ya sabía. No recordaba el nombre, pero ya sabía dónde estaba y todo. Y después, no, Bonnie, entonces también quiso buscar la barbería, ¿no? De su papá. La barbería de su papá. Donde trabaja su papá. Esto creo que debemos ir a estos dos sitios principalmente."
0:08:55,0:09:15,SPEAKER_03,"Sí, sí, sí. Están cerca. Porque son mis papás. Sí, no son tan cerca. La barbería. La barbería. Sí, la barbería. Sí, porque Dariel nos preguntó si podíamos tomar fotos dentro y afuera. Entonces le dije, tenemos que preguntar porque quería ir a uno de un pollo."
0:09:15,0:10:01,SPEAKER_04,"Sí, la semana pasada cuando hablamos, estábamos diciendo de ir nosotros hoy. Estaba pensando que podemos ir ahora a visitarlos. Estos deben estar aquí cerca. Ir hasta la casa de Mofongo, el McDonald's, la entrada del metro. Como pensar una pequeña ruta, dos rutas para dos grupos. Y como los que estamos aquí seríamos los líderes, porque no están Andrea. Andrea se sentía insegura porque no conoce dónde llevar los niños, normal. Ángela lo conoce un poco más, Paulina lo conoce un poco más. Sí. Y que Belén. Tú conoces el sitio de comprar verduras. Sí, sí, siempre vengo por acá. Que nos lo tienes que enseñar. Como pensar en dos o tres sitios que cada grupo puede visitar."
0:10:02,0:10:06,SPEAKER_02,"Si no sé el grupo, pues yo tendría que ir con alguien que conozco. Yo no conozco a nadie."
