Start,End,Speaker,Text
0:00:00,0:00:04,,How many kids are there?
0:00:04,0:00:05,SPEAKER_03,22.
0:00:05,0:00:06,SPEAKER_03,"23, right?"
0:00:06,0:00:08,SPEAKER_03,It will give us time.
0:00:08,0:00:10,SPEAKER_04,"Yes, it's like if two groups come out,"
0:00:10,0:00:14,SPEAKER_04,two groups remain to make a very small group.
0:00:16,0:00:20,SPEAKER_00,"Oh, I have to see the weather too, because it was good,"
0:00:20,0:00:25,SPEAKER_00,"and apparently on Tuesday it will rain, supposedly."
0:00:25,0:00:27,,Oh no!
0:00:27,0:00:32,SPEAKER_02,"No, not on Wednesday, but in any case we can change it to Wednesday."
0:00:32,0:00:39,SPEAKER_02,"Yes, if it rains, then we can do the activity here."
0:00:39,0:00:42,SPEAKER_04,On my phone it says 98% that it rains.
0:00:42,0:00:43,SPEAKER_04,Oh no!
0:00:43,0:00:46,SPEAKER_04,"But it's running away, I wouldn't take it, I don't know what we're talking about."
0:00:46,0:00:48,SPEAKER_04,"Yes, it can move."
0:00:48,0:00:50,SPEAKER_04,"I would still wait, because sometimes it goes away."
0:00:50,0:00:52,SPEAKER_04,"Yes, it stays for a week."
0:00:52,0:00:54,SPEAKER_04,It can change.
0:00:54,0:00:56,SPEAKER_04,"Yes, it can still change."
0:00:56,0:01:00,SPEAKER_04,What did we learn from the community?
0:01:00,0:01:06,SPEAKER_04,Dylan talked about a baseball field that he goes to almost every day.
0:01:06,0:01:10,SPEAKER_04,"He goes to his house, changes his clothes, puts on his professional uniform,"
0:01:10,0:01:12,SPEAKER_04,and goes to the baseball field.
0:01:12,0:01:14,SPEAKER_04,And he drew it.
0:01:14,0:01:18,SPEAKER_04,"And then he drew the entrance of the train, what's it called?"
0:01:18,0:01:20,SPEAKER_04,The subway.
0:01:20,0:01:23,SPEAKER_04,"I love the entrance, 181."
0:01:23,0:01:26,SPEAKER_04,I love it because there's a lot of life around the entrance.
0:01:26,0:01:29,SPEAKER_03,Sofia drew the train inside and drew a rat.
0:01:29,0:01:32,SPEAKER_04,"Oh, very cultural."
0:01:34,0:01:36,SPEAKER_04,What other things came up?
0:01:36,0:01:39,SPEAKER_04,"Oh, we had the two..."
0:01:41,0:01:47,SPEAKER_04,"In our group, yes, we were with Marin, Novani, and Jordani."
0:01:47,0:01:53,SPEAKER_04,"At first, Jordani and Marin always talk a lot and have their opinions,"
0:01:53,0:01:56,SPEAKER_04,and Jeremie was running out of the...
0:01:56,0:01:58,SPEAKER_04,He was tired.
0:01:58,0:02:01,SPEAKER_04,He stopped a little bit with us.
0:02:01,0:02:03,SPEAKER_04,He said he wanted to be there.
0:02:03,0:02:04,SPEAKER_04,Yes.
0:02:04,0:02:06,SPEAKER_04,But they were dancing there.
0:02:06,0:02:09,SPEAKER_04,"I told him, OK, go, but you have to stay there."
0:02:10,0:02:19,SPEAKER_04,"And well, they started to think a little, and then Marin..."
0:02:19,0:02:21,SPEAKER_04,It took a little while.
0:02:21,0:02:22,SPEAKER_04,"Yes, a little."
0:02:22,0:02:26,SPEAKER_04,"She started like, my dad works..."
0:02:26,0:02:28,SPEAKER_04,I don't remember the name of the restaurant.
0:02:28,0:02:30,SPEAKER_04,Seafood Junior.
0:02:30,0:02:31,SPEAKER_04,He works there.
0:02:31,0:02:35,SPEAKER_03,They talked about their parents and where they work and all that.
0:02:35,0:02:40,SPEAKER_04,"Marin wanted to look for Google Maps,"
0:02:40,0:02:46,SPEAKER_04,because she knows she can look for the place and the address.
0:02:46,0:02:48,SPEAKER_04,And I think she asked Paulina.
0:02:48,0:02:51,SPEAKER_04,"She came here and said, do you have Google Maps?"
0:02:51,0:02:52,SPEAKER_04,"And I said, yes, let's see."
0:02:52,0:02:54,SPEAKER_04,"She said, no, no, no, go to McDonald's."
0:02:54,0:02:56,SPEAKER_04,"I don't know where it is, but it's the corner I know."
0:02:56,0:02:59,SPEAKER_04,"And I said, McDonald's is closed, because I have some business."
0:02:59,0:03:01,SPEAKER_04,"She said, no, no, no, walk straight ahead."
0:03:01,0:03:05,SPEAKER_04,"And she got really exasperated, because I was like, what, what?"
0:03:05,0:03:09,SPEAKER_04,"She walked to Broadway, turned around, and kept walking."
0:03:09,0:03:10,SPEAKER_04,"And she said, here."
0:03:10,0:03:13,SPEAKER_04,She turned the camera around and saw the place.
0:03:13,0:03:16,SPEAKER_04,"And she said, there, there, there, that's my dad's place."
0:03:23,0:03:24,SPEAKER_04,But it's better.
0:03:24,0:03:26,SPEAKER_04,"Well, it's not better or worse, but..."
0:03:26,0:03:27,SPEAKER_04,Because tomorrow...
0:03:27,0:03:28,SPEAKER_04,They explored it like that.
0:03:28,0:03:32,SPEAKER_04,"We planned, well, when we talked for two weeks,"
0:03:32,0:03:37,SPEAKER_04,we talked about today we would see the places they know.
0:03:37,0:03:45,SPEAKER_04,"And then tomorrow we'll look for it, because I have a giant Google Maps map,"
0:03:45,0:03:48,SPEAKER_04,but I can't find the printer.
0:03:48,0:03:50,SPEAKER_04,Print it out somewhere.
0:03:50,0:03:51,SPEAKER_04,Somewhere.
0:03:51,0:03:52,SPEAKER_04,And you give me the receipt.
0:03:52,0:03:53,SPEAKER_00,We'll pay for it.
0:03:53,0:03:54,SPEAKER_04,I just don't have time.
0:03:54,0:03:55,SPEAKER_04,But if you have time...
0:03:55,0:03:56,SPEAKER_04,Tomorrow.
0:03:56,0:03:57,SPEAKER_04,Between today and tomorrow.
0:03:58,0:03:59,SPEAKER_04,What do you need?
0:03:59,0:04:00,SPEAKER_03,I have a meeting at 9.
0:04:00,0:04:01,SPEAKER_04,"Color printing, but..."
0:04:01,0:04:03,SPEAKER_04,But we can print here.
0:04:03,0:04:04,SPEAKER_04,Do you have a color printer here?
0:04:04,0:04:05,SPEAKER_04,Yes.
0:04:05,0:04:06,SPEAKER_04,But it's big.
0:04:06,0:04:08,SPEAKER_03,It's 9 pages.
0:04:08,0:04:09,SPEAKER_03,"No, it's fine."
0:04:09,0:04:10,SPEAKER_03,"Yes, it's fine?"
0:04:10,0:04:11,SPEAKER_03,Yes.
0:04:11,0:04:12,SPEAKER_04,"Okay, I have the file and everything."
0:04:12,0:04:13,SPEAKER_04,I'll send it to you.
0:04:13,0:04:16,SPEAKER_04,And we'll put it there so we can...
0:04:16,0:04:20,SPEAKER_04,"It's just that in the office, Ashley bought a new computer"
0:04:20,0:04:21,SPEAKER_04,and they didn't plug it in.
0:04:21,0:04:23,SPEAKER_04,It doesn't work when the printer is down.
0:04:23,0:04:26,SPEAKER_04,"And I wanted to do it in Castle, but I didn't have time,"
0:04:26,0:04:28,SPEAKER_04,and I think the printer wasn't working.
0:04:28,0:04:30,SPEAKER_04,But you want to glue it all together.
0:04:30,0:04:33,SPEAKER_04,"Yes, glue it all together because it's 3x3."
0:04:33,0:04:37,SPEAKER_04,And if you want to go to a professional place...
0:04:37,0:04:38,SPEAKER_04,What's it called?
0:04:38,0:04:39,SPEAKER_04,FedEx?
0:04:39,0:04:40,SPEAKER_04,How do you call it?
0:04:40,0:04:41,SPEAKER_03,Steakhouse?
0:04:41,0:04:43,SPEAKER_04,It's the place where they normally ask you for the service.
0:04:43,0:04:45,SPEAKER_03,"It's going to cost us a fortune, but okay."
0:04:45,0:04:47,SPEAKER_04,"Yes, I can try."
0:04:47,0:04:48,SPEAKER_04,"No, but we can glue it here."
0:04:48,0:04:51,SPEAKER_04,"Yes, it's going to be cheaper and easier."
0:04:51,0:04:55,SPEAKER_03,Can we ask in the TC downstairs?
0:04:55,0:04:57,SPEAKER_03,Is there a place that prints?
0:04:57,0:04:58,SPEAKER_04,"Yes, in the Business Center."
0:04:58,0:04:59,SPEAKER_04,Yes.
0:04:59,0:05:01,SPEAKER_04,"It's very expensive, but for an exception."
0:05:01,0:05:05,SPEAKER_04,"Ah, where they send packages and everything."
0:05:05,0:05:06,SPEAKER_04,"Yes, there."
0:05:06,0:05:07,SPEAKER_04,I don't know.
0:05:07,0:05:08,SPEAKER_04,I have no idea.
0:05:08,0:05:09,SPEAKER_04,How much can it be?
0:05:09,0:05:11,SPEAKER_04,"If you have time, I don't know."
0:05:11,0:05:15,SPEAKER_04,Because I'll be in school all day.
0:05:15,0:05:18,SPEAKER_04,"If they're going to make that investment, it would be good to laminate it."
0:05:18,0:05:20,SPEAKER_04,Like a laminator.
0:05:20,0:05:22,SPEAKER_04,"Yes, they can draw and paint."
0:05:22,0:05:25,SPEAKER_04,"Not only that, but if it's something that's recurring."
0:05:25,0:05:26,SPEAKER_04,"Ah, yes."
0:05:26,0:05:28,SPEAKER_04,If we're going to keep using it in the future.
0:05:28,0:05:30,SPEAKER_04,Maybe they can laminate it there.
0:05:30,0:05:32,SPEAKER_04,If it's worth laminating.
0:05:32,0:05:34,SPEAKER_04,"Yes, we can put it on the screen."
0:05:34,0:05:37,SPEAKER_04,You send it to me and I ask.
0:05:37,0:05:38,SPEAKER_04,Yes.
0:05:38,0:05:41,SPEAKER_03,How long does it take to project it on the screen?
0:05:41,0:05:43,SPEAKER_04,"If you take it in the morning, I tell them,"
0:05:43,0:05:46,SPEAKER_04,can you bring it to me to print in two hours?
0:05:46,0:05:51,SPEAKER_04,"I tried to do it in the library, but I couldn't."
0:05:51,0:05:53,SPEAKER_04,Goddessman Library?
0:05:53,0:05:55,SPEAKER_04,"Yes, it didn't work."
0:05:55,0:05:57,SPEAKER_04,"Ah, no, not there."
0:05:57,0:06:00,SPEAKER_04,But tomorrow we can see it and look for our phones.
0:06:00,0:06:04,SPEAKER_04,"Yes, because we can see all the blogs and everything there."
0:06:04,0:06:08,SPEAKER_04,And also where we're going to walk.
0:06:08,0:06:12,SPEAKER_04,And how would it be in a whole group?
0:06:12,0:06:19,SPEAKER_04,"So, if we want, we can start a whole group and then..."
0:06:19,0:06:22,SPEAKER_04,"But we would have to do it in groups, we only have one map."
0:06:22,0:06:26,SPEAKER_04,"So one group works on maps, the other on Google Maps."
0:06:26,0:06:27,SPEAKER_04,"Yes, yes, yes."
0:06:27,0:06:28,SPEAKER_04,"Something like that, right?"
0:06:28,0:06:33,SPEAKER_04,"And I think that to search, it would be better to use the phone."
0:06:33,0:06:34,SPEAKER_03,Do they have iPads?
0:06:34,0:06:35,SPEAKER_03,No.
0:06:35,0:06:38,SPEAKER_03,But iPads don't have Google Maps?
0:06:38,0:06:39,SPEAKER_03,No.
0:06:39,0:06:40,SPEAKER_00,"No, they don't have iPads."
0:06:40,0:06:42,SPEAKER_00,"No, but we don't use them."
0:06:42,0:06:44,SPEAKER_00,I don't think it supports...
0:06:44,0:06:46,SPEAKER_04,Does that Apple Maps?
0:06:46,0:06:47,SPEAKER_00,At least.
0:06:47,0:06:50,SPEAKER_00,Google Maps would be an old version of it.
0:06:50,0:06:52,,"Oh, that's okay."
0:06:52,0:06:54,SPEAKER_02,I don't think you could use a street.
0:06:54,0:06:58,SPEAKER_04,"But we can print out individual ones and have a big, big one."
0:06:58,0:07:01,SPEAKER_02,"We can have the big, big one at the start and be like,"
0:07:01,0:07:02,SPEAKER_02,"all right, what in general?"
0:07:02,0:07:05,SPEAKER_02,"And then when we separate, we have the small ones."
0:07:05,0:07:07,SPEAKER_04,That's why I really wanted the big one today.
0:07:08,0:07:11,SPEAKER_04,"We could be like, oh, yeah, what do we know?"
0:07:11,0:07:12,SPEAKER_04,"Oh, I know there's something up there."
0:07:12,0:07:16,SPEAKER_04,"McDonald's, a Chick-fil-A, Mirachito, 184th."
0:07:16,0:07:19,SPEAKER_04,But I just couldn't print it anywhere.
0:07:21,0:07:24,SPEAKER_04,"But we can have individual because I made it to an A4,"
0:07:24,0:07:26,SPEAKER_04,like a letter page size too.
0:07:26,0:07:27,SPEAKER_04,And each group could have one.
0:07:27,0:07:29,SPEAKER_04,And it's what I have to print tomorrow?
0:07:29,0:07:30,SPEAKER_04,Yeah.
0:07:30,0:07:31,SPEAKER_04,Don't worry about the...
0:07:31,0:07:33,SPEAKER_04,"So then, like, what is it?"
0:07:33,0:07:35,SPEAKER_04,I think Belén was going to try.
0:07:35,0:07:37,SPEAKER_04,So you're not stressed to...
0:07:37,0:07:38,SPEAKER_04,"Oh, okay."
0:07:38,0:07:40,SPEAKER_04,"How big would it be, like, one piece?"
0:07:40,0:07:42,SPEAKER_04,"Like, how big are we talking about?"
0:07:42,0:07:45,SPEAKER_04,Individual for groups would just be a letter page.
0:07:45,0:07:48,SPEAKER_04,"But then the big one that I'm talking about,"
0:07:48,0:07:50,SPEAKER_04,there's three pages to it.
0:07:50,0:07:52,SPEAKER_04,And you don't want to just project it and draw over
0:07:52,0:07:54,SPEAKER_04,"and, like, have a station by the Jamaican?"
0:07:54,0:07:55,SPEAKER_04,That's another option.
0:07:55,0:07:57,SPEAKER_04,"That is an option, yeah."
0:07:57,0:07:59,SPEAKER_04,"I mean, we could do it in, you know, Google Maps."
