,Start,End,Speaker,Text
0,0:00:00,0:00:07,SPEAKER 2," ¿Cuántos niños son?  22.  23, ¿no? "
1,0:00:07,0:00:08,SPEAKER 4, ¿Nos dará tiempo? 
2,0:00:08,0:00:09,SPEAKER 2, Sí. 
3,0:00:09,0:00:14,SPEAKER 4, ¿Qué os parece si salen dos grupos?  ¿Se quedan dos grupos?  ¿Para hacerlo un grupito bien pequeño? 
4,0:00:14,0:00:17,SPEAKER 2, Sí. 
5,0:00:17,0:00:24,SPEAKER 6," Hay que ver también el clima, porque está abriendo y aparentemente el martes va a llover, "
6,0:00:24,0:00:27,SPEAKER 2, supuestamente. 
7,0:00:27,0:00:32,SPEAKER 6," El miércoles no, pero en cualquier caso podemos cambiarlo para el miércoles. "
8,0:00:32,0:00:35,SPEAKER 5," Sí, si hubiera... "
9,0:00:35,0:00:39,SPEAKER 6," Y si llueve, pues entonces se puede hacer la actividad aquí. "
10,0:00:39,0:00:43,SPEAKER 4, En mi teléfono dice 98% de que llueva el miércoles. 
11,0:00:43,0:00:46,SPEAKER 5," Pero se va corriendo, yo no tomaría... no sé de qué estamos hablando, pero... "
12,0:00:46,0:00:48,SPEAKER 4," Sí, se puede mover. "
13,0:00:48,0:00:50,SPEAKER 5," Yo lo esperaría todavía, porque a veces se va... "
14,0:00:50,0:00:54,SPEAKER 2," Sí, queda una semana.  Se puede cambiar. "
15,0:00:54,0:01:12,SPEAKER 4," Sí, puede cambiar todavía.  ¿Qué aprendimos de la comunidad?  Dylan habló de un campo de béisbol que va casi todos los días allá a jugar.  Va a su casa, se cambia de ropa y se pone su uniforme profesional y se va al campo de béisbol. "
16,0:01:12,0:01:13,SPEAKER 3, Se frena todos los días. 
17,0:01:13,0:01:18,SPEAKER 4," Y lo dibujó.  Y luego dibujó la entrada del tren, ¿le llaman? "
18,0:01:18,0:01:21,SPEAKER 2, El metro.  A mí me llama metro.  El subway. 
19,0:01:21,0:01:23,SPEAKER 4," Y a mí me encanta la entrada, 181. "
20,0:01:23,0:01:26,SPEAKER 2," Me encanta, porque hay mucha vida alrededor de la entrada. "
21,0:01:26,0:01:30,SPEAKER 3, Sofía hizo el tren adentro y hizo una rata. 
22,0:01:30,0:01:41,SPEAKER 2," Muy cultural.  ¿Qué otras cosas aparecieron?  Oh, tuvimos dos... "
23,0:01:41,0:01:56,SPEAKER 1," En nuestro grupo, sí, estábamos con Marín, Novani y Jordani.  Al principio, Jordani y Marín siempre hablan mucho y tienen sus opiniones.  Y Jeremy estaba corriendo, saliendo del... "
24,0:01:56,0:01:57,SPEAKER 4, Estaba cansado entonces. 
25,0:01:57,0:01:58,SPEAKER 2," Sí, sí. "
26,0:01:58,0:02:00,SPEAKER 4, Estaba cansado.  Se paró un poquito con nosotros. 
27,0:02:00,0:02:02,SPEAKER 2, Sí.  Dijo que quería estar allá. 
28,0:02:02,0:02:03,SPEAKER 3, Sí. 
29,0:02:03,0:02:06,SPEAKER 2, Pero allí bailaba de un lado a otro. 
30,0:02:06,0:02:19,SPEAKER 1," Sí, le dije, OK, go, but you have to stay there.  Y bueno, y empezaron a ver, a pensar un poco, y después Marín... "
