Start,End,Speaker,Text
0:00:00,0:00:33,SPEAKER_05,"Yo creo que hoy algo de, ah, sí. Habría pasado, porque es difícil, yo le pregunto. Pronto. Porque te gusta o no te gusta, o qué, no, no me gustan los libros. Luego dijo, ah, los Dork Dice, ¿se acuerdan que hace tiempo? Sí. Y por qué, porque son buenos, ¿no? Y porque son buenos, como hay que preguntar mucho. Sí. Al final dijo, no, porque me gusta el drama, ¿no? Me parece importante. Yo dije, ah, ahora me estás contando algo. Me gusta el drama, ¿no? Y hablamos un poquito, pero es como, claro."
0:00:33,0:00:37,SPEAKER_04,Con ella es difícil.
0:00:37,0:00:39,SPEAKER_05,"También el tema no, no."
0:00:39,0:00:59,SPEAKER_04,"Ella, sí, a ella no le gusta hablar de los libros. Y también para ella es muy difícil sacar las palabras. Entonces, creo que también a veces ella es, ella como dice la cosa más simple. Porque es muy difícil para ella, eh, como buscar las palabras y decirlas."
0:00:59,0:01:22,SPEAKER_05,"Y Novani que dijo, no, no me gusta escribir. Y le dije, ah, bueno, va. Le dije, eh, bueno, has escrito un cuento para tu proyecto. Y le dije, eso es escribir. Y me miró como, ¿cómo? Como hacer esas conexiones también, sí. Eso es escribir un cuento, ¿no?"
0:01:22,0:01:36,SPEAKER_06,"Sí. Y yo le dije a Jordáni, cuéntame de tu libro de imágenes. [Patricia] Léeme tu libro de imágenes que me lo contaron. Pero él sí se metió en el tema. Así que se dan cuenta, ¿no? De que esto también es literacy."
0:01:36,0:02:35,SPEAKER_04,"Sí, algo que es interesante, like, [cristina?] he estado pensando en eso como después de ser estudiante, student teacher aquí. Que, like, at least in fourth grade, me parece como sus experiencias con escritura son muy, like, no escriben como para simplemente escribir. Siempre hay un propósito muy específico. Y es, like, la estructura de las unidades es como, like, leer y aprender de algo y después escribir de lo que estás aprendiendo. Que es, like, una estructura buena. Tradicional. Pero muy tradicional. Entonces, también, like, es interesante que para este estudiante que fue, like, oh, this is reading. Porque, like, solo encuentran el acto de, [cristina?] like esa idea de la escritura en instantes muy específicos."
0:02:35,0:02:37,SPEAKER_07,Solo una narrativa. Sí.
0:02:37,0:02:57,SPEAKER_04,"O solo un ensayo. Donde tienes que tener tu tesis, tu evidencia, tu edad. Eso es escritura. Escritura no es como, entonces, es interesante como, like, oír esa experiencia de como lo que ellos entienden de lo que es escribir."
0:02:57,0:03:05,SPEAKER_06,"A lo mejor, sí. Sí. Sí. Sí. Tú hiciste todos esos cuestionarios al principio. Sí. O sea, que capturaste eso."
0:03:05,0:04:35,SPEAKER_04,"Sí. Yo quería trabajar en esto hoy, pero estaba con Jeremy. Sí. Así estaba con él. Porque al principio me pareció como él, like, bueno, me pregunté si podíamos hacer una animación sobre el sistema solar. Entonces. Porque tenía el libro, ¿verdad? Sí. Sí. Eso fue el libro que estábamos leyendo la semana pasada. Y entonces me pregunté si podíamos hacer eso. Me preguntó si podíamos hacer eso. Después, like, traté de mandarle a alguien para trabajar con alguien quien estaba haciendo las animaciones. Pero, like, no se fue. Como hizo la cosa de Jeremy de caminar por todos lados y, like, no. Entonces pensé que tal vez, like, si trabajaba conmigo, sería mejor o que quería trabajar conmigo. No sé. La verdad es que yo hice como el medio del trabajo de su animación y él estaba como hablando y que también fue importante. Pero sobre el animante. Sí. Pero también como caminando."
0:04:35,0:04:38,SPEAKER_06,"Porque luego decidió que se la quería llevar también, ¿no?"
0:04:38,0:05:00,SPEAKER_04,"O sea, está interesado en la animación. Sí. Entonces, pero, like, no lo hice. Él no hizo las creaciones. No sé si, like, casi me pareció como no sabía lo que hacer. Y entonces como estaba tratando de, like, avoid."
0:05:00,0:05:11,SPEAKER_03,"[?] Creo que también tiene como dificultad con la motricidad. Y le cuesta hacer cosas que requieren ese trabajo. [?] Entonces cuando hizo Mario, Ángela hizo el 90% de Mario."
0:05:11,0:05:12,SPEAKER_02,[cristina?] Sí.
0:05:12,0:05:26,SPEAKER_03,"[?] Todos esos detalles. Y él decía como, y luego yo llegué al final y él me dijo, tú termina de hacer esto y yo pongo los botones. Que eran como todos circulantes. Entonces creo que necesita. Sí. Ese alguien que ayude."
0:05:26,0:05:28,SPEAKER_08,"Me dijo, no te pongas en el cafeterio."
0:05:28,0:06:21,SPEAKER_04,"Entonces, OK. Lo siento. Yeah. That's interesting, too that you've noticed that. Porque como lo más que él quiere trabajar con plastilina, like, no quiere crear su sistema solar. You know? For how much he wants to be working with clay, with the air dry clay, with the Play-Doh. When it comes down to making a product, That that's what's really hard for him. I almost wonder if, it's making me kind of think that maybe. For him it's like, he recognizes that he needs the practice of working with his hands. But that he's like, I'm not ready for it to be for my final project. Yeah. Because I still need practice. I'm not ready for someone to see my work that I've created with my hands. You know?"
0:06:21,0:06:29,SPEAKER_05,"No sé si eso tiene sentido. Sí. Tiene un pequeño boleto. ¿Qué fue eso? Él vino y dijo, mira, lo que yo voy a hacer. It was like with the plasti, with different animals."
0:06:29,0:06:35,SPEAKER_04,"Yeah, It was the instructions from the air dry clay. He unfolded it and then he folded it back together."
0:06:35,0:06:50,SPEAKER_04,"And he was like look how good I did it. I was like yeah. He's like look what I want to work on. Yeah, he was showing me. He was like, look, I can see how we can make the Earth. And I was like we already made it already i mean I already have an earth."
0:06:50,0:07:03,SPEAKER_00,He tends to be the one who's always using negative words to whatever he does. And he tends to compare... whatever he wants to do with
0:07:03,0:07:18,SPEAKER_00,"Someone else's. So he's kind of stuck in that phase what worries me is that he doesn't take the chance like the risk, to do something."
0:07:18,0:07:22,SPEAKER_06,I mean we don't know what experiences he's had.
0:07:22,0:07:30,SPEAKER_04,"And I do feel like me, doing a lot of that work for him, doesn't actually help him. That's at the end of the day, like..."
0:07:30,0:07:33,SPEAKER_06,"With thinking but not with, the fine motor skills."
0:07:33,0:07:52,SPEAKER_04,"Right. And well, What does that do for his confidence? Al final de la día, es como, ¿sabes? In the moment I was so focused, like, on trying to... Well and just trying to help him get there. But then I also got five hours of sleep last night and it's my and it's my, y'know,"
0:07:52,0:07:54,SPEAKER_00,Ninth hour of teaching.
0:07:54,0:08:18,SPEAKER_04,"At the end of the day I don't have as much patience as I did at the beginning. That's also part of it that's a reality. Yeah it's been a long day. Yeah and that's what happens. But you know, I was trying to get him to do it and he just like, he wanted to play with the air dry clay. I don't know and I was like wait this is what we have to do. We did our best, we have something.."
0:08:18,0:08:20,SPEAKER_07,But... [Joe] I thought it looked pretty good.
0:08:20,0:08:24,SPEAKER_04,I mean even when we used to do more writing
0:08:24,0:08:26,SPEAKER_05,He takes a while and he's very stuck
0:08:26,0:08:29,SPEAKER_01,"On like oh I made the J wrong, I'm going to do it again. He has a lot of that perfectionism"
0:08:29,0:09:00,SPEAKER_04,"You can call it. Now we know that word yeah. I wonder too if it just comes from like he can see what the kids around him can do. And like this is a new environment for him. So it's like for us it's like of course, it's going to take you time to be able to do all of these things. But for him it's like, it causes a lot of stress. Maybe it's also what type of support he gets at home, because I still remember the whole left hand right hand thing. Yeah."
0:09:00,0:09:19,SPEAKER_06,"And the stories that we've heard from him, That he's experiencing things that worry him at home. And like today also Janina, I don't know if you know this story, but she told me that she was in the other school that is in, Dos Puentes building. Yeah, en el edificio de los Puentes."
0:09:19,0:09:20,SPEAKER_08,Yeah.
0:09:21,0:09:30,SPEAKER_06,She said I couldn't write my name so the teacher hit me. Yeah. So they took me out of the school. The teacher was suspended.
0:09:30,0:09:33,SPEAKER_01,But they took her out of the school? Yeah but the damage is done.
0:09:33,0:09:47,SPEAKER_06,"Yeah they took her out of the school to this school. I mean the teacher was suspended. When was this? Dice que su hermano estaba aquí, la otra, y ella estaba allí, pues sería el primer año de la escuela, ¿verdad?"
0:09:47,0:09:49,SPEAKER_00,"Porque ella lleva aquí. No, Janina."
0:09:49,0:10:08,SPEAKER_06,"No, disculpe, cambié a Janina. Because I was thinking that we don't know everything that they come with, to us. Sometimes we see the conseqeuences, but we don't know. Yeah. No but she's safe. She's at wheels now. They're very happy. But you know the damage is done. Yeah."
0:10:08,0:10:09,SPEAKER_02,He did.
0:10:09,0:10:13,SPEAKER_04,"I also like, something that like... I don't know.  I don't know if this means anything."
0:10:13,0:10:29,SPEAKER_06,I think it's totally true. It sounded like she was telling me. I don't think a child would make that up. I've heard this story too. So I don't know. Yeah I think this story is true. Somebody was nearby saying that that was true. I think it probably existed.
0:10:29,0:10:35,SPEAKER_07,Kids interpret sometimes. It's just like I don't know. It's just so tricky.
0:10:35,0:10:45,SPEAKER_06,I mean the teacher was suspended. I believe it. The teacher was desperate that she couldn't write her name. But you know these are important stories for us to hear.
0:10:45,0:10:47,SPEAKER_07,Can you imagine Nowadays hitting a child?
0:10:47,0:10:48,SPEAKER_06,Nowadays? this was like yesterday!
0:10:48,0:11:08,SPEAKER_07,"That's what I'm saying. Maybe she did like, ""come on come on come on."" It's like ""oh the teacher hit me."" No, no sé. Como, I don't know. Just like, in this environment, where we're afraid to give a hug without anybody having witnesses, that somebody would just hit a child in the hand for writing."
0:11:08,0:11:15,SPEAKER_00,It can be just like the end of a series of events that end up like that.
0:11:15,0:11:22,SPEAKER_05,I've seen it like that. They sit them in chairs and tape them
0:11:22,0:11:23,SPEAKER_02,¿Cuándo?
0:11:23,0:11:28,SPEAKER_05,"Sí, when I was a teacher, sí. Las diez años atrás. No, no."
0:11:28,0:11:49,SPEAKER_06,"Oh my god. That was a million years ago. I witnessed worse things in Spain growing up. And then as an adolescent I was in a orphanage. ¿Cómo se llama? ¿Un orfanato? Orphanage. Orphanage. Horrible horrible things. I never want to be in the religion thing, because these were nuns."
0:11:49,0:11:53,SPEAKER_09,Just horrible. When I was in middle school
0:11:53,0:11:54,SPEAKER_07,I had a band class where a professor got mad
0:11:54,0:12:03,SPEAKER_09,And threw one of the music stands. He got mad at the band and just threw it and broke it. Well that's trying to break something.
0:12:03,0:12:12,SPEAKER_06,"No, pero... he's not a child. No, pero sí... i've seen thwoing things on the floor no but in front of the children."
0:12:12,0:12:15,SPEAKER_00,It's going to make students believe that they can behave like that.
0:12:15,0:12:19,SPEAKER_04,Well it's also going to make them things they can throw something at me.
0:12:19,0:12:23,SPEAKER_01,"It's a threat. It's scary. No, yo he visto cosas que son como,"
0:12:23,0:12:24,SPEAKER_09,It's like right next to them.
0:12:24,0:13:04,SPEAKER_06,"Y no están de acuerdo con el tiempo. We have to always remember that children are watching constantly everything we do and how we react. And if we say something nasty to a child they will say something nasty to that child too. This happens a lot with children with disabilities. Teachers, how are you feeling? Well, Jada is tired. She's carrying another human being. I'm young. I'm here. How are you feeling about this? Being literacy and the writing being so different. I mean we did traditional writing too. The storyboard. With the images and the writing below."
0:13:06,0:13:51,SPEAKER_01,"I think it's good that they have like Cristina was saying i think our curriculum is very rigid in a lot of ways and that you repeat the same format all the time. So just to expose different ways to access something and different ways to see writing or literacy.  I think that's really good. I think that's been very successful. It's good for them and they have a lot of time. Yeah, Our days are very, very structured. There's not a lot of time for creativity. Like the teachers, if we wanted to do a project of our own creation, there's not a lot of time for that during the day. So it's nice to have that."
0:13:51,0:13:55,SPEAKER_06,"Not even at Wheels, but it's an expeditionary school."
0:13:55,0:14:07,SPEAKER_01,"No, I mean it's an expeditionary but that's the curriculum. We don't have a lot of flexibility in the day because everything is very planned out in terms of the timing."
0:14:10,0:14:56,SPEAKER_08,"I guess to piggyback off of that, oh, first my opinion. I think it was, I think it was, yeah, like what Hannah was saying, I think it was good to give, to expose kids to other forms of reading and writing because even today, some of the kids were talking about how someone said, we don't even read that much there, but they are reading, they just don't realize it. The only thing that I would reflect on and say maybe for the future is just to be direct and say maybe for the future is just and say we are thinking outside of the box with our learning. This is maybe what you're accustomed to, but reading and writing can also take other forms."
0:14:56,0:14:58,SPEAKER_06,Can also take other forms.
0:15:00,0:15:31,SPEAKER_04,"I was thinking about that too. because Janina came up to me the other day, last week, on Wednesday I think, and was like, how come you call this the reading program? I think it should be called the activity program because we do activities. And I was like, Janina, when we go upstairs, and we're sitting all in the circle, ask me that question because I want us to talk about it. Because I want us to talk about it. And then we all came up here and we sat in the circle and I forgot about it and I forgot about it and we didn't talk about it. But I think you're right it's something that. I agree. It's a connection that we talk about, but not explicitly."
0:15:31,0:16:08,SPEAKER_08,"And I think today, because they were debriefing, they were like, oh, tomorrow's the last day, parents are coming, and everything, and then they were like, yeah, but we don't really do that much reading. And I was just listening to them, but I was taking a note on like, what their perspective is, and I think in a way, that's kind of like, I want to say like, a compliment that they didn't even realize they were doing this work, but just going forward, letting them know this is happening. Because I think they're going home and they're like, we're not even reading But they are, you know?"
0:16:08,0:16:15,SPEAKER_07,"So maybe on that note, tomorrow, somebody's giving a presentation, maybe be explicit about that to parents too."
0:16:15,0:16:16,SPEAKER_02,Like this is literacy.
0:16:16,0:16:19,SPEAKER_07,This is literacy. This is what we understand by reading. By reading.
0:16:19,0:16:20,SPEAKER_05,"Literatura, libros."
0:16:20,0:16:33,SPEAKER_07,"Because the structure of literacy is thinking about an idea and expressing that idea, right? It's communication. It's what I understand from a text or a medium, whatever that may be, or"
0:16:33,0:16:45,SPEAKER_07,"How I tell stories, how I communicate my ideas. There are different ways of communicating those ideas. And in this program, we explore these ways of exploring the ideas."
0:16:45,0:17:21,SPEAKER_06,"Would you, Pamina, try to do that brief transition at the beginning, like explaining, you know, we've been doing we've been doing in this program, like connecting, right, with the more traditional literacy. I mean, we've done a lot of traditional reading too. Yeah. It's just that lately, in the last two projects, it has been the stop motion where they created the storyboard, but they did all that writing. It's a lot of writing with the focus on the problem. Do you have the samples? Yeah, we're going to have a table with all the storyboards. So we have to remember not to take them, because they are in this..."
0:17:21,0:17:33,SPEAKER_07,"Yeah. I don't know if Tom will come, or like, hopefully, I can invite Grace. Grace is like grace is like a fourth grade teacher that is now acting, like an admin for, like, she's stepping over, like, For Maria."
0:17:33,0:17:35,SPEAKER_06,"Yes, I think Jada was going to send me the email."
0:17:36,0:17:38,SPEAKER_08,"Yeah, I'm going to send you her email."
0:17:38,0:18:00,SPEAKER_07,"So I can even tell her, like, Yeah. Because it's true, I think, just like the kids will tell you, they will come and the parent will be like, you're in this after school because you're having issues with reading, and they'll be like, no, I'm not. I just play. Yeah, yeah, excatly. So, kind of to be like... i think we were not explicit with that,"
0:18:00,0:18:12,SPEAKER_03,"Because also we were not intentional with that. I felt like we were just playing. Yeah we intended that. It's almost like now the reflection has come to the conclusion. Yeah, I feel like we started in a more traditional way, and then we found a way to have access"
0:18:14,0:18:18,SPEAKER_07,"We found various ways of reading. Yeah, we were very much making it up as well."
0:18:20,0:18:34,SPEAKER_04,"And we were thinking about these things as we made it, but it's true. A lot of this... that's why we were kind of... we were going to be reading a lot. A lot of this curriculum was made the week before the session. It was kind of like an explicit structure set."
0:18:34,0:18:58,SPEAKER_06,"So we started very traditional, with reading. But if you remember, we had all those conversations at the beginning that were like, these texts are too difficult, the children are resisting the text, this is impossible. We brought in the mini-texts that were wonderful, and we had a lot of reading with the mini-texts through various sessions. Through various sessions. There was always that station with reading. And those, they were reading independently."
0:18:58,0:19:00,SPEAKER_07,And some of them turned into animations.
0:19:01,0:19:07,SPEAKER_06,"Yeah, and then just in the last few weeks, we've been doing animations. But there's a lot of writing."
0:19:07,0:19:19,SPEAKER_01,"Gracias, Hannah. Nos vemos mañana. But I think also just having, like I mentioned a couple weeks ago, having a debrief at the end. Even if you don't have a plan."
0:19:21,0:19:23,SPEAKER_06,[Patricia] You've been reminding us of this.
0:19:23,0:19:45,SPEAKER_01,"It can be at the end, so that they realize at the end, at the end, ah, this is what I did. [Patricia] Debrief at the end! [Patricia] That's what we have to say. And we don't want them to be scared. Like, be like, ""ah, we're reading right now"", because a lot of them maybe have resistance to that. So just that they realize that they did it at the end. And that also helps them go home"
0:19:45,0:20:26,SPEAKER_06,"Yeah, and with that resistance at the beginning, we did a lot of the contemplative pedagogy. [Joe] Thank you, Hannah. A lot of the contemplative pedagogy, like having them think about the importance of learning. And they were committed to working with us. There was a shift. And that's when Belen was doing the mini books, and they had the phones, and they were doing more of the structure reading, word by word. Yeah, we did repeat it. We did repeated reading. So I think that by now, they're kind of asking about more reading, maybe because they are ready to learn. They're like, well, we're here to learn.  We know that we're here to learn. What are you doing, Angela? It's a turtle. This is the Pokemon. ¡Qué lindo! ¿Ibas a decir algo, Paulina?"
0:20:26,0:20:54,SPEAKER_07,"No, I was thinking that now, like, you know, for next year, to like, starting with that. Because kids, everyone who's here doesn't feel successful as a reader, writer, person. Person. So they know from the beginning that they will feel successful because they will be doing that, just exploring other ways. So kind of also, the mindset is like, right there for them to be like, you know, you are able to create."
0:20:55,0:20:57,SPEAKER_06,"When they came in,"
0:20:57,0:21:07,SPEAKER_07,"They were expecting. You know, communication is not all about, like, it's important to know how to write, but like, there's other ways. And you are also doing this in conjunction with da, da, da, da."
0:21:09,0:21:29,SPEAKER_05,"But this idea that, oh, it takes, I mean, this is also your learning process. Planning by week by week is hard because you have less time, but it's also in the moment, you know? It's not planning like, oh, here's a month in my curriculum. It's really in the moment of what happened last week."
0:21:29,0:21:47,SPEAKER_06,"It was very responsive. And very, very much trying to listen to what the children wanted because they were very attentively telling us. And you've been doing that. You, they were attentive with us, With Belinda and I saying, no, no, no, we have to do slime! Slime on the screen."
0:21:47,0:21:49,SPEAKER_08,"All right, well, thank you very much."
0:21:49,0:21:54,SPEAKER_06,"And we'll do it tomorrow. So yes, if you want to..."
