Audio File : whispy\may_02\050223_meeting_pt1.wav             
Pipeline : pyannote/speaker-diarization
                    
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 15:09:16          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                    
[ 00:00:01.493 -->  00:00:03.164] HH SPEAKER_08
[ 00:00:04.277 -->  00:00:12.698] HI SPEAKER_08
[ 00:00:10.082 -->  00:00:10.673] AC SPEAKER_02
[ 00:00:14.048 -->  00:00:14.436] AD SPEAKER_02
[ 00:00:14.436 -->  00:00:19.853] JX SPEAKER_09
[ 00:00:17.659 -->  00:00:23.616] HJ SPEAKER_08
[ 00:00:23.059 -->  00:00:36.846] JY SPEAKER_09
[ 00:00:24.325 -->  00:00:25.405] HK SPEAKER_08
[ 00:00:33.994 -->  00:00:41.099] HL SPEAKER_08
[ 00:00:39.360 -->  00:00:43.427] JZ SPEAKER_09
[ 00:00:42.651 -->  00:00:44.693] HM SPEAKER_08
[ 00:00:45.790 -->  00:00:51.494] HN SPEAKER_08
[ 00:00:47.832 -->  00:00:50.549] A SPEAKER_00
[ 00:00:52.641 -->  00:00:53.502] HO SPEAKER_08
[ 00:00:53.502 -->  00:00:56.995] KA SPEAKER_09
[ 00:01:01.838 -->  00:01:04.487] HP SPEAKER_08
[ 00:01:06.040 -->  00:01:06.867] HQ SPEAKER_08
[ 00:01:12.182 -->  00:01:13.364] DV SPEAKER_05
[ 00:01:12.857 -->  00:01:25.092] HR SPEAKER_08
[ 00:01:14.629 -->  00:01:15.439] DW SPEAKER_05
[ 00:01:15.439 -->  00:01:16.452] R SPEAKER_01
[ 00:01:16.452 -->  00:01:16.587] DX SPEAKER_05
[ 00:01:26.104 -->  00:01:34.019] HS SPEAKER_08
[ 00:01:32.027 -->  00:01:36.162] DY SPEAKER_05
[ 00:01:36.162 -->  00:01:42.743] BE SPEAKER_03
[ 00:01:37.360 -->  00:01:38.879] HT SPEAKER_08
[ 00:01:42.203 -->  00:01:46.827] HU SPEAKER_08
[ 00:01:46.827 -->  00:01:50.421] S SPEAKER_01
[ 00:01:50.421 -->  00:01:57.627] HV SPEAKER_08
[ 00:01:58.875 -->  00:02:02.588] HW SPEAKER_08
[ 00:02:03.364 -->  00:02:05.018] HX SPEAKER_08
[ 00:02:07.515 -->  00:02:08.444] B SPEAKER_00
[ 00:02:07.718 -->  00:02:30.280] HY SPEAKER_08
[ 00:02:08.005 -->  00:02:14.063] CB SPEAKER_04
[ 00:02:15.565 -->  00:02:17.354] DZ SPEAKER_05
[ 00:02:25.960 -->  00:02:26.415] CC SPEAKER_04
[ 00:02:35.595 -->  00:02:38.835] HZ SPEAKER_08
[ 00:02:41.097 -->  00:02:48.842] IA SPEAKER_08
[ 00:02:42.042 -->  00:02:42.413] GH SPEAKER_07
[ 00:02:48.842 -->  00:02:49.129] T SPEAKER_01
[ 00:02:55.424 -->  00:02:58.444] KB SPEAKER_09
[ 00:02:57.482 -->  00:02:57.499] BF SPEAKER_03
[ 00:02:57.499 -->  00:03:01.144] CD SPEAKER_04
[ 00:02:58.444 -->  00:02:58.832] GI SPEAKER_07
[ 00:02:58.832 -->  00:02:59.440] C SPEAKER_00
[ 00:02:59.440 -->  00:02:59.474] GJ SPEAKER_07
[ 00:03:00.959 -->  00:03:03.000] GK SPEAKER_07
[ 00:03:02.545 -->  00:03:03.591] CE SPEAKER_04
[ 00:03:03.000 -->  00:03:06.578] BG SPEAKER_03
[ 00:03:04.637 -->  00:03:05.076] CF SPEAKER_04
[ 00:03:05.920 -->  00:03:06.274] CG SPEAKER_04
[ 00:03:07.860 -->  00:03:14.948] BH SPEAKER_03
[ 00:03:13.379 -->  00:03:23.487] IB SPEAKER_08
[ 00:03:17.496 -->  00:03:18.947] BI SPEAKER_03
[ 00:03:17.800 -->  00:03:17.952] EA SPEAKER_05
[ 00:03:18.947 -->  00:03:19.015] D SPEAKER_00
[ 00:03:28.110 -->  00:03:41.509] IC SPEAKER_08
[ 00:03:42.454 -->  00:03:49.255] ID SPEAKER_08
[ 00:03:47.972 -->  00:03:48.462] CH SPEAKER_04
[ 00:03:50.385 -->  00:03:55.752] IE SPEAKER_08
[ 00:03:54.705 -->  00:04:06.501] U SPEAKER_01
[ 00:04:06.501 -->  00:04:09.944] E SPEAKER_00
[ 00:04:07.564 -->  00:04:11.091] IF SPEAKER_08
[ 00:04:09.944 -->  00:04:17.385] CI SPEAKER_04
[ 00:04:11.091 -->  00:04:11.969] F SPEAKER_00
[ 00:04:11.445 -->  00:04:11.462] AE SPEAKER_02
[ 00:04:11.884 -->  00:04:15.006] V SPEAKER_01
[ 00:04:15.006 -->  00:04:20.440] BJ SPEAKER_03
[ 00:04:15.951 -->  00:04:16.440] W SPEAKER_01
[ 00:04:19.005 -->  00:04:24.439] CJ SPEAKER_04
[ 00:04:20.440 -->  00:04:28.945] IG SPEAKER_08
[ 00:04:24.439 -->  00:04:24.456] AF SPEAKER_02
[ 00:04:26.481 -->  00:04:26.616] AG SPEAKER_02
[ 00:04:26.498 -->  00:04:27.494] G SPEAKER_00
[ 00:04:26.886 -->  00:04:30.329] KC SPEAKER_09
[ 00:04:28.945 -->  00:04:32.674] BK SPEAKER_03
[ 00:04:34.615 -->  00:04:35.442] BL SPEAKER_03
[ 00:04:34.784 -->  00:04:43.137] IH SPEAKER_08
[ 00:04:35.442 -->  00:04:37.517] EB SPEAKER_05
[ 00:04:39.036 -->  00:04:41.449] CK SPEAKER_04
