Start,End,Speaker,Text
0:00:30,0:00:34,SPEAKER_09,I was asked to... i was asked to be quiet.
0:00:34,0:00:40,SPEAKER_08,"No, I was asked to... no, no, no, no, because if you don't answer, it's not..."
0:00:40,0:00:44,SPEAKER_09,"Well, Roy says that sometimes he doesn't answer emails."
0:00:44,0:00:48,SPEAKER_08,"Okay. She's informed, right?"
0:00:48,0:00:50,SPEAKER_00,"Yes, that's the most important thing."
0:00:50,0:00:54,SPEAKER_08,"Maybe she's not coming to the celebration. Oh, I don't think so."
0:00:54,0:00:58,SPEAKER_09,And sometimes they have meetings... do they have meetings on Tuesdays?
0:00:58,0:01:08,SPEAKER_08,"And... wednesdays? Oh, yes, they have meetings. That's why she's here. Everything's fine."
0:01:12,0:01:14,SPEAKER_05,"Oh, to see?"
0:01:14,0:01:34,SPEAKER_08,"Yes, yes, yes. We have to leave it as we find it. That's right. And also, to take everything we have here, that we can take, if we can't take something, we'll leave it for tomorrow. Is that our stuff? No, it's not."
0:01:34,0:01:36,SPEAKER_05,It's not our stuff.
0:01:36,0:01:42,SPEAKER_03,"We don't have much left. We don't have anything left? We have some things, but we took a lot."
0:01:42,0:01:46,SPEAKER_08,"So, the rest tomorrow? Yes."
0:01:46,0:01:50,SPEAKER_01,"I think Manuel took everything, right? The books are left, and some boxes were taken."
0:01:50,0:02:10,SPEAKER_08,"The books, because we're giving them away tomorrow? Yes. We have some boxes, that we can put a book inside. Hi, Jeremy, company! The book and the hoodie. And the certificates, we give them to them,"
0:02:10,0:02:14,SPEAKER_04,And then they take them. The certificates and the books are here.
0:02:14,0:02:32,SPEAKER_08,"The certificates are beautiful. They're very nice. They're like plastered. Yes, they're done. But it's not much of their work, that's why I say it very kindly. But the color printer in the office doesn't work. Hello."
0:02:32,0:02:50,SPEAKER_08,"What's up? See you tomorrow, okay? And we'll eat some tamales. Are you saying goodbye or not? Say goodbye. She's visiting. She likes you."
0:02:50,0:02:58,SPEAKER_09,She's going to be here. And the color came out well?
0:02:58,0:03:02,SPEAKER_04,"The blue? Okay, bye, buddy."
0:03:04,0:03:14,SPEAKER_03,Hopefully I spelled everything correctly. Yeah. But Manuel did a good job. And I asked Belen. Yes.
0:03:14,0:03:24,SPEAKER_08,Well... let's talk a little bit about what we've seen today. I know it's been a crazy day. Because...
0:03:24,0:03:56,SPEAKER_08,"I was watching Joe, and I was like, my God. He was so busy. So busy, because i was using his phone. But when you use someone's phone, you don't know how to switch from recording to another. And adding sound to the videos, it's complicated with iMovie. And at the same time, there were kids writing. But okay. Then Manuel started doing one of them. Because Manuel hadn't tried doing one."
0:03:56,0:04:06,SPEAKER_01,"No, not yet. But I had seen Joe do it a little bit, but I had never done one by myself."
0:04:08,0:04:10,SPEAKER_08,"But you have to do the hands-on,"
0:04:10,0:04:12,SPEAKER_04,Because it's very hard.
0:04:12,0:04:14,SPEAKER_01,All the students can do it by themselves.
0:04:14,0:04:16,SPEAKER_04,"Yes, yes."
0:04:16,0:04:20,SPEAKER_03,"And Rae Slin, she does it by herself."
0:04:20,0:04:24,SPEAKER_04,"Yes, yes. And Lucas, no?"
0:04:24,0:04:28,SPEAKER_08,"I always felt like this, teaching is always a thousand things at once."
0:04:28,0:04:30,SPEAKER_09,"And at the end,"
0:04:30,0:04:34,SPEAKER_03,It's just a lot of time. Doing each step.
0:04:34,0:04:44,SPEAKER_08,"And Joe was maintaining himself in Spanish. A little bit. More or less. Yes, because when you're doing"
0:04:44,0:04:58,SPEAKER_08,"A thousand things at once, you forget those details. But he stayed there. What did we notice? Do you want to say a little bit? Because you worked with several kids. In adding the sound, how was it?"
0:04:58,0:05:14,SPEAKER_04,"It was very good. Some don't want to do it, like Jaden and Nathan. I don't know why, but also with... jaden and Nathan didn't want to. They didn't want to."
0:05:14,0:05:16,SPEAKER_02,And also...
0:05:16,0:05:26,SPEAKER_04,"Kelly, yes. Kelly... it wasn't Kelly, but Kelly was a little bit... i don't like it at all, but"
0:05:28,0:05:34,SPEAKER_04,"Yes, with Chloe and Liz we did... it was Chloe, sorry."
0:05:34,0:05:38,SPEAKER_03,Chloe and Kelly and Liz...
0:05:38,0:06:02,SPEAKER_04,"Liz and Sofia. They did an audio... in the iMovie. A little script. Two lines. Ah, in the card. Yes, we went to the stairs to record it. So that there wasn't so much noise. It was very fun. They wrote it and then recorded it."
0:06:02,0:06:06,SPEAKER_05,"No, they just said it again. With the iMovie."
0:06:06,0:06:18,SPEAKER_04,Good. There aren't many options for audio. There's no scream. Things like that. But...
0:06:36,0:06:48,SPEAKER_05,"He was like... his voice was like noises. Paf, uh, iiih. But the difficult thing was that we were using the phone."
0:06:48,0:06:56,SPEAKER_06,"There's no iMovie. So he saw the movie and thought about the sounds. And then, without seeing the movie,"
0:06:56,0:07:00,SPEAKER_08,He had to record the sound. So he was like...
0:07:00,0:07:08,SPEAKER_04,"He was looking at me like, how long do I wait? He saw it, but not to record. Not at the same time. There was a moment of silence."
0:07:08,0:07:12,SPEAKER_05,We can't use iMovie. Because we have to leave
0:07:12,0:07:16,SPEAKER_04,The iMovie and record.
0:07:16,0:07:18,SPEAKER_06,But in iMovie there has to be something
0:07:18,0:07:50,SPEAKER_03,"That you add. We had iMovie. It has a little microphone if you wanted to record something. Of course, it's integrated. So you did it separately. Yes, and we had like... i found like a source of sounds. Like, I don't know, the bell. Yeah. And he had... i already uploaded it. So you were working with iMovie? Yes. We tried all the sounds."
0:07:50,0:07:52,SPEAKER_08,Who was this?
0:07:52,0:08:02,SPEAKER_03,With Dariely. We heard all sounds. They were all laughing because there was one school bell. Oh!
0:08:02,0:08:04,SPEAKER_04,I didn't know you could record in iMovie.
0:08:06,0:08:18,SPEAKER_03,And he added... he was very specific of the sounds that he added and thankfully i found those. So...
0:08:18,0:08:32,SPEAKER_03,He wanted... oh!
