Start,End,Speaker,Text
0:00:00,0:00:14,Patricia,"Yo creo que hoy algo de, ah, sí. Habría pasado, porque es difícil, yo le pregunto. Pronto. Porque te gusta o no te gusta, o qué, no, no me gustan los libros. Luego dijo, ah, los Dork Dice, ¿se acuerdan que hace tiempo?"
0:00:14,0:00:16,?,Mhm.
0:00:16,0:00:33,Patricia,"Y por qué, porque son buenos, ¿no? Y porque son buenos, como hay que preguntar mucho. Sí. Al final dijo, no, porque me gusta el drama, ¿no? Me parece importante. Yo dije, ah, ahora me estás contando algo. Me gusta el drama, ¿no? Y hablamos un poquito, pero es como, claro."
0:00:33,0:00:36,Cristina,Con ella es difícil.
0:00:36,0:00:38,Patricia,"También el tema no, no."
0:00:38,0:00:59,Cristina,"Ella, sí, a ella no le gusta hablar de los libros. Y también para ella es muy difícil sacar las palabras. Entonces, creo que también a veces ella es, ella como dice la cosa más simple. Porque es muy difícil para ella, eh, como buscar las palabras y decirlas."
0:00:59,0:01:36,Patricia,"Y Novani que dijo, no, no me gusta escribir. Y le dije, ah, bueno, va. Le dije, eh, bueno, has escrito un cuento para tu proyecto. Y le dije, eso es escribir. Y me miró como, ¿cómo? Como hacer esas conexiones también, sí. Eso es escribir un cuento, ¿no? Sí. Y yo le dije a Jordáni, cuéntame de tu libro de imágenes. Léeme tu libro de imágenes que me lo contaron. Pero él sí se metió en el tema. Así que se dan cuenta, ¿no? De que esto también es literacy."
0:01:36,0:02:16,Cristina,"Sí, algo que es interesante, like, he estado pensando en eso como después de ser estudiante, student teacher aquí. Que, like, at least in fourth grade, me parece como sus experiencias con escritura son muy, like, no escriben como para simplemente escribir. Siempre hay un propósito muy específico. Y es, like, la estructura de las unidades es como, like, leer y aprender de algo y después escribir de lo que estás aprendiendo. Que es, like, una estructura buena. Tradicional."
0:02:16,0:02:17,Patricia,Pero muy tradicional.
0:02:18,0:02:35,Cristina,"Entonces, también, like, es interesante que para este estudiante que fue, like, oh, this is reading. Porque, like, solo encuentran el acto de, like esa idea de la escritura en instantes muy específicos."
0:02:35,0:02:37,SPEAKER_07,Solo una narrativa. Sí.
0:02:37,0:02:57,Cristina,"O solo un ensayo. Donde tienes que tener tu tesis, tu evidencia, tu edad. Eso es escritura. Escritura no es como, entonces, es interesante como, like, oír esa experiencia de como lo que ellos entienden de lo que es escribir."
0:02:57,0:03:05,Patricia,"A lo mejor, sí. Sí. Sí. Tú hiciste todos esos cuestionarios al principio. Sí. O sea, que capturaste eso."
0:03:05,0:04:35,Cristina,"Sí. Yo quería trabajar en esto hoy, pero estaba con Jeremy. Sí. Así estaba con él. Porque al principio me pareció como él, like, bueno, me pregunté si podíamos hacer una animación sobre el sistema solar. Entonces. Porque tenía el libro, ¿verdad? Sí. Sí. Eso fue el libro que estábamos leyendo la semana pasada. Y entonces me pregunté si podíamos hacer eso. Me preguntó si podíamos hacer eso. Después, like, traté de mandarle a alguien para trabajar con alguien quien estaba haciendo las animaciones. Pero, like, no se fue. Como hizo la cosa de Jeremy de caminar por todos lados y, like, no. Entonces pensé que tal vez, like, si trabajaba conmigo, sería mejor o que quería trabajar conmigo. No sé. La verdad es que yo hice como el medio del trabajo de su animación y él estaba como hablando y que también fue importante. Pero sobre el animante. Sí. Pero también como caminando."
0:04:35,0:04:38,Patricia,"Porque luego decidió que se la quería llevar también, ¿no?"
0:04:38,0:04:59,Cristina,"O sea, está interesado en la animación. Sí. Entonces, pero, like, no lo hice. Él no hizo las creaciones. No sé si, like, casi me pareció como no sabía lo que hacer. Y entonces como estaba tratando de, like, avoid."
0:04:59,0:05:11,SPEAKER_03,"Creo que también tiene como dificultad con la motricidad. Y le cuesta hacer cosas que requieren ese trabajo. Entonces cuando hizo Mario, Ángela hizo el 90% de Mario."
0:05:11,0:05:11,Cristina,Sí.
0:05:11,0:05:26,SPEAKER_03,"Todos esos detalles. Y él decía como, y luego yo llegué al final y él me dijo, tú termina de hacer esto y yo pongo los botones. Que eran como todos circulantes. Entonces creo que necesita. Sí. Ese alguien que ayude."
0:05:26,0:05:29,SPEAKER_08,"Me dijo, no te pongas en el cafeterio. Entonces, OK."
0:05:29,0:05:31,None,Lo siento.
0:05:31,0:06:14,Cristina,"Yeah. That's interesting, too that you've noticed that. Porque como lo más que él quiere trabajar con plastilina, like, no quiere crear su sistema solar. You know? For how much he wants to be working with clay, with the air dry clay, with the Play-Doh. When it comes down to making a product, That that's what's really hard for him. I almost wonder if, it's making me kind of think that maybe. For him it's like, he recognizes that he needs the practice of working with his hands. But that he's like, I'm not ready for it to be for my final project."
0:06:14,0:06:15,Group,Yeah.
0:06:15,0:06:20,Cristina,Because I still need practice. I'm not ready for someone to see my work that I've created with my hands. You know?
0:06:20,0:06:22,Patricia,No sé si eso tiene sentido. Sí.
0:06:22,0:06:26,?,"He had a little book, he was working on. What was that? Él vino y dijo, mira, lo que yo voy a hacer."
0:06:26,0:06:29,Patricia,"It was like with the plasti, with different animals."
0:06:29,0:06:35,Cristina,"Yeah, It was the instructions from the air dry clay. He unfolded it and then he folded it back together."
0:06:35,0:06:38,None,And he was like look how good I did it. I was like yeah.
0:06:41,0:06:49,Cristina,"He's like look what I want to work on. Yeah, he was showing me. He was like, look, I can see how we can make the Earth. And I was like we already made it already i mean I already have an earth."
0:06:49,0:07:03,Belén,He tends to be the one who's always using negative words to whatever he does. And he tends to compare... whatever he wants to do with
0:07:03,0:07:04,None,Someone else's.
0:07:04,0:07:17,Belén,"So he's kind of stuck in that phase what worries me is that he doesn't take the chance like the risk, to do something."
0:07:18,0:07:22,Patricia,I mean we don't know what experiences he's had.
0:07:22,0:07:30,Cristina,"And I do feel like me, doing a lot of that work for him, doesn't actually help him. That's at the end of the day, like..."
0:07:30,0:07:32,Patricia,"With thinking but not with, the fine motor skills."
0:07:32,0:07:52,Cristina,"Right. And well, What does that do for his confidence? Al final de la día, es como, ¿sabes? In the moment I was so focused, like, on trying to... Well and just trying to help him get there. But then I also got five hours of sleep last night and it's my and it's my, y'know,"
0:07:52,0:07:53,SPEAKER_00,Ninth hour of teaching.
