Start,End,Speaker,Text
0:00:00,0:00:02,Patricia,"Alright, let me..."
0:00:02,0:00:04,Patricia,I need a tissue.
0:00:14,0:00:16,Patricia,How is everyone doing? Oh my gosh.
0:00:16,0:00:18,Patricia,"Alright, let's record."
0:00:22,0:00:24,Patricia,What do you think?
0:00:24,0:00:26,Patricia,About this work?
0:00:30,0:00:32,Joe,"Creo que podría ser mejor si teníamos más tiempo, pero no tenemos"
0:00:32,0:00:34,Joe,Entonces...
0:00:34,0:00:36,Joe,vamos a hacerlo...
0:00:36,0:00:38,Joe,en tres semanas.
0:00:38,0:00:40,SPEAKER_04,"Sí, pero lo que me interesa"
0:00:40,0:00:42,SPEAKER_04,es que el aprendizaje está fácil...
0:00:42,0:00:50,SPEAKER_04,Sí ocurre cuando estamos hablando y preguntando sobre sus creaciones
0:00:50,0:00:52,SPEAKER_04,"Lo que están haciendo, por qué"
0:00:52,0:00:54,SPEAKER_04,"si están pensando en cada movimiento,"
0:00:54,0:00:58,SPEAKER_04,"la acción, los personajes,"
0:00:58,0:01:00,SPEAKER_04,"the action, the characters..."
0:01:00,0:01:04,SPEAKER_04,Creo que en las conversaciones que hablamos
0:01:04,0:01:06,SPEAKER_04,había mucho...
0:01:06,0:01:08,Joe,Yes.
0:01:08,0:01:10,SPEAKER_07,I put it into... [inaudible]
0:01:10,0:01:12,SPEAKER_07,The learning process.
0:01:12,0:01:14,Patricia,¿Cómo?
0:01:14,0:01:16,Joe,Learning is going to happen during...
0:01:16,0:01:18,Joe,In the process.
0:01:18,0:01:20,Joe,"Just like they did with the other animation,"
0:01:20,0:01:22,Joe,"but I think this time it will come back to them, hopefully."
0:01:22,0:01:24,Joe,Especially because I'm seeing now that a lot are just
0:01:24,0:01:26,Joe,"instinctively flattening their clay,"
0:01:26,0:01:30,Joe,which I wish we had done something at the beginning.
0:01:30,0:01:32,Joe,I guess I should have done my demonstration today.
0:01:32,0:01:36,Joe,I just didn't realize how many were going to go ahead and start with that.
0:01:36,0:01:38,Patricia,I was mentioning that to them.
0:01:38,0:01:40,Joe,"I heard you saying that, I appreciated it."
0:01:40,0:01:42,Patricia,And it kind of clicked.
0:01:42,0:01:44,Patricia,"They were like,"
0:01:44,0:01:46,Patricia,oh...
0:01:46,0:01:48,Patricia,"There was a group here,"
0:01:48,0:01:50,Patricia,"that one of them was making it three-dimensional,"
0:01:50,0:01:54,Patricia,so there were two more that were imitating that.
0:01:54,0:01:56,Patricia,Yeah.
0:01:56,0:01:58,Joe,They learned from each other.
0:01:58,0:02:00,Joe,"I got some to start, but we had to correct."
0:02:00,0:02:02,Patricia,"That was the group with Nobani, Marin and Keisha."
0:02:02,0:02:04,Patricia,I think it was Keisha.
0:02:04,0:02:06,Patricia,Keisha was doing it three-dimensional.
0:02:06,0:02:08,Patricia,"It was hard because it was heavy,"
0:02:08,0:02:10,Patricia,she was trying to sit in and play something.
0:02:10,0:02:12,Patricia,I think it was Marin.
0:02:12,0:02:14,Patricia,Because Keisha was doing the heart.
0:02:14,0:02:16,Patricia,Marin.
0:02:16,0:02:18,Patricia,Keisha was doing the heart because she said she had finished her movie already.
0:02:18,0:02:20,Patricia,And she was just making the heart for fun.
0:02:20,0:02:22,Joe,"She's using that as her background,"
0:02:22,0:02:24,Joe,instead of a photo.
0:02:24,0:02:26,Joe,That's a background.
0:02:26,0:02:28,Joe,"But I kept telling her,"
0:02:28,0:02:30,Joe,"you need to also make your characters,"
0:02:30,0:02:32,Patricia,I don't think she has yet.
0:02:32,0:02:34,Patricia,She will.
0:02:34,0:02:36,Patricia,"So you think that maybe telling them,"
0:02:36,0:02:38,Patricia,"you said, I wish we had told them before."
0:02:38,0:02:40,Joe,"I wish we had started off by doing my demonstration,"
0:02:40,0:02:42,Joe,"because in my demonstration,"
0:02:42,0:02:44,Joe,I was slash still am going to show
0:02:44,0:02:46,Joe,standing up 3D.
0:02:46,0:02:48,Patricia,So we didn't create a model in the end?
0:02:48,0:02:50,Joe,"No, we were going to show it tomorrow,"
0:02:50,0:02:52,Joe,because today was just supposed to be
0:02:52,0:02:54,Joe,"finishing up the writing,"
0:02:54,0:02:56,Joe,"and for those who had already finished it,"
0:02:56,0:02:58,Joe,working with me personally.
0:02:58,0:03:00,Joe,That's fine.
0:03:00,0:03:02,Joe,I think we should still show them.
0:03:02,0:03:04,Patricia,"It's nice that we saw this today,"
0:03:04,0:03:06,Patricia,the first way of starting.
0:03:06,0:03:08,Patricia,This is great.
0:03:08,0:03:10,Patricia,This is the learning process happening.
0:03:10,0:03:12,SPEAKER_04,"It's older, because I think, well, Marin is older,"
0:03:12,0:03:14,SPEAKER_04,but some of the kids instinctively did 3D too.
0:03:14,0:03:16,SPEAKER_04,Yes.
0:03:16,0:03:18,Patricia,It just depended on.
0:03:18,0:03:20,Patricia,I only saw Marin.
0:03:20,0:03:22,SPEAKER_04,"Dylan, Isabelle."
0:03:22,0:03:24,SPEAKER_04,Who? That group?
0:03:24,0:03:26,Patricia,"Yes, because she's like, well, I'm doing this."
0:03:26,0:03:28,Patricia,I didn't see that group today.
0:03:28,0:03:30,Belen,"But Dariel,"
0:03:30,0:03:32,Belen,he started 3D.
0:03:32,0:03:34,Belen,"Yes, he made a little bus."
0:03:34,0:03:36,Belen,Car.
0:03:36,0:03:38,Belen,"Yes, like a car."
0:03:38,0:03:40,Patricia,"For the car that was going to hit the other car,"
0:03:40,0:03:42,Patricia,I was going to push him
0:03:42,0:03:44,SPEAKER_02,on the way to the beach.
0:03:44,0:03:46,SPEAKER_02,For the car that was driving him to the beach.
0:03:46,0:03:48,Patricia,Another car was going to hit them.
0:03:48,0:03:50,Patricia,And he was going to push them
0:03:50,0:03:52,Patricia,faster to the beach.
0:03:52,0:03:54,Patricia,But the car that hit them was going to be destroyed.
0:03:54,0:03:56,Patricia,"But not them, because the car was very strong."
0:03:56,0:03:58,Patricia,"Oh, that's good."
0:03:58,0:04:00,Patricia,That's good to hear.
0:04:00,0:04:02,Belen,"And Dadan made them,"
0:04:02,0:04:04,Belen,but he wanted to do it
0:04:04,0:04:06,Belen,"three-dimensional,"
