Audio File : apr_18\meeting\apr_18_meeting.wav             
Pipeline : pyannote/speaker-diarization
                    
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 21:52:25          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                    
[ 00:00:02.489 -->  00:00:04.210] IK SPEAKER_05
[ 00:00:05.391 -->  00:00:07.484] IL SPEAKER_05
[ 00:00:09.458 -->  00:00:13.086] GA SPEAKER_04
[ 00:00:13.474 -->  00:00:15.010] OE SPEAKER_06
[ 00:00:14.419 -->  00:00:14.504] TJ SPEAKER_07
[ 00:00:14.504 -->  00:00:19.549] IM SPEAKER_05
[ 00:00:15.010 -->  00:00:15.364] GB SPEAKER_04
[ 00:00:20.967 -->  00:00:21.557] TK SPEAKER_07
[ 00:00:22.367 -->  00:00:23.177] TL SPEAKER_07
[ 00:00:22.654 -->  00:00:23.886] IN SPEAKER_05
[ 00:00:24.494 -->  00:00:25.776] IO SPEAKER_05
[ 00:00:25.776 -->  00:00:38.264] TM SPEAKER_07
[ 00:00:38.753 -->  00:00:41.689] GC SPEAKER_04
[ 00:00:39.546 -->  00:00:39.563] TN SPEAKER_07
[ 00:00:43.309 -->  00:00:58.952] GD SPEAKER_04
[ 00:00:58.952 -->  00:01:07.002] DO SPEAKER_03
[ 00:01:07.002 -->  00:01:10.495] TO SPEAKER_07
[ 00:01:08.385 -->  00:01:08.436] GE SPEAKER_04
[ 00:01:08.436 -->  00:01:08.993] WL SPEAKER_08
[ 00:01:12.452 -->  00:01:12.722] OF SPEAKER_06
[ 00:01:13.330 -->  00:01:15.625] OG SPEAKER_06
[ 00:01:15.625 -->  00:01:16.620] IP SPEAKER_05
[ 00:01:16.570 -->  00:01:36.229] OH SPEAKER_06
[ 00:01:26.830 -->  00:01:27.944] WM SPEAKER_08
[ 00:01:27.944 -->  00:01:28.079] A SPEAKER_00
[ 00:01:36.162 -->  00:01:38.406] IQ SPEAKER_05
[ 00:01:38.372 -->  00:01:40.566] OI SPEAKER_06
[ 00:01:39.942 -->  00:01:43.907] IR SPEAKER_05
[ 00:01:45.426 -->  00:01:57.644] IS SPEAKER_05
[ 00:01:45.443 -->  00:01:45.966] TP SPEAKER_07
[ 00:01:51.332 -->  00:01:51.974] TQ SPEAKER_07
[ 00:01:54.792 -->  00:02:00.495] OJ SPEAKER_06
[ 00:01:59.837 -->  00:02:20.661] IT SPEAKER_05
[ 00:02:05.507 -->  00:02:05.929] WN SPEAKER_08
[ 00:02:07.212 -->  00:02:07.448] WO SPEAKER_08
[ 00:02:10.975 -->  00:02:11.970] OK SPEAKER_06
[ 00:02:12.915 -->  00:02:12.932] OL SPEAKER_06
[ 00:02:14.232 -->  00:02:14.755] WP SPEAKER_08
[ 00:02:20.661 -->  00:02:29.487] OM SPEAKER_06
[ 00:02:24.407 -->  00:02:25.319] BZ SPEAKER_02
[ 00:02:29.487 -->  00:02:29.942] TR SPEAKER_07
[ 00:02:29.942 -->  00:02:30.938] GF SPEAKER_04
[ 00:02:30.938 -->  00:02:38.582] IU SPEAKER_05
[ 00:02:31.073 -->  00:02:31.917] ON SPEAKER_06
[ 00:02:31.495 -->  00:02:31.782] TS SPEAKER_07
[ 00:02:38.160 -->  00:02:47.830] OO SPEAKER_06
[ 00:02:47.712 -->  00:02:49.838] IV SPEAKER_05
[ 00:02:49.922 -->  00:03:01.296] OP SPEAKER_06
[ 00:02:59.929 -->  00:03:00.992] CA SPEAKER_02
[ 00:03:00.992 -->  00:03:02.427] IW SPEAKER_05
[ 00:03:02.714 -->  00:03:04.671] OQ SPEAKER_06
[ 00:03:03.743 -->  00:03:10.459] IX SPEAKER_05
[ 00:03:06.899 -->  00:03:07.034] OR SPEAKER_06
[ 00:03:09.261 -->  00:03:17.462] GG SPEAKER_04
[ 00:03:14.661 -->  00:03:20.500] IY SPEAKER_05
[ 00:03:18.424 -->  00:03:24.989] GH SPEAKER_04
[ 00:03:18.947 -->  00:03:18.998] OS SPEAKER_06
[ 00:03:24.668 -->  00:03:26.490] IZ SPEAKER_05
[ 00:03:28.988 -->  00:03:38.455] DP SPEAKER_03
[ 00:03:37.729 -->  00:03:43.197] JA SPEAKER_05
[ 00:03:41.745 -->  00:03:46.859] CB SPEAKER_02
[ 00:03:44.496 -->  00:04:00.696] JB SPEAKER_05
[ 00:03:46.521 -->  00:03:46.690] GI SPEAKER_04
[ 00:03:51.938 -->  00:03:52.039] WQ SPEAKER_08
[ 00:03:57.709 -->  00:03:57.962] AG SPEAKER_01
[ 00:03:59.667 -->  00:04:01.084] DQ SPEAKER_03
[ 00:04:01.709 -->  00:04:09.640] DR SPEAKER_03
[ 00:04:08.020 -->  00:04:16.575] OT SPEAKER_06
[ 00:04:15.900 -->  00:04:31.932] DS SPEAKER_03
[ 00:04:17.352 -->  00:04:17.453] OU SPEAKER_06
[ 00:04:27.139 -->  00:04:35.999] AH SPEAKER_01
[ 00:04:31.797 -->  00:04:31.847] OV SPEAKER_06
[ 00:04:31.864 -->  00:04:31.898] CC SPEAKER_02
[ 00:04:35.745 -->  00:04:50.950] DT SPEAKER_03
[ 00:04:35.999 -->  00:04:36.505] WR SPEAKER_08
[ 00:04:37.922 -->  00:04:38.108] WS SPEAKER_08
[ 00:04:45.145 -->  00:04:45.904] TT SPEAKER_07
[ 00:04:50.022 -->  00:04:58.594] GJ SPEAKER_04
[ 00:04:55.185 -->  00:04:55.793] OW SPEAKER_06
[ 00:04:58.274 -->  00:05:03.488] JC SPEAKER_05
[ 00:05:01.817 -->  00:05:05.091] OX SPEAKER_06
[ 00:05:04.281 -->  00:05:29.830] JD SPEAKER_05
[ 00:05:06.036 -->  00:05:07.335] WT SPEAKER_08
[ 00:05:21.527 -->  00:05:21.882] WU SPEAKER_08
[ 00:05:21.764 -->  00:05:24.869] OY SPEAKER_06
[ 00:05:29.830 -->  00:05:32.513] OZ SPEAKER_06
[ 00:05:32.513 -->  00:05:36.394] JE SPEAKER_05
[ 00:05:35.382 -->  00:05:37.930] AI SPEAKER_01
[ 00:05:37.592 -->  00:05:37.812] DU SPEAKER_03
[ 00:05:37.930 -->  00:05:37.997] JF SPEAKER_05
[ 00:05:37.997 -->  00:05:38.267] TU SPEAKER_07
[ 00:05:38.453 -->  00:05:40.545] DV SPEAKER_03
[ 00:05:38.976 -->  00:05:39.246] TV SPEAKER_07
[ 00:05:39.246 -->  00:05:39.263] AJ SPEAKER_01
[ 00:05:41.575 -->  00:06:41.447] DW SPEAKER_03
[ 00:05:54.180 -->  00:05:56.982] PA SPEAKER_06
[ 00:05:56.982 -->  00:05:57.201] CD SPEAKER_02
[ 00:05:59.395 -->  00:05:59.952] CE SPEAKER_02
[ 00:05:59.952 -->  00:06:00.492] TW SPEAKER_07
[ 00:06:00.357 -->  00:06:00.441] JG SPEAKER_05
[ 00:06:02.517 -->  00:06:02.550] GK SPEAKER_04
[ 00:06:25.365 -->  00:06:26.867] PB SPEAKER_06
[ 00:06:28.437 -->  00:06:29.820] PC SPEAKER_06
[ 00:06:41.447 -->  00:06:43.658] GL SPEAKER_04
[ 00:06:43.658 -->  00:06:59.841] PD SPEAKER_06
[ 00:06:45.109 -->  00:06:45.143] GM SPEAKER_04
[ 00:06:53.040 -->  00:06:55.302] WV SPEAKER_08
[ 00:06:56.635 -->  00:06:57.597] WW SPEAKER_08
[ 00:06:57.090 -->  00:06:57.158] DX SPEAKER_03
[ 00:06:59.925 -->  00:07:34.890] GN SPEAKER_04
[ 00:07:01.360 -->  00:07:01.630] TX SPEAKER_07
[ 00:07:03.554 -->  00:07:04.060] TY SPEAKER_07
[ 00:07:06.422 -->  00:07:07.131] TZ SPEAKER_07
[ 00:07:14.742 -->  00:07:14.961] UA SPEAKER_07
[ 00:07:15.569 -->  00:07:16.463] UB SPEAKER_07
[ 00:07:21.289 -->  00:07:21.441] UC SPEAKER_07
[ 00:07:21.441 -->  00:07:21.762] WX SPEAKER_08
[ 00:07:24.276 -->  00:07:24.782] DY SPEAKER_03
[ 00:07:31.954 -->  00:07:32.123] WY SPEAKER_08
[ 00:07:32.055 -->  00:07:32.089] JH SPEAKER_05
[ 00:07:35.532 -->  00:07:37.169] JI SPEAKER_05
[ 00:07:36.561 -->  00:07:41.843] GO SPEAKER_04
[ 00:07:42.653 -->  00:07:47.429] JJ SPEAKER_05
[ 00:07:42.704 -->  00:07:43.429] GP SPEAKER_04
[ 00:07:45.387 -->  00:07:50.905] GQ SPEAKER_04
[ 00:07:49.977 -->  00:07:52.947] UD SPEAKER_07
[ 00:07:51.749 -->  00:07:54.735] JK SPEAKER_05
[ 00:07:56.136 -->  00:08:15.947] JL SPEAKER_05
[ 00:07:59.511 -->  00:08:00.608] WZ SPEAKER_08
[ 00:08:05.164 -->  00:08:07.307] PE SPEAKER_06
[ 00:08:08.674 -->  00:08:09.704] PF SPEAKER_06
[ 00:08:10.716 -->  00:08:11.678] PG SPEAKER_06
[ 00:08:13.534 -->  00:08:21.955] PH SPEAKER_06
[ 00:08:15.947 -->  00:08:15.981] XA SPEAKER_08
[ 00:08:15.981 -->  00:08:16.065] GR SPEAKER_04
[ 00:08:21.111 -->  00:08:28.249] JM SPEAKER_05
[ 00:08:24.874 -->  00:08:25.313] PI SPEAKER_06
[ 00:08:26.528 -->  00:08:33.059] PJ SPEAKER_06
[ 00:08:30.207 -->  00:09:05.999] GS SPEAKER_04
[ 00:08:33.818 -->  00:08:34.274] PK SPEAKER_06
[ 00:08:36.248 -->  00:08:36.602] JN SPEAKER_05
[ 00:08:37.210 -->  00:08:39.910] PL SPEAKER_06
[ 00:08:49.343 -->  00:08:51.368] JO SPEAKER_05
[ 00:08:55.300 -->  00:08:55.452] XB SPEAKER_08
[ 00:09:05.999 -->  00:09:38.280] DZ SPEAKER_03
[ 00:09:09.981 -->  00:09:10.504] B SPEAKER_00
[ 00:09:10.504 -->  00:09:10.977] UE SPEAKER_07
[ 00:09:13.559 -->  00:09:14.149] UF SPEAKER_07
[ 00:09:16.394 -->  00:09:16.900] UG SPEAKER_07
[ 00:09:18.267 -->  00:09:20.460] UH SPEAKER_07
[ 00:09:25.641 -->  00:09:25.675] GT SPEAKER_04
[ 00:09:25.675 -->  00:09:26.654] AK SPEAKER_01
[ 00:09:26.654 -->  00:09:28.206] XC SPEAKER_08
[ 00:09:37.605 -->  00:09:49.857] PM SPEAKER_06
[ 00:09:46.060 -->  00:09:46.684] XD SPEAKER_08
[ 00:09:48.929 -->  00:10:06.985] AL SPEAKER_01
[ 00:09:56.033 -->  00:09:56.843] UI SPEAKER_07
[ 00:10:00.488 -->  00:10:00.623] XE SPEAKER_08
[ 00:10:03.576 -->  00:10:04.167] XF SPEAKER_08
[ 00:10:12.959 -->  00:10:40.245] AM SPEAKER_01
[ 00:10:13.988 -->  00:10:16.148] XG SPEAKER_08
[ 00:10:15.945 -->  00:10:16.114] JP SPEAKER_05
[ 00:10:19.287 -->  00:10:21.565] JQ SPEAKER_05
[ 00:10:19.439 -->  00:10:19.995] CF SPEAKER_02
[ 00:10:22.442 -->  00:10:23.455] JR SPEAKER_05
[ 00:10:39.824 -->  00:10:40.515] XH SPEAKER_08
[ 00:10:40.870 -->  00:10:53.779] AN SPEAKER_01
[ 00:10:54.454 -->  00:11:28.744] AO SPEAKER_01
[ 00:11:02.537 -->  00:11:03.685] C SPEAKER_00
[ 00:11:11.717 -->  00:11:11.903] UJ SPEAKER_07
[ 00:11:21.488 -->  00:11:21.505] D SPEAKER_00
[ 00:11:21.505 -->  00:11:24.306] XI SPEAKER_08
[ 00:11:29.520 -->  00:11:32.052] AP SPEAKER_01
[ 00:11:32.997 -->  00:11:44.894] AQ SPEAKER_01
[ 00:11:40.742 -->  00:11:41.502] E SPEAKER_00
[ 00:11:41.502 -->  00:12:22.187] CG SPEAKER_02
[ 00:12:02.950 -->  00:12:06.038] PN SPEAKER_06
[ 00:12:10.122 -->  00:12:10.442] PO SPEAKER_06
[ 00:12:11.809 -->  00:12:12.940] XJ SPEAKER_08
[ 00:12:12.940 -->  00:12:13.547] UK SPEAKER_07
[ 00:12:16.770 -->  00:12:17.361] UL SPEAKER_07
[ 00:12:20.483 -->  00:12:21.006] GU SPEAKER_04
[ 00:12:20.500 -->  00:12:27.874] JS SPEAKER_05
[ 00:12:21.900 -->  00:12:21.917] GV SPEAKER_04
[ 00:12:23.166 -->  00:12:23.993] XK SPEAKER_08
[ 00:12:25.782 -->  00:12:33.325] PP SPEAKER_06
[ 00:12:30.912 -->  00:12:39.501] CH SPEAKER_02
[ 00:12:35.029 -->  00:12:36.885] JT SPEAKER_05
[ 00:12:39.501 -->  00:12:45.998] JU SPEAKER_05
[ 00:12:44.834 -->  00:12:45.137] CI SPEAKER_02
[ 00:12:45.998 -->  00:12:50.993] CJ SPEAKER_02
[ 00:12:49.778 -->  00:12:50.267] JV SPEAKER_05
[ 00:12:54.250 -->  00:12:54.655] JW SPEAKER_05
[ 00:12:55.296 -->  00:13:15.327] JX SPEAKER_05
[ 00:13:03.379 -->  00:13:03.717] UM SPEAKER_07
[ 00:13:06.299 -->  00:13:07.935] XL SPEAKER_08
[ 00:13:07.935 -->  00:13:07.952] F SPEAKER_00
[ 00:13:14.989 -->  00:13:19.107] EA SPEAKER_03
[ 00:13:19.984 -->  00:13:33.501] EB SPEAKER_03
[ 00:13:32.387 -->  00:13:32.944] XM SPEAKER_08
[ 00:13:32.944 -->  00:13:34.935] CK SPEAKER_02
[ 00:13:33.434 -->  00:13:47.744] JY SPEAKER_05
[ 00:13:34.699 -->  00:13:35.577] XN SPEAKER_08
[ 00:13:42.563 -->  00:13:43.761] PQ SPEAKER_06
[ 00:13:44.993 -->  00:13:45.364] PR SPEAKER_06
[ 00:13:45.364 -->  00:13:45.769] UN SPEAKER_07
[ 00:13:47.744 -->  00:14:01.935] AR SPEAKER_01
[ 00:14:01.935 -->  00:14:02.999] JZ SPEAKER_05
[ 00:14:03.910 -->  00:14:18.507] KA SPEAKER_05
[ 00:14:14.187 -->  00:14:15.284] XO SPEAKER_08
[ 00:14:18.507 -->  00:14:31.399] AS SPEAKER_01
[ 00:14:20.650 -->  00:14:24.767] XP SPEAKER_08
[ 00:14:27.872 -->  00:14:30.792] PS SPEAKER_06
[ 00:14:31.399 -->  00:14:34.234] PT SPEAKER_06
[ 00:14:33.441 -->  00:14:41.710] KB SPEAKER_05
[ 00:14:39.330 -->  00:14:45.119] CL SPEAKER_02
[ 00:14:43.195 -->  00:14:49.506] EC SPEAKER_03
[ 00:14:46.570 -->  00:14:48.494] KC SPEAKER_05
[ 00:14:47.447 -->  00:14:52.814] AT SPEAKER_01
[ 00:14:49.506 -->  00:15:01.184] KD SPEAKER_05
[ 00:15:00.644 -->  00:15:17.451] ED SPEAKER_03
[ 00:15:03.681 -->  00:15:05.723] AU SPEAKER_01
[ 00:15:12.642 -->  00:15:13.536] GW SPEAKER_04
[ 00:15:17.451 -->  00:15:22.244] CM SPEAKER_02
[ 00:15:21.636 -->  00:15:27.492] PU SPEAKER_06
[ 00:15:25.534 -->  00:15:26.749] KE SPEAKER_05
[ 00:15:25.635 -->  00:15:25.939] XQ SPEAKER_08
[ 00:15:27.492 -->  00:15:33.567] KF SPEAKER_05
[ 00:15:34.748 -->  00:16:06.304] KG SPEAKER_05
[ 00:16:06.304 -->  00:16:06.608] UO SPEAKER_07
[ 00:16:07.047 -->  00:16:11.434] KH SPEAKER_05
[ 00:16:12.396 -->  00:16:15.417] KI SPEAKER_05
[ 00:16:17.054 -->  00:16:21.947] KJ SPEAKER_05
[ 00:16:19.568 -->  00:16:19.602] XR SPEAKER_08
[ 00:16:21.947 -->  00:16:59.950] EE SPEAKER_03
[ 00:16:52.491 -->  00:16:52.542] XS SPEAKER_08
[ 00:16:59.292 -->  00:17:02.329] KK SPEAKER_05
[ 00:17:02.920 -->  00:17:06.278] KL SPEAKER_05
[ 00:17:03.949 -->  00:17:15.829] EF SPEAKER_03
[ 00:17:07.037 -->  00:17:07.071] KM SPEAKER_05
[ 00:17:07.071 -->  00:17:08.556] XT SPEAKER_08
[ 00:17:14.901 -->  00:17:17.129] PV SPEAKER_06
[ 00:17:17.129 -->  00:17:17.820] EG SPEAKER_03
[ 00:17:17.820 -->  00:17:19.170] PW SPEAKER_06
[ 00:17:19.187 -->  00:17:38.408] EH SPEAKER_03
[ 00:17:34.695 -->  00:17:35.370] XU SPEAKER_08
[ 00:17:39.184 -->  00:17:45.664] KN SPEAKER_05
[ 00:17:46.019 -->  00:18:11.905] EI SPEAKER_03
[ 00:17:50.187 -->  00:17:51.030] XV SPEAKER_08
[ 00:18:11.264 -->  00:18:47.815] KO SPEAKER_05
[ 00:18:17.946 -->  00:18:19.279] UP SPEAKER_07
[ 00:18:20.747 -->  00:18:21.186] UQ SPEAKER_07
[ 00:18:21.186 -->  00:18:21.220] PX SPEAKER_06
[ 00:18:22.890 -->  00:18:27.042] PY SPEAKER_06
[ 00:18:29.860 -->  00:18:30.450] UR SPEAKER_07
[ 00:18:35.277 -->  00:18:36.239] PZ SPEAKER_06
[ 00:18:39.546 -->  00:18:40.103] QA SPEAKER_06
[ 00:18:45.756 -->  00:18:50.734] QB SPEAKER_06
[ 00:18:49.452 -->  00:19:02.547] KP SPEAKER_05
[ 00:18:50.734 -->  00:18:52.945] EJ SPEAKER_03
[ 00:18:53.535 -->  00:18:54.447] EK SPEAKER_03
[ 00:18:58.480 -->  00:18:58.868] XW SPEAKER_08
[ 00:18:59.779 -->  00:19:07.002] EL SPEAKER_03
[ 00:19:04.335 -->  00:19:28.939] KQ SPEAKER_05
[ 00:19:08.217 -->  00:19:09.516] QC SPEAKER_06
[ 00:19:17.802 -->  00:19:18.072] US SPEAKER_07
[ 00:19:21.750 -->  00:19:22.172] UT SPEAKER_07
[ 00:19:22.965 -->  00:19:24.231] UU SPEAKER_07
[ 00:19:25.800 -->  00:19:25.817] G SPEAKER_00
[ 00:19:26.965 -->  00:19:26.999] H SPEAKER_00
[ 00:19:26.999 -->  00:19:28.298] AV SPEAKER_01
[ 00:19:28.939 -->  00:19:31.605] AW SPEAKER_01
[ 00:19:31.217 -->  00:19:31.572] QD SPEAKER_06
[ 00:19:32.264 -->  00:19:44.937] QE SPEAKER_06
[ 00:19:32.500 -->  00:19:32.939] AX SPEAKER_01
[ 00:19:32.939 -->  00:19:33.479] XX SPEAKER_08
[ 00:19:37.326 -->  00:19:38.389] GX SPEAKER_04
[ 00:19:37.410 -->  00:19:37.495] KR SPEAKER_05
[ 00:19:39.064 -->  00:19:42.794] KS SPEAKER_05
[ 00:19:39.942 -->  00:19:40.262] GY SPEAKER_04
[ 00:19:43.469 -->  00:19:43.553] KT SPEAKER_05
[ 00:19:43.553 -->  00:19:50.050] EM SPEAKER_03
[ 00:19:44.684 -->  00:19:46.776] KU SPEAKER_05
[ 00:19:46.270 -->  00:19:46.371] QF SPEAKER_06
[ 00:19:48.497 -->  00:19:49.425] GZ SPEAKER_04
[ 00:19:50.050 -->  00:19:50.607] HA SPEAKER_04
[ 00:19:52.952 -->  00:19:58.825] QG SPEAKER_06
[ 00:19:54.488 -->  00:19:55.720] KV SPEAKER_05
[ 00:19:57.745 -->  00:19:57.846] KW SPEAKER_05
[ 00:19:57.846 -->  00:20:01.947] CN SPEAKER_02
[ 00:19:59.466 -->  00:19:59.871] KX SPEAKER_05
[ 00:20:00.749 -->  00:20:03.060] KY SPEAKER_05
[ 00:20:01.947 -->  00:20:07.499] HB SPEAKER_04
[ 00:20:07.499 -->  00:20:11.751] CO SPEAKER_02
[ 00:20:09.507 -->  00:20:21.201] EN SPEAKER_03
[ 00:20:20.054 -->  00:20:20.290] KZ SPEAKER_05
[ 00:20:21.201 -->  00:20:23.024] LA SPEAKER_05
[ 00:20:22.146 -->  00:20:22.180] QH SPEAKER_06
[ 00:20:22.180 -->  00:20:22.332] EO SPEAKER_03
[ 00:20:23.024 -->  00:20:28.879] QI SPEAKER_06
[ 00:20:28.643 -->  00:20:39.443] EP SPEAKER_03
[ 00:20:31.022 -->  00:20:31.073] QJ SPEAKER_06
[ 00:20:31.073 -->  00:20:33.503] UV SPEAKER_07
[ 00:20:33.503 -->  00:20:34.397] CP SPEAKER_02
[ 00:20:35.899 -->  00:20:35.950] CQ SPEAKER_02
[ 00:20:35.950 -->  00:20:51.137] LB SPEAKER_05
[ 00:20:39.443 -->  00:20:40.034] QK SPEAKER_06
[ 00:20:41.485 -->  00:20:43.290] QL SPEAKER_06
[ 00:20:47.172 -->  00:20:47.577] UW SPEAKER_07
[ 00:20:50.159 -->  00:20:57.668] QM SPEAKER_06
[ 00:20:52.740 -->  00:20:53.939] HC SPEAKER_04
[ 00:20:53.939 -->  00:20:55.373] AY SPEAKER_01
[ 00:20:57.668 -->  00:21:00.452] LC SPEAKER_05
[ 00:20:59.744 -->  00:21:06.949] QN SPEAKER_06
[ 00:21:03.810 -->  00:21:04.080] XY SPEAKER_08
[ 00:21:04.080 -->  00:21:10.358] AZ SPEAKER_01
[ 00:21:06.949 -->  00:21:07.304] LD SPEAKER_05
[ 00:21:08.654 -->  00:21:12.872] HD SPEAKER_04
[ 00:21:13.024 -->  00:21:18.053] QO SPEAKER_06
[ 00:21:18.795 -->  00:21:20.247] QP SPEAKER_06
[ 00:21:18.914 -->  00:21:23.183] LE SPEAKER_05
[ 00:21:22.947 -->  00:21:26.136] QQ SPEAKER_06
[ 00:21:26.322 -->  00:21:30.203] HE SPEAKER_04
[ 00:21:26.355 -->  00:21:32.565] LF SPEAKER_05
[ 00:21:30.203 -->  00:21:30.287] UX SPEAKER_07
[ 00:21:33.308 -->  00:21:36.615] QR SPEAKER_06
[ 00:21:34.624 -->  00:21:38.961] XZ SPEAKER_08
[ 00:21:37.257 -->  00:21:41.037] QS SPEAKER_06
[ 00:21:42.150 -->  00:21:52.950] LG SPEAKER_05
[ 00:21:42.167 -->  00:21:43.365] QT SPEAKER_06
[ 00:21:42.437 -->  00:21:42.505] I SPEAKER_00
[ 00:21:43.365 -->  00:21:43.450] UY SPEAKER_07
[ 00:21:44.783 -->  00:21:45.475] YA SPEAKER_08
[ 00:21:45.475 -->  00:21:51.499] QU SPEAKER_06
[ 00:21:47.449 -->  00:21:47.500] YB SPEAKER_08
[ 00:21:52.950 -->  00:21:59.869] EQ SPEAKER_03
[ 00:21:54.621 -->  00:21:55.448] LH SPEAKER_05
[ 00:21:55.448 -->  00:21:55.532] YC SPEAKER_08
[ 00:21:55.532 -->  00:21:56.444] QV SPEAKER_06
[ 00:21:56.444 -->  00:21:56.494] YD SPEAKER_08
[ 00:21:57.659 -->  00:22:04.949] QW SPEAKER_06
[ 00:22:04.425 -->  00:22:04.442] ER SPEAKER_03
[ 00:22:04.442 -->  00:22:05.438] CR SPEAKER_02
[ 00:22:04.560 -->  00:22:08.644] BA SPEAKER_01
[ 00:22:05.438 -->  00:22:05.708] LI SPEAKER_05
[ 00:22:06.535 -->  00:22:15.209] LJ SPEAKER_05
[ 00:22:08.644 -->  00:22:08.948] CS SPEAKER_02
[ 00:22:12.930 -->  00:22:20.254] QX SPEAKER_06
[ 00:22:21.520 -->  00:22:23.815] QY SPEAKER_06
[ 00:22:23.815 -->  00:22:24.675] ES SPEAKER_03
[ 00:22:24.659 -->  00:22:26.211] QZ SPEAKER_06
[ 00:22:26.211 -->  00:22:26.987] ET SPEAKER_03
[ 00:22:28.523 -->  00:22:30.244] HF SPEAKER_04
[ 00:22:29.586 -->  00:22:30.008] RA SPEAKER_06
[ 00:22:30.953 -->  00:22:38.564] HG SPEAKER_04
