Start,End,Speaker,Text
0:00:00,0:00:21,Patricia,"But I'm going, because I didn't speak so much today. That's funny. It's OK. Yes, so we have our visitor today here, Baird Hobbit. Would you like to say a little bit about your work?"
0:00:21,0:00:49,Baird,"I'm in early childhood at Brooklyn College, and I teach at the Graduate Center in the Urban Ed program, and this is the light to the city program. And I've read about it, so it was really fun to see it. And Patricia and I are both in the chat segment, so we're sort of interested in it, even though we're in different practical fields. I'm in early childhood, but we have this overlap from our theory. So thanks for having me."
0:00:49,0:01:01,Patricia,"Yeah, we both use cultural historical theory. The Gaigoskian, you know about the activity systems. They're very familiar with the theory. Some of them used it for the inquiry project."
0:01:01,0:01:02,Baird,"Oh, wonderful."
0:01:02,0:01:22,Patricia,"They do an inquiry project with the research studies. Right? Let me think. No, Andrea, you used fans of identity. Moises, you have a lot of work. And yeah, Cristina also did identity. Angela, what did you use? Literacy, you were in literacy, new literacy studies?"
0:01:22,0:01:33,Angela,"I did a lot of, well, not new literacy studies, but focused on like translanguaging and literacy, read-alouds, I used a very specific context."
0:01:33,0:01:41,Patricia,"Okay. Ah, yes, you were doing the, they were reading the same book one day in Spanish and one day in English, but the same book."
0:01:41,0:01:45,Angela,"Yeah, very interesting."
0:01:45,0:01:49,Patricia,"So, Ophelia, yes. No, no. You're the only one."
0:01:49,0:02:00,Angela,"I did a lot of, there was this article i did in the last week of spring, that they did in translanguaging as like a strategy in that book, so we referenced a lot of that."
0:02:02,0:02:12,Patricia,"So, you know, Beth has done a lot of work in cultural historical theory, and her work focuses on play, I would say."
0:02:12,0:02:13,Baird,I would say.
0:02:13,0:02:15,Patricia,It's all on play. Play and children.
0:02:15,0:03:04,Baird,"And identity development through play, so a concept called Perjuvania, which is about the ways that your identity develops at those moments when you hit like really hard transitions in your life. But studying it through the, with the children of the teachers of, co-researchers of the idea of the play, is that when you, if I get in costume and enter in the play and then my students get in costume and enter, and the teachers get in costume and enter, then we can communicate with the children to study a lot of different things, and then the children can give us ideas about, it's really participatory design research, so that the children are suggesting ways that we could better study complicated things like identity development."
0:03:04,0:03:08,Patricia,Very young children. This is early childhood.
0:03:08,0:03:10,Baird,"Yes, zero through seven."
0:03:10,0:03:31,Patricia,"It's beautiful to see. I visited her program in Brooklyn. It's play worlds, so the children are in these worlds playing and learning about their identity, and who they are, trying different identities. They have this puppeteer that comes, facilitated, I think I told you about it. Oh yeah. It was Beth's program."
0:03:31,0:03:35,Baird,"Okay. For all of my visits, Monday's at 9.40."
0:03:35,0:03:36,Patricia,It's really fun.
0:03:36,0:04:18,Baird,"And now we're, now we have a gnome and a fairy who are two teachers who visit the trees. And we're very interested in bringing administration in because the more we bring administration in, the more they'll fund us, right? So we invited the principal to the trees and she put on a costume. It's in a public school, but a public school that's heavily influenced by Central Park East and the coalition schools, if you know that work, so the performance-based assessment of the portfolios, and for a long time, they did focus on the arts, and that they welcomed us in after they visited"
0:04:19,0:04:25,Patricia,"And they were very sweet with us. It's a very, very progressive context, so that helps in doing that kind of work."
0:04:25,0:04:46,Baird,"Exactly, it's necessary. Now, I searched many places, so there are not that many schools that were interested in having their teachers be in costume for a good part of the year, so. And even where we are now, we only do it for the kindergarten, although in the Scandinavian countries, they do it the whole way through."
0:04:46,0:05:02,Patricia,"Yes, yes. We have a very different context here. We do work with the administration. I mean, they give us access to the school and we work with these wonderful teachers. We have three in-service teachers, Jada. Jada, fourth grade, third grade."
0:05:02,0:05:03,Jada,"At this year, third grade."
0:05:03,0:05:04,Patricia,What grade are you in?
0:05:04,0:05:04,Jada,"In the last year, fourth grade, yeah."
0:05:04,0:05:15,Patricia,"In the, yes, in the third grade classroom. In the ICT classroom, so she works with two teachers co-teaching. We have children with disabilities in the classroom, and this is her classroom."
0:05:15,0:05:17,None,So great that you put in extra time.
0:05:17,0:05:24,Baird,It's such a gift from the teachers who work all day and then put time and time in this. We're so lucky to have them.
0:05:24,0:05:27,Patricia,"Paulina, who you met before in second grade."
0:05:27,0:05:50,Paulina,"I do second ICT. I was trying to bring some joy, because I always say, I feel like the lower grades have been losing the joy so much, the bigger, and I feel like we're asking more and more of the little ones. Even their hands are not ready for what we're asking them to do, so it's like a battle that way."
0:05:50,0:06:07,Baird,"That's it. Do you know the Association for the Study of Playing? It's an international conference, I don't know if you're in Manhattan next month, but they have, you can go almost for free as a teacher, and a lot of it's about that schoolification. It's very interesting."
0:06:07,0:06:08,Paulina,Where is it?
0:06:08,0:06:11,Baird,"I think it's at VMS. If you see this here, you'll have to look it up."
0:06:11,0:06:15,Patricia,The Association for the Study of Playing. Yeah. Sounds fantastic.
0:06:15,0:06:18,Paulina,"I want it, because it's not easy to be in New York."
0:06:18,0:06:21,Baird,Your last time I've been here by was like 10 years ago.
0:06:21,0:06:46,Patricia,"We just work in very different worlds. Like I was in a meeting this morning for, I'm becoming the editor of Exception for Children, another journal. Yeah, yeah, wonderful. And the people that were meeting with us, they were like, well, someone sent us a paper on origami, and another sent us a paper on tennis table (lol), and we had to reject, because what does this have to do with learning? And I was like, well, we do origami, too. We might do origami."
0:06:46,0:06:46,Joe,Yeah.
0:06:46,0:07:02,Patricia,"Like, you know, the only value. Geography, right? The only value quantitative, basically, historically, this journal and the field of special education is quantitative reading levels, and the very instrumental knowledge. So unfortunately."
0:07:02,0:07:18,Paulina,"It's all very data-driven, which is fine. You know, you need to follow your teaching somehow. But like, you know, you can still measure other things, or you know, have other ways of communicating, you know, reading, rather than just, you know, writing a paragraph."
0:07:18,0:07:26,Patricia,"In this school, the main principal, there's one principal for everything, and then there are many assistant principals in a very large school."
0:07:26,0:07:27,Paulina,There's four APs.
0:07:27,0:07:47,Patricia,"Four APs. And the main principal is very data-driven. I mean, when you talk to him, it's, we want to take, like, oh, """"what's the data?"""" we're having so much fun in the program. This is what the children are doing, and this is what they're saying, and they are like, do you have some data? And they would take this data. Like, the conversations were very fast."
0:07:47,0:08:03,Paulina,"It's interesting, though, because he's like a big kid. Like, he's the first one to show up in his house for Pajama Day. My son, which is the lower, lower grades, like, she doesn't dress up. She will not let us dress up. Like, she will, like, is like cutting. Word, word, work. Cutting the journal."
0:08:03,0:08:20,Patricia,"Especially post-pandemic, I think things are, you know, people are in panic mode with the loss, learning, especially with the advanced humanities. And our last, next teacher, in-service teacher is Hannah. Hannah is, what do you call it?"
0:08:20,0:08:23,Hannah,"Yeah, I'm a kindergarten and ICT teacher."
0:08:23,0:09:21,Patricia,"So, also working in a classroom. The three of them are in ICT classrooms, so with children with disability. Some of the children we have here are from their classes, so they recommend the children. Then other teachers hear about the program, or children tell the other children, and they want to sign up. So we had some children that left, some children that joined. There's some fluidity. The teachers remain. From the beginning to the end. And then all the others are graduate students from Teachers College who are doing full-time teaching. Almost full-time student teaching, some of them. So they do student teaching also during the day, some of them. Like Angela, Andrea, and Cristina are doing student teaching three times and a half. Three days and a half, during the day and then. Four, really. The two of them in this school. You wanna say a little bit about yourself?"
0:09:23,0:09:39,Cristina,To those of you. Sure. I'm Cristina. Right now I'm student teaching across the hall in the fourth grade ICT classroom. I'm in my last year of the master's in bilingual education. So you took it as a graduation?
0:09:41,0:09:47,Patricia,"In a month. Yeah, and I don't know what else. You're originally, your family is?"
0:09:47,0:09:53,Cristina,"My family's Cuban, yeah. I grew up in Washington, D.C. My family's Cuban."
0:09:55,0:10:14,Andrea,"I am Andrea. I'm also student teaching here in the classroom that we were before, fourth grade. I'm also in my past, I missed the master's. So it's Cristina and Angela. I am from Ecuador. I grew up in Ecuador. And..."
0:10:16,0:10:18,Patricia,"Good. Thank you, Andrea."
0:10:18,0:10:19,Andrea,I made good lunches.
0:10:19,0:10:31,Patricia,"And they're working towards the childhood and bilingual extensions. To teach in bilingual elementary classrooms. Are you doing the middle school extension, anybody?"
0:10:31,0:10:32,Group,No. No.
0:10:32,0:10:34,Patricia,"It's busy. Too many days, yeah."
0:10:34,0:10:39,Baird,Do you know where you need to fit anything else? Do you have a doctorate?
0:10:39,0:10:40,Belén,"No, all master's."
0:10:42,0:10:57,Patricia,"Belén's in EDM. EDM. Educational master's, so kind of in between master's and a doctorate work. Manuel's applying to doctoral programs right now. Manuel is different, he comes from a different program. The psychology."
0:10:57,0:10:59,Manuel,The clinical psychology program.
0:10:59,0:11:00,Baird,"Okay, okay."
0:11:01,0:11:15,Manuel,"But yeah, I found it interesting to come in and work with the kids. And since I also want to work with Hispanic teenagers, youth, and et cetera, for my own research, then I thought it would be interesting to come and work here. And yeah, other than that, I'm from Puerto Rico."
