Start,End,Speaker,Text
0:00:00,0:00:07,SPEAKER_04,Pero estoy muy emocionada porque no he hablado mucho hoy. ¿Qué te parece? ¿Qué te parece?
0:00:07,0:00:21,SPEAKER_04,"No sé. Eso es gracioso. No, no, está bien. Sí, así que tenemos a nuestro visitante hoy aquí, Dr. Baird Hobbit. ¿Te gustaría decir algo sobre su trabajo?"
0:00:21,0:00:48,SPEAKER_06,"Estoy en la infancia, en la universidad de Brooklyn, y estoy enseñando en el centro de graduación en el programa de edad urbana. Es un programa de profesoría y he leído sobre él, así que fue muy divertido verlo. Y Patricia y yo estamos en la sala de comentarios, así que estamos interesados en ello, aunque estemos en diferentes áreas prácticas. Estoy en la infancia, pero tenemos este intercambio de teorías."
0:00:48,0:01:23,SPEAKER_04,"Gracias por venir. Sí, ambos usamos teorías culturales históricas. Baygosky y, tú sabes, los sistemas de actividades. Están muy familiares con la teoría. Algunos de ellos la usaron para el proyecto de la igualdad. Hicimos un proyecto de igualdad con estudios de investigación. ¿Cierto? Déjame pensar. No, Andrea usó fans de la identidad. Mauricio Escobar, que trabaja. Y, sí, Cristina también hizo identidad. Ángela, ¿qué usas? ¿Estás en literatura? ¿Estás estudiando literatura?"
0:01:23,0:01:34,SPEAKER_07,"No, no estudio literatura, pero me enfoco en la traducción y la literatura. Las lecciones, uso un contexto muy específico."
0:01:34,0:01:42,SPEAKER_04,"Sí, estaban leyendo el mismo libro, un día en español y otro día en inglés. Pero el mismo libro."
0:01:42,0:02:01,SPEAKER_07,"Sí, muy interesante. Ophelia García. Sí, Ophelia García. Hice un montón de... hay un artículo que hicieron en el último curso, pero lo hicieron en lenguaje de traducción como una estrategia de la lección. Entonces, se refiere a mucho de eso."
0:02:01,0:02:13,SPEAKER_04,"Sí. Así que, tú sabes, Beth ha hecho mucho trabajo en teoría cultural y histórica. Y su trabajo se centra en el juego, diría yo."
0:02:13,0:03:05,SPEAKER_06,"Es todo en el juego. Y el desarrollo de la identidad a través del juego. Un concepto llamado Perja Vaya, que trata de las formas en que se desarrolla tu identidad en esos momentos cuando te metes en muy difíciles transiciones en tu vida. Pero estudiándolo con los hijos de los profesores, los co-researchers, la idea del juego es que si me pongo en el costumbre y entro en el juego, y mis estudiantes y los profesores entran en el costumbre, entonces podemos comunicarnos con los niños para estudiar muchas cosas diferentes. Y entonces los niños nos pueden dar ideas. Es realmente una investigación participativa y diseñadora, así que los niños nos están proponiendo formas de que podamos estudiar mejor cosas complicadas como el desarrollo de la identidad."
0:03:05,0:03:30,SPEAKER_04,"Muchos niños muy jóvenes, es la infancia. Es hermoso ver, visité su programa en Brooklyn. Es Playworld, así que los niños están en este mundo de juego, aprendiendo sobre su identidad, y están intentando diferentes identidades. Tienen a este papeteer que viene facilitado. Creo que te lo dije."
0:03:30,0:04:20,SPEAKER_06,"Fue el mejor programa. Estamos todos visitando. Es la noche de las 9.40. Y ahora tenemos a un gato y una feria, que son dos profesores que visitan las árboles. Y estamos muy interesados en traer administración, porque cuanto más traemos administración, más nos van a apoyar, ¿verdad? Así que invitamos al profesor a las árboles para que le ponga un costumbre. Está en una escuela pública, pero una escuela pública que está bien influida por Central Park East y las escuelas de la coalición, que trabajan en el asesoramiento basado en las actuaciones y en los portfolios. Y durante mucho tiempo, se han enfocado en la arte, y les han acogido, así que les presentamos a los niños."
0:04:20,0:04:26,SPEAKER_04,"Es un contexto muy progresista, así que eso ayuda en hacer ese tipo de trabajo."
0:04:26,0:04:46,SPEAKER_06,"No, yo he buscado muchos lugares. No hay tantas escuelas que estén interesadas en tener a sus profesores en costumbre durante un buen parte del año. Y incluso donde estamos ahora, solo lo hacemos en el kindergarten. Aunque en los países escandinavos lo hacen todo el tiempo."
0:04:46,0:05:16,SPEAKER_04,"Sí, sí. Tenemos un contexto muy diferente aquí. Trabajamos con la administración. Tenemos acceso a la escuela, y trabajamos con estos maravillosos profesores. Tenemos tres profesores de servicio, Jada. Jada, cuarta o tercera edad. ¿Cuál edad tienes? Tengo la tercera edad. En el clasro de ICT. Ella trabaja con dos profesores de colectivo. Tienen hijos con discapacidad en el clasro. Y este es su clasro."
0:05:16,0:05:24,SPEAKER_06,Es genial que le pusieron un extra 5. Es un regalo de los profesores que trabajan allí. Estamos muy felices de tenerlos.
0:05:24,0:05:27,SPEAKER_04,"Paulina, que conociste antes en el segundo clasro."
0:05:27,0:05:48,SPEAKER_02,"Hago la segunda edad de ICT. Estoy tratando de brindar algo de alegría. Porque siempre digo que los clasros más bajos han perdido la alegría tanto, la rigidez. Me siento que estamos pidiendo más y más de los pequeños. Incluso sus manos no están listas para lo que les estamos pidiendo."
0:05:49,0:06:12,SPEAKER_06,¿Sabe la Asociación para el Estudio de Juego? Es una conferencia internacional. Estará en Manhattan el próximo mes. Puede ir casi gratis como profesora. Y mucho de eso es sobre la escolarización. ¿Dónde está? Creo que está en BMCC. Tienes que mirarlo.
