Start,End,Speaker,Text
0:00:00,0:00:05,Belén,So it's now like at the beginning that we have to trace it?
0:00:06,0:00:21,Patricia,"I think one adult coming up, like if you were only you, Joe, coming up by yourself and moving quietly around the room, I think we'd be fine. Sure. I mean, we could pass her. Or ask her, you know, do you mind if I come in? I have to take a question."
0:00:21,0:00:36,Cristina,"That was the thought process of sending an adult up here was to just make sure that like the classroom is ready so that we don't, and so that someone has eyes on it before we come in. So then before we leave, we can make sure it's the same. So like I don't wanna."
0:00:36,0:01:19,Patricia,"But today, there were children. Yeah, yeah, yeah. She even said that, I'm not sure what that woman was at the end, I think that she felt that Israel also should call them. That Papa, Miss Papa, you call her? Papa D. Papa D. Papa D. She has a very long last name, Papa D. Or Maria. Miss Papa D. That she told her that Israel had permission to come up earlier. But she said that she, I think she should, I'm gonna talk to her because she should still go downstairs. I'm gonna tell the para. And I said, well, I can talk to the para. I didn't want to, you know, make this a big."
0:01:21,0:01:25,Cristina,"Because we were only going here, it was also Jeremy and who else was here?"
0:01:25,0:01:27,Joe,"Isabel and Israel, yeah."
0:01:28,0:01:38,Jada,"Because we were all in the same class. So, I have to go down, Papa D. told me to go downstairs. So I went downstairs to go to the cafeteria because she was like, Jada, make sure you go down. So, okay."
0:01:38,0:01:40,SPEAKER_01,So I go down. For the program?
0:01:40,0:01:56,Jada,"Yeah, but I guess that was when we first started. She was just like, help out with whatever, transition or whatever. Yeah, she's always there helping us. So that's why I go down. Because she was like, go down. So on Tuesdays, I don't dismiss my kids with my coach until she does it. And I just go straight to the cafeteria."
0:01:57,0:01:58,Patricia,"Yes, yes. I went to make sure we."
0:01:58,0:02:18,Cristina,"Which is also a logistical thing to keep in mind. Like, I feel like sometimes I'm gonna be late, I'm late to the gym to get kids because I'm coming from there. You know, like just. From the ambulance? No, from that, like, because I'm coming from here. So just like something in case, you know."
0:02:18,0:02:21,Patricia,"I mean, Israel sometimes goes downstairs to get food."
0:02:21,0:02:25,Belén,"He went downstairs later. Yes. No, but I mean today."
0:02:25,0:03:16,Jada,"It's a transition because. They switch off. The one that's with him for the program is not the same one during the day. Oh no, it's not the same one. So I think they worked out an agreement that she will wait here until she comes. Because she usually brings Israel down at 3.15 because the door over there opens at 3.15, five minutes before dismissal. And so maybe if there's like, if it's difficult to have them in the classroom, I can ask the daytime power. That she can bring him down at maybe at 3.20 or 3.18 into the cafeteria so that Miss K, I believe the other power, can pick him up from there. As opposed to waiting here. We can do that as well. But I think it was just, they just thought that it would be much simpler to meet in the classroom."
0:03:16,0:03:17,Cristina,Whatever works best for Miss Harper as well.
0:03:17,0:03:45,Patricia,"Yeah, it doesn't meet the needs of your co-teacher and I want to make sure that, you know, that we don't ruin your relationship with your co-teacher. And it's not asking too much, I think. I mean, yeah, it's easier to just stick around. But you know, it's a negotiation always. This is not a space. So you know, also making sure when we come in that if she's here, we say hello and we kind of say, can we come in? Or don't get too noisy if she's still here."
0:03:46,0:03:49,None,"She lives here because then she has to go to meetings,"
0:03:49,0:04:08,Patricia,"She said, on Mondays and Tuesdays. Not a big deal, just, you know, she was just suggesting meetings and you know, asking politely, would it be okay to have those five minutes after school? So she comes back at 3.25. Yes, and she's doing this meet-up by herself. So maybe that load."
0:04:08,0:04:15,Jada,"Sometimes later than 3.25, she has to go across the street. So it could be like 3.28-ish as well, yeah."
0:04:16,0:04:36,Patricia,"Yeah, that's about the logistics. Otherwise, good. Children were respectful with the space. And in the other class, Manuel, you took a photograph of Robin's class. Yeah. And everything is like that. Yeah, everything is already organized. Yeah, we didn't know a lot of the stuff."
0:04:36,0:04:37,Belén,Did you check the whiteboard?
0:04:37,0:05:02,Patricia,"Yeah, I checked the whiteboard, yeah. Because that's been the thing. Jeremy here wanted to write on the board. I think she was a whiteboard marker. Jeremy, we haven't seen him since the break. He's been sick a lot. He's sick or something. I think he was here this morning. Maybe on Wednesday, yeah, but I wasn't here on Wednesday. Okay, so he was here on Wednesday, great."
0:05:03,0:05:05,Joe,I thought I saw him the week before.
0:05:05,0:05:07,SPEAKER_08,"Yeah, and I saw him the first week too."
0:05:07,0:05:11,Patricia,"On Wednesday too. Yeah. Yeah, probably. I hadn't seen him myself."
0:05:11,0:05:15,Joe,"He left my station today. Yeah, he came to us."
0:05:15,0:05:18,SPEAKER_08,"He came to us. He's like, my musica?"
0:05:18,0:05:20,Patricia,"Oh, he was looking for the movement."
0:05:20,0:05:22,None,My musica. My musica. I think I remember.
0:05:22,0:05:27,Joe,Your team seemed very different. When he left.
0:05:27,0:05:28,Belén,My team?
0:05:28,0:05:31,Patricia,"He asked for, he wanted to go to the toilet, to get water. To get water."
0:05:31,0:05:37,SPEAKER_08,"No movement. So, then when he returned. No movement and acting. He met Patricia and he went to her."
