Start,End,Speaker,Text
0:00:00,0:00:05,Belén,So it's now like at the beginning that we have to trace it?
0:00:06,0:00:09,Patricia,"I think one adult coming up, like if you were only you,"
0:00:09,0:00:12,Patricia,"Joe, coming up by yourself and moving quietly"
0:00:12,0:00:14,Patricia,"around the room, I think we'd be fine."
0:00:14,0:00:15,Patricia,Sure.
0:00:15,0:00:17,Patricia,"I mean, we could pass her."
0:00:17,0:00:19,Patricia,"Or ask her, you know, do you mind if I come in?"
0:00:19,0:00:21,Patricia,I have to take a question.
0:00:21,0:00:24,Cristina,That was the thought process of sending an adult up here
0:00:24,0:00:27,Cristina,was to just make sure that like the classroom is ready
0:00:27,0:00:29,Cristina,"so that we don't, and so that someone has eyes on it"
0:00:30,0:00:31,Cristina,before we come in.
0:00:31,0:00:34,Cristina,"So then before we leave, we can make sure it's the same."
0:00:34,0:00:36,Cristina,So like I don't wanna.
0:00:36,0:00:38,Patricia,"But today, there were children."
0:00:38,0:00:40,Patricia,"Yeah, yeah, yeah."
0:00:40,0:00:44,Patricia,"She even said that, I'm not sure what that woman was"
0:00:44,0:00:47,Patricia,"at the end, I think that she felt that Israel"
0:00:47,0:00:48,Patricia,also should call them.
0:00:48,0:00:52,Patricia,"That Papa, Miss Papa, you call her?"
0:00:52,0:00:53,Patricia,Papa D.
0:00:53,0:00:54,Patricia,Papa D.
0:00:54,0:00:55,Patricia,Papa D.
0:00:55,0:00:57,Patricia,"She has a very long last name, Papa D."
0:00:57,0:00:59,Patricia,Or Maria.
0:01:00,0:01:02,Patricia,Miss Papa D.
0:01:02,0:01:06,Patricia,That she told her that Israel had permission
0:01:06,0:01:08,Patricia,to come up earlier.
0:01:08,0:01:10,Patricia,"But she said that she, I think she should,"
0:01:10,0:01:13,Patricia,I'm gonna talk to her because she should still go downstairs.
0:01:13,0:01:14,Patricia,I'm gonna tell the para.
0:01:14,0:01:16,Patricia,"And I said, well, I can talk to the para."
0:01:16,0:01:19,Patricia,"I didn't want to, you know, make this a big."
0:01:21,0:01:22,Cristina,"Because we were only going here,"
0:01:22,0:01:25,Cristina,it was also Jeremy and who else was here?
0:01:25,0:01:27,Joe,"Isabel and Israel, yeah."
0:01:28,0:01:29,Jada,Because we were all in the same class.
0:01:29,0:01:33,Jada,"So, I have to go down, Papa D. told me to go downstairs."
0:01:33,0:01:35,Jada,So I went downstairs to go to the cafeteria
0:01:35,0:01:37,Jada,"because she was like, Jada, make sure you go down."
0:01:37,0:01:38,Jada,"So, okay."
0:01:38,0:01:39,SPEAKER_01,So I go down.
0:01:39,0:01:40,SPEAKER_01,For the program?
