Start,End,Speaker,Text
0:00:00,0:00:05,Joe,to our chat. It's called Stop Motion.
0:00:05,0:00:06,Patricia,Okay.
0:00:06,0:00:08,Patricia,?Y es gratis? ?Trabajamos de...?
0:00:08,0:00:09,Joe,"Sí, es gratis."
0:00:09,0:00:10,Patricia,Okay.
0:00:10,0:00:14,Joe,Y entonces empezamos con new movie.
0:00:14,0:00:18,Joe,No sé si quieres ver qué hay.
0:00:18,0:00:26,Joe,"So, entonces, I put this piece of tape here just to make sure it's always in the same place."
0:00:26,0:00:27,Patricia,Okay.
0:00:27,0:00:28,Joe,And then...
0:00:28,0:00:31,Patricia,"Okay, it's the App Store, solo. Yo no tengo iPhone"
0:00:31,0:00:33,Joe,"Oh, solo?"
0:00:33,0:00:35,Joe,Solo App Store?
0:00:35,0:00:36,Patricia,App Store.
0:00:36,0:00:41,Joe,"Sí, it probably sent the link to the App Store, but you might be able to find it for your..."
0:00:41,0:00:44,Joe,"Like, the store for Android."
0:00:44,0:00:46,Patricia,Lo siento.
0:00:46,0:00:53,Joe,"Entonces, we start by hitting the camera button, get into here."
0:00:53,0:00:55,Joe,"So, that just takes one photo."
0:00:55,0:01:00,Joe,"And then, you can adjust this here on this side."
0:01:00,0:01:05,Joe,This adjusts how many of the previous frames it's showing.
0:01:05,0:01:10,Joe,"So, like, I forget who today was saying, like, was describing the way we make animations"
0:01:10,0:01:14,Joe,"and was saying, like, yeah, and you have to, like, go based off of the ghost."
0:01:14,0:01:18,Joe,"Yeah, they said something about, like, the pictures per second."
0:01:18,0:01:19,Joe,Yeah.
0:01:19,0:01:25,Joe,"So, if you see now, when I twist it, it's got the frame, the previous frame and what it's currently saying."
0:01:25,0:01:27,Group,"Oh, wow."
0:01:27,0:01:31,Joe,"Yeah, so that's, like, the most complicated part about using this app."
0:01:31,0:01:34,Cristina,"Okay, so that, wait, so that, what does that adjust then again?"
0:01:34,0:01:35,Joe,This adjusts how many...
0:01:35,0:01:37,Cristina,How many frames it'll show.
0:01:37,0:01:39,Joe,"Yeah, so it could show, we only have one before it, so it doesn't matter."
0:01:39,0:01:40,Joe,"But it could show, like..."
0:01:40,0:01:41,Joe,"It could show, like, five."
0:01:41,0:01:42,Joe,Okay.
0:01:42,0:01:45,Joe,"Yeah, so that you know, like, how fast something's moving."
0:01:45,0:01:48,Patricia,Stop Motion Studio is Stop Motion Studio Pro.
0:01:48,0:01:49,Belen,"Yes, yes, yes."
0:01:49,0:01:50,Cristina,No way.
0:01:50,0:01:52,Joe,And I'm moving that.
0:01:52,0:01:56,Joe,"And then I can tell, I'm moving it one ball's distance each time."
0:01:56,0:01:57,Cristina,Right.
0:01:57,0:01:58,Cristina,"Oh, no."
0:01:58,0:02:00,Cristina,Angela.
0:02:00,0:02:04,Joe,"Okay, this is a perfect example of how to delete a photo."
0:02:04,0:02:14,Joe,"You go, so, yeah, you just go, you go out here, you hit the arrow, and you go back, you just select the frame and delete."
0:02:14,0:02:18,Patricia,"Yeah, so if this is moved, you need to delete it because it's not going to work."
0:02:18,0:02:23,Joe,"Yeah, and oftentimes the kids will, like, have their hands in and they'll press the photo at the same time."
0:02:23,0:02:26,Joe,"And you'll be like, oh, do you want your hand in there?"
0:02:26,0:02:30,Joe,"So, and then, you know, it's going to bounce."
0:02:30,0:02:31,Patricia,That's helpful.
