Audio File : whispy\mar_21\032123_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 14:58:23          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:00:04.716 -->  00:00:09.711] BR SPEAKER_03
[ 00:00:06.876 -->  00:00:10.234] EI SPEAKER_04
[ 00:00:10.859 -->  00:00:13.491] EJ SPEAKER_04
[ 00:00:16.782 -->  00:00:24.966] A SPEAKER_00
[ 00:00:20.764 -->  00:00:21.574] ID SPEAKER_05
[ 00:00:20.950 -->  00:00:21.000] AH SPEAKER_01
[ 00:00:27.447 -->  00:00:27.464] AW SPEAKER_02
[ 00:00:32.459 -->  00:00:32.492] EK SPEAKER_04
[ 00:00:33.960 -->  00:00:34.872] EL SPEAKER_04
[ 00:00:34.872 -->  00:00:39.597] AX SPEAKER_02
[ 00:00:38.787 -->  00:00:51.477] EM SPEAKER_04
[ 00:00:41.672 -->  00:00:41.942] AY SPEAKER_02
[ 00:00:41.942 -->  00:00:43.765] IE SPEAKER_05
[ 00:00:45.992 -->  00:00:46.988] IF SPEAKER_05
[ 00:00:52.979 -->  00:00:57.872] EN SPEAKER_04
[ 00:01:01.264 -->  00:01:26.391] EO SPEAKER_04
[ 00:01:06.749 -->  00:01:07.187] IG SPEAKER_05
[ 00:01:10.410 -->  00:01:10.832] IH SPEAKER_05
[ 00:01:24.484 -->  00:01:31.504] BS SPEAKER_03
[ 00:01:28.905 -->  00:01:36.195] EP SPEAKER_04
[ 00:01:31.504 -->  00:01:35.841] II SPEAKER_05
[ 00:01:33.951 -->  00:01:34.019] AI SPEAKER_01
[ 00:01:36.584 -->  00:01:37.495] AJ SPEAKER_01
[ 00:01:37.495 -->  00:01:39.284] EQ SPEAKER_04
[ 00:01:40.043 -->  00:01:48.329] ER SPEAKER_04
[ 00:01:48.919 -->  00:02:08.781] ES SPEAKER_04
[ 00:01:55.754 -->  00:01:56.007] B SPEAKER_00
[ 00:01:56.007 -->  00:01:59.365] BT SPEAKER_03
[ 00:02:00.934 -->  00:02:02.065] BU SPEAKER_03
[ 00:02:04.394 -->  00:02:05.895] BV SPEAKER_03
[ 00:02:05.423 -->  00:02:05.693] IJ SPEAKER_05
[ 00:02:09.591 -->  00:02:10.469] ET SPEAKER_04
[ 00:02:11.616 -->  00:02:14.755] EU SPEAKER_04
[ 00:02:16.307 -->  00:02:16.695] EV SPEAKER_04
[ 00:02:16.695 -->  00:02:20.459] BW SPEAKER_03
[ 00:02:19.429 -->  00:02:25.015] EW SPEAKER_04
[ 00:02:25.960 -->  00:02:31.259] EX SPEAKER_04
