Start,End,Speaker,Text
0:00:00,0:00:08,SPEAKER_03,"¿Cuántos niños son? 22. ¿23, no? ¿Nos dará tiempo?"
0:00:08,0:00:14,SPEAKER_04,"Sí, yo espero que si salen dos grupos, se quedan dos grupos, para hacerlo un grupito bien pequeño."
0:00:16,0:00:25,SPEAKER_00,"Hay que ver también el clima, porque está abriendo y aparentemente el martes va a llover, supuestamente."
0:00:26,0:00:32,SPEAKER_02,"Pero el miércoles no, pero en cualquier caso podemos cambiarlo para el miércoles."
0:00:32,0:00:34,SPEAKER_04,"Sí, si hubiera..."
0:00:34,0:00:38,SPEAKER_02,"Y si llueve, pues entonces se puede hacer la actividad aquí."
0:00:38,0:01:26,SPEAKER_04,"En mi teléfono dice 98% de que llueva el miércoles. Pero se va corriendo, yo no tomaría... no sé de qué estamos hablando, pero... sí, se puede mover. Yo lo esperaría todavía, porque a veces se va... sí, queda una semana. Se puede cambiar. Sí, puede cambiar todavía. ¿Qué aprendimos de la comunidad? Dylan habló de un campo de béisbol, que va casi todos los días allá. Va a su casa, se cambia de ropa y se pone su uniforme profesional y se va al campo de béisbol. Y lo dibujó. Y luego dibujó la entrada del tren, ¿le llaman? El metro. Me llaman metro. El subway. A mí me encanta la entrada, 181. Me encanta, porque hay mucha vida alrededor de la entrada."
0:01:26,0:01:29,SPEAKER_03,Sofía hizo el tren adentro y hizo una rata.
0:01:31,0:01:57,SPEAKER_04,"Muy cultural. ¿Qué otras cosas aparecieron? Tenemos a los dos... en nuestro grupo, sí, estábamos con Marín, Novani y Jordani, que al principio... jordani y Marín siempre hablan mucho y tienen sus opiniones, y Jeremy estaba corriendo, saliendo del... estaba cansado, entonces."
0:01:57,0:01:58,SPEAKER_03,"Sí, sí."
0:01:58,0:02:19,SPEAKER_04,"Se paró un poquito con nosotros. Dijo que quería estar allá. Sí. Pero allí bailaban una a la otra. Le dije, ok, go, but you have to stay there. Y bueno... y bueno, empezaron a ver, a pensar un poco, y después Marín..."
0:02:19,0:02:20,SPEAKER_03,Tardó un poquito.
0:02:20,0:02:30,SPEAKER_04,"Sí, quitó. Ella empezó como, mi papá trabaja, no me acuerdo del nombre del restaurante, decía. Seafood Junior, sí, que él trabaja."
0:02:30,0:02:34,SPEAKER_03,Hablaron de sus padres y dónde trabajan y todo eso.
0:02:34,0:03:25,SPEAKER_04,"Y Marín quiso buscar como Google Maps, que ella conoce, y sabe que puede buscar el sitio y la dirección. Y creo que pidió a Paulina, ¿no? Y vino acá y me dijo, ¿tienes Google Maps? Y yo, sí, a ver, a ver. Me dijo, no, no, andate al McDonald's. Que no me hace más sentido, pero es la esquina que conozco. Y yo dije, el McDonald's está tapado, porque veo los negocios. Me dijo, no, no, no, camina para adelante. Y como se exasperó, porque yo estaba así como, ¿qué, qué? Avanzó hasta Broadway, giró y siguió avanzando. Y dijo, aquí, dio vuelta la cámara y se veía el local. Y dijo, ahí, ahí, ahí, ese es el local de mi papá. Pero es mejor. No es mejor o peor, pero..."
0:03:25,0:03:26,SPEAKER_03,Porque mañana...
0:03:27,0:03:59,SPEAKER_04,"Sí, planificamos, bueno, cuando hablamos, unas dos semanas, habíamos hablado que hoy veríamos los lugares que conocen, ya conocen. Y después mañana buscamos, porque yo tengo un mapa gigante de Google Maps, pero no encuentro esa impresora. Imprímenelo en un sitio. En un sitio. Y le das el recibo. Solo no cabe tiempo, sí. Pero si te da tiempo, mañana. Entre hoy y mañana. ¿Qué cosa necesitas?"
0:03:59,0:04:00,SPEAKER_03,Yo tengo reunión a las nueve.
0:04:00,0:04:06,SPEAKER_04,"¿Color printing? Pero... ¿Podemos imprimir aquí? ¿Tú tienes un color printing acá? Sí, es mucho."
0:04:06,0:04:11,SPEAKER_03,"Pero es grande. Son nueve páginas. Está bien. ¿Sí, está bien? Sí."
0:04:11,0:04:40,SPEAKER_04,"Ok, ya tengo el archivo y todo. Te envío. Y ahí lo ponemos para que podamos... es que en la oficina se nos... ashley se compró una nueva computadora y no la han enchufado. No funciona cuando la impresora no va a... y lo quería hacerlo en Castlebridge, pero... número uno, no tuve tiempo, y número dos, creo que la impresora no estaba funcionando. Pero lo quieres luego pegar todo. Sí, pegar todo porque son por tres, por tres. Y si quieres ir al sitio profesional que te lo... ¿Cómo se llama? Edexo. ¿Cómo se llama?"
0:04:40,0:04:41,SPEAKER_03,Staple.
0:04:41,0:04:42,SPEAKER_04,"Sí, Staple."
0:04:42,0:04:45,SPEAKER_03,"Ah, sí, sí, sí. No va a costar una fortuna, pero bueno."
0:04:45,0:04:50,SPEAKER_04,"Sí, puedo intentar. No, pero si podemos pegar... de partidos al rincon. Sí, va a ser más barato y más fácil."
0:04:51,0:04:57,SPEAKER_03,"Es que podemos preguntar en TC, abajo, hay un lugar que imprime. Sí, en Business Center."
0:04:57,0:05:12,SPEAKER_04,"Sí. Bien caro, pero para una excepción. Ah, ¿dónde se envía... business Center, en el Departamento. ...pastel y todo. Sí, ahí. Sí, ahí dice. No sé si hay idea, cuánto puede... si tú tienes tiempo, verifica, no sé. Si me lo manda y puedo..."
0:05:12,0:05:14,SPEAKER_03,Estaré en la escuela el día entero.
0:05:14,0:05:33,SPEAKER_04,"Pues yo siento que si ya van a hacer esa inversión, sería bueno laminarlo. Laminator. Así pueden dibujar y pintar. No solo eso, pero si no es algo como que es recurrente. Ah, sí. Si lo quieren usar, siguen usando. Ahí mismo a lo mejor se lo pueden laminar. Si merece la pena laminarlo. Sí, podemos ponerlo en la pantalla."
0:05:33,0:05:36,SPEAKER_03,"Sí, está bien el resumen. Es que me lo manda el pregunto."
0:05:36,0:05:39,SPEAKER_04,"Sí. Bueno, porque si no se proyecta en la pantalla."
0:05:39,0:05:41,SPEAKER_03,Cuánto se demora también. Eso sí lo van a tener que ver.
