Audio File : whispy\mar_28\032823_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 05:58:15          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:00:03.636 -->  00:00:06.117] LN SPEAKER_06
[ 00:00:07.163 -->  00:00:09.745] LO SPEAKER_06
[ 00:00:11.584 -->  00:00:13.440] LP SPEAKER_06
[ 00:00:13.440 -->  00:00:13.947] OJ SPEAKER_07
[ 00:00:16.461 -->  00:00:19.752] ABP SPEAKER_10
[ 00:00:21.169 -->  00:00:21.574] ABQ SPEAKER_10
[ 00:00:21.861 -->  00:00:22.283] A SPEAKER_00
[ 00:00:24.274 -->  00:00:28.442] ABR SPEAKER_10
[ 00:00:26.772 -->  00:00:31.362] LQ SPEAKER_06
[ 00:00:28.442 -->  00:00:28.780] OK SPEAKER_07
[ 00:00:32.256 -->  00:00:34.484] OL SPEAKER_07
[ 00:00:32.290 -->  00:00:32.442] LR SPEAKER_06
[ 00:00:38.449 -->  00:00:40.947] GN SPEAKER_03
[ 00:00:39.546 -->  00:00:42.499] JE SPEAKER_05
[ 00:00:42.499 -->  00:00:44.541] OM SPEAKER_07
[ 00:00:46.347 -->  00:00:50.515] ON SPEAKER_07
[ 00:00:46.532 -->  00:00:47.595] LS SPEAKER_06
[ 00:00:49.148 -->  00:00:55.442] JF SPEAKER_05
[ 00:00:52.827 -->  00:00:54.059] OO SPEAKER_07
[ 00:00:54.835 -->  00:00:57.720] OP SPEAKER_07
[ 00:00:55.409 -->  00:00:55.797] ABS SPEAKER_10
[ 00:00:57.062 -->  00:00:57.450] LT SPEAKER_06
[ 00:00:58.429 -->  00:00:59.054] JG SPEAKER_05
[ 00:00:59.644 -->  00:01:04.251] JH SPEAKER_05
[ 00:01:02.699 -->  00:01:04.521] OQ SPEAKER_07
[ 00:01:05.432 -->  00:01:16.435] OR SPEAKER_07
[ 00:01:08.065 -->  00:01:08.335] VC SPEAKER_09
[ 00:01:10.039 -->  00:01:11.406] VD SPEAKER_09
[ 00:01:12.486 -->  00:01:14.005] B SPEAKER_00
[ 00:01:14.005 -->  00:01:14.376] JI SPEAKER_05
[ 00:01:16.435 -->  00:01:27.893] JJ SPEAKER_05
[ 00:01:19.540 -->  00:01:20.198] LU SPEAKER_06
[ 00:01:22.560 -->  00:01:23.944] SU SPEAKER_08
[ 00:01:28.602 -->  00:01:40.026] JK SPEAKER_05
[ 00:01:31.352 -->  00:01:33.765] LV SPEAKER_06
[ 00:01:37.174 -->  00:01:37.495] HL SPEAKER_04
[ 00:01:37.495 -->  00:01:42.794] VE SPEAKER_09
[ 00:01:41.629 -->  00:01:56.209] JL SPEAKER_05
[ 00:01:43.924 -->  00:01:44.329] HM SPEAKER_04
[ 00:01:44.329 -->  00:01:47.114] ABT SPEAKER_10
[ 00:01:50.438 -->  00:01:52.328] LW SPEAKER_06
[ 00:01:55.889 -->  00:02:27.529] OS SPEAKER_07
[ 00:01:55.939 -->  00:01:56.496] HN SPEAKER_04
[ 00:01:56.496 -->  00:01:59.095] LX SPEAKER_06
[ 00:02:00.293 -->  00:02:00.445] LY SPEAKER_06
[ 00:02:00.445 -->  00:02:03.027] ABU SPEAKER_10
[ 00:02:03.027 -->  00:02:04.292] LZ SPEAKER_06
[ 00:02:05.372 -->  00:02:05.963] MA SPEAKER_06
[ 00:02:17.404 -->  00:02:17.944] AFB SPEAKER_11
[ 00:02:17.944 -->  00:02:19.446] C SPEAKER_00
[ 00:02:21.420 -->  00:02:21.623] MB SPEAKER_06
