Start,End,Speaker,Text
0:00:00,0:00:14,SPEAKER_06,"Esta es de oro es hermoso, esta muy buena mira a Jaden intentando no, dile con la mano arriba"
0:00:14,0:00:22,SPEAKER_10,"No, con la mano no, con la mano con la mano con la mano"
0:00:22,0:00:24,SPEAKER_00,Con la mano
0:00:24,0:00:28,SPEAKER_10,Con la mano con la mano
0:00:28,0:00:32,SPEAKER_06,"Con la mano arriba no, con la mano"
0:00:34,0:00:36,SPEAKER_07,Que lo como con papas
0:00:40,0:00:42,SPEAKER_05,Nathan decía yo voy cada semana
0:00:42,0:00:50,SPEAKER_07,"Chingfileh es mas caro que yo mira y de ahí quería ir a Mc Donalds y dije no, muy lejos"
0:00:50,0:01:04,SPEAKER_05,Jaden quería cruzar el puente y ahora vamos a cruzar el puente a la casa de mi abuelita que? Ahí era cuando la señora si había gente mirando
0:01:06,0:01:16,SPEAKER_07,"Había que cruzar la calle esta era Pablina andrea y Agostina también de repente yo no había, me di cuenta pero todo ahí también la ropa, también han comprado ropa"
0:01:16,0:01:38,SPEAKER_05,Ahí y Nathan decía esos son los zapatos de gallo ah es verdad? Yo pensé si quería decir gallo que quería decir con gallo nunca has visto un gallo? Un gallo o el animal un gusto así cuando te pones esos zapatos pareces gallo
0:01:40,0:01:42,SPEAKER_09,Hay unos que tienen algo verdad?
0:01:42,0:01:56,SPEAKER_05,"No, no, el celular eso, la cola como open toad si eso de ahí a cual? Ante"
0:01:56,0:02:36,SPEAKER_07,"Ah, esos son los zapatos de gallo digo, como se llama? Los wedges quien conoce UPS? Y Lizbeth dijo, mi mamá viene todo el tiempo y ahora me acabo de dar cuenta, su mamá tiene un negocio tiene como hace como, tiene un cricket de esas máquinas y hace como invitaciones y cosas las mamás de? Lizbeth entonces seguro ella tiene un Etsy store o un algo store, entonces me imagino que tiene que mandar cosas entonces ahora, mi mamá pasa todo el tiempo y eso es no les saque foto con Rosy bueno eso es por mi lado"
0:02:38,0:03:12,SPEAKER_09,"Los chiquitos interesante eso de que la gente como sin prisa, cuando era para los niños se paraban ahí el señor este que estaban obstruyendo para que él entrara a su casa y él allí esperando tan tranquilo no, déjale que tome la foto y espere que se la saco yo ahora digo, no, si la cosa es sacar los espacios no a nosotros y luego, le estábamos sacando una foto a alguien y dice, espere, espérenme a mi como de broma como muy es raro, no? en Nueva York como siempre vamos de prisa corriendo"
0:03:12,0:03:16,SPEAKER_01,"Pero con los niños aquí, como que los valoran"
0:03:16,0:03:22,SPEAKER_04,De una manera especial esa gente tenía el libro de Lola el libro de Lola
0:03:22,0:03:24,SPEAKER_09,El libro de Lola
0:03:24,0:03:54,SPEAKER_04,"Que leímos al principio no lo leímos en esta pero Cristina hizo para hacer el conversación si hablamos de las imágenes puso la imagen, dijo que ven para hablar de la imagen y yo creo que fue Naomi que dijo y tú preguntaste, que ves? Y dijo gente bailando disfrutando de sus vidas dijo eso? Y me recuerda a esto las imágenes con música"
0:03:54,0:04:00,SPEAKER_07,Es esto es esto la mamá de Isabel
0:04:00,0:04:04,SPEAKER_05,Que llegó tarde y que nos cruzamos
0:04:04,0:04:06,SPEAKER_01,Cuando fue a la iglesia
0:04:06,0:04:10,SPEAKER_05,Como que no la vi nunca pues si fue
0:04:10,0:04:12,SPEAKER_07,La encontramos dismisa
0:04:12,0:04:14,SPEAKER_06,Aquí abajo
0:04:14,0:04:26,SPEAKER_05,Yo estaba llamándole a Angela para ver donde estaban porque ella quería encontrarle a alguien perfecto porque salimos tarde y ahí le dije que estaban saliendo y para encontrarles
0:04:28,0:04:32,SPEAKER_08,Ella es tan amable ella es tan dulce
0:04:32,0:04:38,SPEAKER_09,"Estaba contándonos los niños, nos falta uno y yo pero no, no faltaba"
0:04:38,0:04:52,SPEAKER_05,"Y ella estaba como se sentía súper mal porque dijo yo le ofrecí venir y había mucho tráfico y le dije que iba a estar a las 4 y son las 4 y cuarto por eso le dije espérese, ya, ya, ya, mucho"
0:04:52,0:05:06,SPEAKER_09,"La otra vez yo no contacté con la mamá de Isabel por algo creo que dejé el mensaje y no había nadie y entonces Isabel me dijo ay, puedes llamarla ahora el mismo momento que llegaban los padres, ya no iba a dar tiempo y dice, puede venir para el paseo"
0:05:06,0:05:10,SPEAKER_11,Y lo hizo esto fue todo
0:05:10,0:05:16,SPEAKER_09,"Y lo hizo Isabel convenciendo a todo el mundo que su mamá viniera preguntándonos a nosotros, preguntándole a su mamá"
0:05:16,0:05:20,SPEAKER_07,"La gente, la niña hablando de agency"
0:05:20,0:06:04,SPEAKER_09,"Pues, sí, la mamá del camino todo el tiempo que le hablara en español y por qué estáis hablando en inglés si nosotros siempre hablamos en español en casa que los abuelos no hablan inglés que en casa siempre español pero ella en el paseo todo el tiempo volvía al inglés la niña, es el espacio social y la mamá quería que lo dijera bien luego van a la escuela ¿cómo van a la escuela? Las maestras y los niños sí, vamos a la escuela mucho enfases en el español y guiándola, cosas fotografías letreros están en español yo a mi preguntar eso"
0:06:04,0:06:06,SPEAKER_07,Eso no preguntamos
0:06:06,0:06:20,SPEAKER_05,Pero nosotros nos basamos en la comida loca viviendo la vida loca es que ellos decían toda la comida que conocen de todos los lugares un tour culinario de la cuadra
0:06:24,0:06:38,SPEAKER_09,Pasamos también nosotros por un sitio que estaba al aire libre y estaban vendiendo unos zapatillos como unos cuencos abiertos como estas que se ponen para el agua ¿qué son? Crocs
0:06:38,0:06:48,SPEAKER_07,Pero no son crocs pero les encantaba esto parecen como extraterrestres unas que son como así son como rarísimos
0:06:48,0:06:50,SPEAKER_09,Son carísimos
0:06:50,0:07:06,SPEAKER_07,Son de plástico son hechas por el diseño de un músico un rapero que tiene una línea de ropa y todo la original es de costar una fortuna pero esa
0:07:06,0:07:10,SPEAKER_11,Nuestro profesional tiene un par la primera es que llevo fútbol
0:07:10,0:07:18,SPEAKER_09,¿y vienes con ellos a la escuela? Pero vas descalzo metido en eso un calcetín es como llenar el aire
0:07:18,0:07:34,SPEAKER_09,"Si me dijeron no ve, es que son como zapatillas y dijeron que era combinación de dos ¿quién estaba conmigo? ¿tú? Era una combinación de dos tipos de zapatos"
0:07:34,0:07:38,SPEAKER_08,Y esto era como todo eso son terribles
0:07:38,0:08:10,SPEAKER_09,"Yo te lo voy a decir pero yo de todos los colores eso estuvo curioso la mamá de Isabela me explicó en el puesto de verduras porque yo le decía a Isabela yo creo que este es cilantro y este es dill, ¿cómo se llama dill en español? Le pregunté y ella dice no, no, esto no es dill esto es otro tipo de cilantro eran dos tipos pero ya te mentí en eldo pero no, era todo cilantro y luego dijo"
0:08:10,0:08:12,SPEAKER_04,Porque hay cilantro y culantro
0:08:12,0:08:18,SPEAKER_09,"Es el cual que yo dije yo pensé que tal vez equivocada no, no, no"
0:08:18,0:08:22,SPEAKER_09,"No sabe de cilantro esos, mirad"
0:08:22,0:08:34,SPEAKER_10,Que zapatos son yeezys son de Kanye West son el diseño de Kanye West ¿no? ¿no?
