Start,End,Speaker,Text
0:00:00,0:00:12,Patricia,"La mesa no, no quiero mi zapato alright, algo mas para mañana? ah porque ahora Robin tiene pantalla, es cierto si, ahora ya da si porque allí no se puede comer, tiene la alfombra y todo"
0:00:14,0:00:18,SPEAKER_09,"Y aquí se puede comer no, no, no contestaste"
0:00:18,0:00:24,Patricia,"Yo me dio susto, me dio susto yo la pregunté, pero mejor, digo a lo mejor la veo hoy pero estaba un poco asustada"
0:00:24,0:00:30,SPEAKER_09,"Yo la vi, lo encontró acá y se me hizo, como se dice se me hizo la boca agua"
0:00:30,0:00:32,Patricia,Se me hizo la boca agua
0:00:32,0:00:34,SPEAKER_09,"No, se me hizo así"
0:00:34,0:00:40,Patricia,"Al contrario, amarga la boca agua no, no, no, porque si no contestas que no, no va a decir que no"
0:00:40,0:00:42,SPEAKER_09,Pero quizás
0:00:42,0:00:46,Patricia,"Si, vale está informada, no?"
0:00:46,0:00:48,SPEAKER_09,"Si, es lo mas importante"
0:00:48,0:00:54,Patricia,"Quizás no va a venir a la celebración ah, no creo creo que no"
0:00:54,0:01:00,SPEAKER_09,"Es que a veces tienen reuniones, los martes tienen una reunión si, martes y..."
0:01:00,0:01:06,Patricia,"No ah, ya, si que tiene reunión, por eso anda por aquí todo bien"
0:01:12,0:01:14,SPEAKER_05,"Oh, para comer"
0:01:14,0:01:32,Patricia,"Si, si, si lo que tenemos luego que dejarlo como lo encontramos eso si y también ya llevar todo lo que lo que tenemos aquí que nos podemos llevar si algo no podemos llevar, pues lo dejamos para mañana, pero si podemos llevar eso es nuestro algo?"
0:01:32,0:01:34,Belén,"No, no es nada"
0:01:34,0:01:36,SPEAKER_05,It's not our stuff.
0:01:36,0:01:38,Belén,No nos queda nada
0:01:38,0:01:40,Patricia,No queda nada? solo esto?
0:01:40,0:01:42,Belén,"Tenemos algunas cosas, pero llevamos mucho"
0:01:42,0:01:46,Patricia,Entonces mañana el resto creo que Manuel bajó todo
0:01:46,0:01:50,SPEAKER_01,Quedaron cosas ahí? Quedaron los libros y se subieron algunas cajas
0:01:50,0:02:04,Patricia,"Los libros, porque mañana vamos a darlos si, están las bolsas que podemos poner dentro un libro hi, Jeremy, y compañía el libro y el puti"
0:02:06,0:02:08,Joe,"Si, tenemos los libros"
0:02:08,0:02:10,Patricia,"Y el certificado, se lo damos en la mano y luego"
0:02:10,0:02:12,Joe,Los certificados y los libros están aquí
0:02:12,0:02:34,Patricia,"Están preciosos los certificados quedaron muy bonitos están como plastificados están muy bonitos si, ya están pero no es mucho su trabajo por eso yo la digo muy amablemente pero es que no nos funciona la impresora de color de la oficina marín!"
0:02:34,0:02:36,Joe,Que pasa?
0:02:36,0:02:50,Patricia,"Nos vemos mañana, eh? Comemos unos tamales nos dices adiós o no? Dinos adiós she is visiting le gustas?"
0:02:50,0:02:52,None,Buscando algo
0:02:56,0:02:58,SPEAKER_09,Y el color?
0:02:58,0:03:00,Joe,The color?
0:03:00,0:03:02,SPEAKER_05,"Ok, bye Marín [laughing]"
0:03:04,0:03:14,Belén,Espero que lo he pronunciado correctamente pero Manuel también y Belén y yo te pregunté al no peña
0:03:14,0:03:56,Patricia,Madre mia estaba tan ocupado... es que está complicado con iMovie... y a la vez había niños escribiendo pero bien luego Manuel se puso a hacer uno de ellos porque Manuel no había probado hacerlo
0:03:56,0:04:06,SPEAKER_01,"No, si, para ahora no pero oficialmente todos los posteadores habían dicho yo ayudarlo un poquito pero nunca habían hecho uno yo solo"
0:04:08,0:04:10,Patricia,Pero hay que hacer el hands on
0:04:10,0:04:12,Joe,Porque la gente no se aprende
0:04:12,0:04:14,SPEAKER_01,Ya sabían los otros
0:04:14,0:04:16,Joe,Y yo solo
0:04:16,0:04:20,Belén,Y Racelyn y Lucas
0:04:20,0:04:24,Joe,Y Lucas no?
0:04:24,0:04:30,Patricia,Yo siempre me sentía así como teaching es que siempre mil cosas a la vez
0:04:30,0:04:36,Belén,Pero Lucas también lleva mucho tiempo... haciendo cada paso
0:04:36,0:04:38,Patricia,Y Joe se mantenía en español
0:04:40,0:04:42,Joe,"Un poco, más o menos"
0:04:42,0:05:00,Patricia,Si porque cuando uno está más haciendo mil cosas a la vez como que se olvida eso si se mantuvo ahí que notamos? Que quieres decir un poco porque tu trabajaste con varios niños en lo de añadir el sonido como fue?
0:05:00,0:05:14,Joe,"Fue muy bien, algunos no quieren hacer como jaden y Nathan no se porque pero también jaden y Nathan no querían no querían, no"
0:05:14,0:05:16,SPEAKER_02,Y Kelly si
0:05:16,0:05:34,Joe,"Kelly si kelly pero Kelly se le dieron un poco no agradó nada si con Chloe y Liz hicimos fue Chloe, lo siento"
0:05:34,0:05:38,Belén,Chloe y Kelly y Liz y Sofía
0:05:38,0:05:42,Joe,"Liz y Sofía, si hicieron un audio"
0:05:42,0:05:44,Patricia,En el iMovie
0:05:44,0:05:48,Joe,Un pequeño script 2 lines
0:05:48,0:05:50,Patricia,En la tarjeta
0:05:50,0:05:56,Joe,Si fuimos a upstairs para grabarlo
0:05:56,0:05:58,Patricia,Para que no hubiera tanto ruido
0:05:58,0:06:00,Joe,Fue muy divertido
0:06:00,0:06:04,Patricia,"Lo escribieron y luego lo grabaron no, solo dicen otra vez"
0:06:04,0:06:06,SPEAKER_05,"Con el iMovie, how was that"
0:06:06,0:06:20,Joe,"Bien no hay muchas opciones para audio no hay """"scream"""" cosas así pero otra vez that was the only problem I ran into"
0:06:20,0:06:22,?,Somebody wanted the scream
0:06:22,0:06:24,SPEAKER_09,You could have provided the scream
0:06:24,0:06:26,Joe,I didn't think about that till later
0:06:26,0:06:34,SPEAKER_09,"Like you could do it, like and you get home, and are like, """"ahh!"""" [laughter]"
0:06:34,0:07:04,Patricia,"That's what Jordani was doing he was like, """"cough cough"""", like His voice was like noises, """"Paf, uh, iiih."""" Pero lo difícil fue que nosotros estábamos usando el teléfono, no iMovie entonces el vio la película y luego sin ver la película tuvo que grabar el sonido entonces era como me miraba como cuanto tiempo espero pero no al mismo tiempo"
0:07:04,0:07:16,Joe,Si es el mismo con iMovie no podemos en iMovie tampoco porque tenemos que salir de iMovie a Voice memos y a grabar
0:07:16,0:07:18,Patricia,Pero en iMovie tiene que haber algo que añades
0:07:18,0:07:26,Belén,"Yeah, we have... the one I used with Dariel, It has a little microphone if you wanted to record something."
0:07:26,0:07:28,Patricia,"Claro, está integrado."
0:07:28,0:07:42,Belén,"And you can add pictures.. yes, and we had like... I found like a source of sounds. Como la campana y ya lo he agregado"
0:07:42,0:07:44,Patricia,So you were working with iMovie?
0:07:44,0:07:50,Belén,Yeah. We tried all the sounds. Who was this?
0:07:50,0:07:52,Patricia,Dariel
0:07:52,0:08:02,Belén,"We heard all sounds. They were all laughing because there was one school bell. So it was like, """"ahhh"""""
0:08:02,0:08:04,Joe,I didn't know you could record in iMovie.
0:08:04,0:08:30,Belén,And... and he added... he was very specific of the sounds that he added and thankfully i found those. So... he wanted a... y...
0:08:36,0:08:42,Patricia,So you already have it in your phone? You were using the iPad?
0:08:42,0:08:44,None,Yeah.
0:08:44,0:08:48,Patricia,"And then you uploaded it. Ah, you uploaded it to the drive."
0:08:48,0:08:50,Belén,Yeah
0:08:50,0:08:52,Patricia,"Oh, wow! That's great!"
0:08:52,0:08:54,None,"Yeah, you can either airdrop it to me"
0:08:56,0:09:04,Joe,"Yeah, if anyone has any you can either airdrop it to me or upload or airdrop to me."
0:09:04,0:09:08,Belén,I didn't know how to use it so we learned together.
0:09:08,0:09:14,Joe,"Manuel, did you use mine? Oh, you used mine for the animation. for the animation."
