Start,End,Speaker,Text
0:00:00,0:00:12,SPEAKER_08,"La mesa no, no quiero mi zapato alright, algo mas para mañana? Ah porque ahora Robin tiene pantalla, es cierto si, ahora ya da si porque allí no se puede comer, tiene la alfombra y todo"
0:00:14,0:00:18,SPEAKER_09,"Y aquí se puede comer no, no, no contestaste"
0:00:18,0:00:24,SPEAKER_08,"Yo me dio susto, me dio susto yo la pregunté, pero mejor, digo a lo mejor la veo hoy pero estaba un poco asustada"
0:00:24,0:00:34,SPEAKER_09,"Yo la vi, lo encontró acá y se me hizo, como se dice se me hizo la boca agua se me hizo la boca agua no, se me hizo así"
0:00:34,0:00:40,SPEAKER_08,"Al contrario, amarga la boca agua no, no, no, porque si no contestas que no, no va a decir que no"
0:00:40,0:00:44,SPEAKER_09,"Pero quizás si, vale"
0:00:44,0:00:48,SPEAKER_08,"Está informada, no? Si, es lo mas importante"
0:00:48,0:00:50,SPEAKER_00,Quizás no va a venir a la celebración
0:00:50,0:00:54,SPEAKER_08,"Ah, no creo creo que no"
0:00:54,0:00:58,SPEAKER_09,"Es que a veces tienen reuniones, los martes tienen una reunión si, martes"
0:00:58,0:01:06,SPEAKER_08,"Y... no ah, ya, si que tiene reunión, por eso anda por aquí todo bien"
0:01:12,0:01:14,SPEAKER_05,"Oh, para comer"
0:01:14,0:01:34,SPEAKER_08,"Si, si, si lo que tenemos luego que dejarlo como lo encontramos eso si y también ya llevar todo lo que lo que tenemos aquí que nos podemos llevar si algo no podemos llevar, pues lo dejamos para mañana, pero si podemos llevar eso es nuestro algo? No, no es nada"
0:01:34,0:01:36,SPEAKER_05,Esto es nuestro
0:01:36,0:01:42,SPEAKER_03,"No nos queda nada no queda nada? solo esto? Tenemos algunas cosas, pero llevamos mucho"
0:01:42,0:01:46,SPEAKER_08,Entonces mañana el resto creo que Manuel bajó todo
0:01:46,0:01:50,SPEAKER_01,Quedaron cosas ahí? Quedaron los libros y se subieron algunas cajas
0:01:50,0:02:04,SPEAKER_08,"Los libros, porque mañana vamos a darlos si, están las bolsas que podemos poner dentro un libro ay, ya, mi compañía el libro y el puti"
0:02:06,0:02:08,SPEAKER_00,"Si, tenemos los libros"
0:02:08,0:02:10,SPEAKER_08,"Y el certificado, se lo damos en la mano y luego"
0:02:10,0:02:14,SPEAKER_04,Los certificados y los libros están aquí están preciosos los certificados
0:02:14,0:02:32,SPEAKER_08,"Quedaron muy bonitos están como plastificados están muy bonitos si, ya están pero no es mucho su trabajo por eso yo la digo muy amablemente pero es que no nos funciona la impresora de color de la oficina"
0:02:32,0:02:50,SPEAKER_08,"Marín que pasa? Nos vemos mañana, eh? Comemos unos tamales nos dices adiós o no? Dinos adiós she is visiting le gustas?"
0:02:50,0:02:58,SPEAKER_09,Buscando a ella y el color?
0:02:58,0:03:02,SPEAKER_04,"El color? Ok, adiós Marín"
0:03:04,0:03:14,SPEAKER_03,Espero que lo he pronunciado correctamente pero Manuel también y Belén y yo te pregunté al no peña
