Start,End,Speaker,Text
0:00:00,0:00:02,SPEAKER_08,"la mesa no, no quiero mi zapato"
0:00:04,0:00:06,SPEAKER_08,"alright, algo mas para mañana?"
0:00:06,0:00:08,SPEAKER_08,"ah porque ahora Robin tiene pantalla, es cierto"
0:00:08,0:00:10,SPEAKER_08,"si, ahora ya da"
0:00:10,0:00:12,SPEAKER_08,"si porque allí no se puede comer, tiene la alfombra y todo"
0:00:14,0:00:16,SPEAKER_09,y aquí se puede comer
0:00:16,0:00:18,SPEAKER_09,"no, no, no contestaste"
0:00:18,0:00:20,SPEAKER_08,"yo me dio susto, me dio susto"
0:00:20,0:00:22,SPEAKER_08,"yo la pregunté, pero mejor, digo a lo mejor la veo hoy"
0:00:22,0:00:24,SPEAKER_08,pero estaba un poco asustada
0:00:24,0:00:26,SPEAKER_09,"yo la vi, lo encontró acá"
0:00:26,0:00:28,SPEAKER_09,"y se me hizo, como se dice"
0:00:28,0:00:30,SPEAKER_09,se me hizo la boca agua
0:00:30,0:00:32,SPEAKER_09,se me hizo la boca agua
0:00:32,0:00:34,SPEAKER_09,"no, se me hizo así"
0:00:34,0:00:36,SPEAKER_08,"al contrario, amarga la boca agua"
0:00:36,0:00:38,SPEAKER_08,"no, no, no, porque si no contestas"
0:00:38,0:00:40,SPEAKER_08,"que no, no va a decir que no"
0:00:40,0:00:42,SPEAKER_09,pero quizás
0:00:42,0:00:44,SPEAKER_09,"si, vale"
0:00:44,0:00:46,SPEAKER_08,"está informada, no?"
0:00:46,0:00:48,SPEAKER_08,"si, es lo mas importante"
0:00:48,0:00:50,SPEAKER_00,quizás no va a venir a la celebración
0:00:50,0:00:52,SPEAKER_08,"ah, no creo"
0:00:52,0:00:54,SPEAKER_08,creo que no
0:00:54,0:00:56,SPEAKER_09,"es que a veces tienen reuniones, los martes tienen una reunión"
0:00:56,0:00:58,SPEAKER_09,"si, martes"
0:00:58,0:01:00,,y...
0:01:00,0:01:02,SPEAKER_08,no
0:01:02,0:01:04,SPEAKER_08,"ah, ya, si que tiene reunión, por eso anda por aquí"
0:01:04,0:01:06,SPEAKER_08,todo bien
0:01:12,0:01:14,SPEAKER_05,"oh, para comer"
0:01:14,0:01:16,SPEAKER_08,"si, si, si"
0:01:16,0:01:18,SPEAKER_08,lo que tenemos luego que dejarlo como lo encontramos
0:01:18,0:01:20,SPEAKER_08,eso si
0:01:20,0:01:22,SPEAKER_08,y también ya llevar todo lo que
0:01:22,0:01:24,SPEAKER_08,lo que tenemos aquí
0:01:24,0:01:26,SPEAKER_08,que nos podemos llevar
0:01:26,0:01:28,SPEAKER_08,"si algo no podemos llevar, pues lo dejamos"
0:01:28,0:01:30,SPEAKER_08,"para mañana, pero si podemos llevar"
0:01:30,0:01:32,SPEAKER_08,eso es nuestro algo?
0:01:32,0:01:34,SPEAKER_08,"no, no es nada"
0:01:34,0:01:36,SPEAKER_05,esto es nuestro
0:01:36,0:01:38,SPEAKER_03,no nos queda nada
0:01:38,0:01:40,SPEAKER_03,no queda nada? solo esto?
0:01:40,0:01:42,SPEAKER_03,"tenemos algunas cosas, pero llevamos mucho"
0:01:42,0:01:44,SPEAKER_08,entonces mañana el resto
0:01:44,0:01:46,SPEAKER_08,creo que Manuel bajó todo
0:01:46,0:01:48,SPEAKER_01,quedaron cosas ahí?
0:01:48,0:01:50,SPEAKER_01,quedaron los libros y se subieron algunas cajas
0:01:50,0:01:52,SPEAKER_08,"los libros, porque mañana vamos a darlos"
0:01:52,0:01:54,SPEAKER_08,"si, están las bolsas"
0:01:54,0:01:56,SPEAKER_08,que podemos
0:01:56,0:01:58,SPEAKER_08,poner dentro un libro
0:01:58,0:02:00,SPEAKER_08,"ay, ya, mi compañía"
0:02:02,0:02:04,SPEAKER_08,el libro y el puti
