Start,End,Speaker,Text
0:00:00,0:00:02,Patricia,"Yo creo que hoy algo de, ah, sí."
0:00:02,0:00:06,Patricia,"Habría pasado, porque es difícil, yo le pregunto."
0:00:06,0:00:07,Patricia,Pronto.
0:00:07,0:00:12,Patricia,"Porque te gusta o no te gusta, o qué, no, no me gustan los libros."
0:00:12,0:00:14,Patricia,"Luego dijo, ah, los Dork Dice, ¿se acuerdan que hace tiempo?"
0:00:14,0:00:16,?,Mhm.
0:00:16,0:00:18,Patricia,"Y por qué, porque son buenos, ¿no?"
0:00:18,0:00:20,Patricia,"Y porque son buenos, como hay que preguntar mucho."
0:00:20,0:00:21,Patricia,Sí.
0:00:21,0:00:24,Patricia,"Al final dijo, no, porque me gusta el drama, ¿no?"
0:00:24,0:00:25,Patricia,Me parece importante.
0:00:25,0:00:27,Patricia,"Yo dije, ah, ahora me estás contando algo."
0:00:27,0:00:30,Patricia,"Me gusta el drama, ¿no?"
0:00:30,0:00:33,Patricia,"Y hablamos un poquito, pero es como, claro."
0:00:33,0:00:36,Cristina,Con ella es difícil.
0:00:36,0:00:38,Patricia,"También el tema no, no."
0:00:38,0:00:41,Cristina,"Ella, sí, a ella no le gusta hablar de los libros."
0:00:41,0:00:45,Cristina,Y también para ella es muy difícil sacar las palabras.
0:00:45,0:00:48,Cristina,"Entonces, creo que también a veces ella es,"
0:00:48,0:00:51,Cristina,ella como dice la cosa más simple.
0:00:51,0:00:55,Cristina,"Porque es muy difícil para ella, eh,"
0:00:55,0:00:59,Cristina,como buscar las palabras y decirlas.
0:00:59,0:01:02,Patricia,"Y Novani que dijo, no, no me gusta escribir."
0:01:02,0:01:06,Patricia,"Y le dije, ah, bueno, va."
0:01:06,0:01:13,Patricia,"Le dije, eh, bueno, has escrito un cuento para tu proyecto."
0:01:13,0:01:15,Patricia,"Y le dije, eso es escribir."
0:01:15,0:01:18,Patricia,"Y me miró como, ¿cómo?"
0:01:18,0:01:20,Patricia,"Como hacer esas conexiones también, sí."
0:01:20,0:01:22,Patricia,"Eso es escribir un cuento, ¿no?"
0:01:22,0:01:22,Patricia,Sí.
0:01:22,0:01:27,Patricia,"Y yo le dije a Jordáni, cuéntame de tu libro de imágenes."
0:01:27,0:01:29,Patricia,Léeme tu libro de imágenes que me lo contaron.
0:01:29,0:01:32,Patricia,Pero él sí se metió en el tema.
0:01:32,0:01:33,Patricia,"Así que se dan cuenta, ¿no?"
0:01:33,0:01:36,Patricia,De que esto también es literacy.
0:01:36,0:01:39,Cristina,"Sí, algo que es interesante, like,"
0:01:39,0:01:43,Cristina,"he estado pensando en eso como después de ser estudiante,"
0:01:43,0:01:45,Cristina,student teacher aquí.
0:01:45,0:01:48,Cristina,"Que, like, at least in fourth grade,"
0:01:48,0:01:55,Cristina,"me parece como sus experiencias con escritura son muy,"
0:01:55,0:02:01,Cristina,"like, no escriben como para simplemente escribir."
0:02:01,0:02:05,Cristina,Siempre hay un propósito muy específico.
0:02:05,0:02:09,Cristina,"Y es, like, la estructura de las unidades es como, like,"
0:02:09,0:02:13,Cristina,leer y aprender de algo y después escribir de lo que estás
0:02:13,0:02:13,Cristina,aprendiendo.
0:02:13,0:02:15,Cristina,"Que es, like, una estructura buena."
0:02:15,0:02:16,Cristina,Tradicional.
0:02:16,0:02:17,Patricia,Pero muy tradicional.
0:02:18,0:02:21,Cristina,"Entonces, también, like, es interesante que para este"
0:02:21,0:02:25,Cristina,"estudiante que fue, like, oh, this is reading."
0:02:25,0:02:29,Cristina,"Porque, like, solo encuentran el acto de,"
0:02:29,0:02:35,Cristina,like esa idea de la escritura en instantes muy específicos.
0:02:35,0:02:36,SPEAKER_07,Solo una narrativa.
0:02:36,0:02:37,SPEAKER_07,Sí.
0:02:37,0:02:38,Cristina,O solo un ensayo.
0:02:38,0:02:42,Cristina,"Donde tienes que tener tu tesis, tu evidencia, tu edad."
0:02:42,0:02:44,Cristina,Eso es escritura.
0:02:44,0:02:47,Cristina,"Escritura no es como, entonces,"
0:02:47,0:02:54,Cristina,"es interesante como, like, oír esa experiencia de como lo que"
0:02:54,0:02:57,Cristina,ellos entienden de lo que es escribir.
0:02:57,0:02:58,Patricia,"A lo mejor, sí."
0:02:58,0:02:59,Patricia,Sí.
0:02:59,0:03:00,Patricia,Sí.
0:03:00,0:03:03,Patricia,Tú hiciste todos esos cuestionarios al principio.
0:03:03,0:03:03,Patricia,Sí.
0:03:03,0:03:05,Patricia,"O sea, que capturaste eso."
0:03:05,0:03:05,Cristina,Sí.
0:03:05,0:03:11,Cristina,"Yo quería trabajar en esto hoy, pero estaba con Jeremy."
0:03:11,0:03:12,Cristina,Sí.
0:03:12,0:03:13,Cristina,Así estaba con él.
0:03:13,0:03:23,Cristina,"Porque al principio me pareció como él, like, bueno,"
0:03:23,0:03:30,Cristina,me pregunté si podíamos hacer una animación sobre el sistema
0:03:30,0:03:32,Cristina,solar.
0:03:32,0:03:33,Cristina,Entonces.
0:03:33,0:03:34,Cristina,"Porque tenía el libro, ¿verdad?"
0:03:34,0:03:34,Cristina,Sí.
0:03:34,0:03:35,Cristina,Sí.
0:03:35,0:03:40,Cristina,Eso fue el libro que estábamos leyendo la semana pasada.
0:03:40,0:03:44,Cristina,Y entonces me pregunté si podíamos hacer eso.
0:03:44,0:03:46,Cristina,Me preguntó si podíamos hacer eso.
0:03:46,0:03:55,Cristina,"Después, like, traté de mandarle a alguien para trabajar"
0:03:55,0:03:57,Cristina,con alguien quien estaba haciendo las animaciones.
0:03:57,0:04:01,Cristina,"Pero, like, no se fue."
0:04:01,0:04:05,Cristina,"Como hizo la cosa de Jeremy de caminar por todos lados y,"
0:04:05,0:04:06,Cristina,"like, no."
0:04:06,0:04:12,Cristina,"Entonces pensé que tal vez, like, si trabajaba conmigo,"
0:04:12,0:04:15,Cristina,sería mejor o que quería trabajar conmigo.
0:04:15,0:04:16,Cristina,No sé.
0:04:16,0:04:21,Cristina,La verdad es que yo hice como el medio del trabajo de su
0:04:21,0:04:30,Cristina,animación y él estaba como hablando y que también fue
0:04:30,0:04:30,Cristina,importante.
0:04:30,0:04:31,Cristina,Pero sobre el animante.
0:04:31,0:04:33,Cristina,Sí.
0:04:33,0:04:35,Cristina,Pero también como caminando.
0:04:35,0:04:38,Patricia,"Porque luego decidió que se la quería llevar también, ¿no?"
